title,newspaper,url,date,imgs,body,author,tags
Finance Minister: Making COLA tax-free would create 'two classes of workers',timesofmalta,https://timesofmalta.com/article/finance-minister-defends-decision-keep-tax-cola.1100319,30-10-2024,001767.png,"Removing tax from the Cost of Living Adjustment would lead to having ""two classes of workers"", Finance Minister Clyde Caruana said on Wednesday. 
 Caruana argued that the anomaly would arise because thousands of workers covered by collective bargaining deals do not receive COLA. 
 Instead, those workers tend to have an annual increase included as part of their agreements.
 “If we implement the PN’s proposal, we’ll end up with two classes of workers: those who are taxed on their annual increase, because they don’t get COLA, and those who aren’t,” Caruana said.
 The minister was speaking at the tax and customs offices in Qormi two days after he unveiled the Budget for 2025. 
 The Opposition, which has long called for the government to make COLA tax-exempt, noted after the budget that the proposal was ignored.  
 Caruana said the budget's headline measure - a widening of tax bands that will effectively reduce workers' tax burden - was only possible thanks to improved tax collection by the tax department.
 He said the tax cuts announced on Monday ""would have been impossible without the tax department's effective work.”
 In the first six months of this year alone, the government collected €300 million more than in the previous year, Caruana said.
 The tax changes Caruana announced during the Budget 2025 speech on Monday are projected to cost the government €140 million in all. 
 They will see income tax bands broadened, allowing single workers to avoid tax on their first €12,000 in 2025.
  Married people, who make up around 14% of all taxpayers, will see a similar increase in tax-free income from €12,700 to €15,000, while parents will not be taxed on the first €13,000 of their income.
 Caruana was also asked why the government decided to reduce taxes instead of collecting more revenue to spend on capital projects - a concern raised by the Malta Employers Association in its pre-budget document.
 Caruana argued that capital spending is strong despite the tax cuts, saying that this year capital expenditure will top €1 billion. Over the past two years, the government has increased its capital expenditure budget by €250 million, he said.
 The government has enough money to invest in energy infrastructure, Caruana insisted.
 Tax cuts made sense because ""it was time to give something to the middle class, which has contributed so much to the country’s economic growth,” he said.

                ",Daniel Ellul,"Budget 2025,National,Finance,Taxation"
"‘If we want to become a blockchain island, we don’t have to ask permission’",timesofmalta,https://timesofmalta.com/article/if-want-blockchain-island-don-t-ask-permission.1093687,27-06-2024,001529.png,"Four years ago, a tech start-up co-founded by Maltese entrepreneur Max Thake had just attracted €750,000 in investment and was looking to reach €5 million.
 At the time, Thake spoke with passion about the start-up’s blockchain-based technology called ‘peaq’ and said he and his colleagues were “looking to the future”.
 The future is now, and judging by recent developments the platform has continued to grow.
 Recently, peaq secured $35 million in two rounds of private and public funding and is now valued at a third of a billion dollars.
 Commenting on the technology’s meteoric rise, Thake, who lives as a digital nomad, said it was “crazy to see it grow so much,” but said it was “still only a fraction of what we envisage”.
 Peaq is a technology for building networks that connects users to crowd-sourced information and services by linking and monetising internet-connected devices.
 Thake and his colleagues think peaq won’t just be a successful venture; they believe it has the potential to change the world by ushering in a new era of democratised, user-owned industries.
 And judging by the latest round of funding, they’re not the only ones. So, what is the secret to their continued success?
 “Resilience; we had to go to hell and back to make this a success,” Thake said, adding he hoped peaq’s success could serve as an inspiration for young technology enthusiasts in Malta.
 Stressing the importance of “vision, passion and adaptability”, the young entrepreneur said he and his colleagues had learned how to “take the hits and make the changes that are necessary”. 
 But with blockchain technology – a decentralised sequential list of encrypted records called ‘blocks’ that can be used to store information such as financial transactions – being complex and arguably still viewed with scepticism, what has been the reaction of family and friends to his venture?
 “Sometimes I almost got that look of, ‘oh, that’s sweet’ – especially in my early 20s,” he said, but noted that as the technology became more widely known and the start-up grew, attitudes had changed.
 Asked if he had always gravitated towards technology, Thake said his co-founder Leonard Dorlöchter was “the tech guy”, with his own role “more on the creative side and setting the long-term vision for the company...”
 Describing the technology underpinning the platform as the “next evolutionary step of the internet,” Thake explained how peaq connects users and devices on vast networks that offer crowd-sourced alternatives to company-driven solutions.
 Such alternatives could offer services like ride hailing, communal 3D printing and goods deliveries, provide information on traffic and pollution and even establish crowd-sourced infrastructure such as WiFi and 5G networks, he said.
 Networks powered by peaq offer information and services to users while putting power – and money – back into the hands of those who provide the service.
 The more a user contributes to the network, the more they are rewarded in peaq tokens, which afford the user more of a say in how the network develops and which can also be exchanged for regular currency, he explained. 
 Think cooperatives, but high-tech.
 “In the past, the internet put power into the hands of a few, and there’s enormous inequality in the world today... but peaq doesn’t rely on Google or other big companies,” Thake said.
  Using ride hailing as an example, the entrepreneur said a network offering a service like Uber would be able to do so more competitively while avoiding the fees leveraged by such platforms.
 “The network will be able to undercut companies like Uber at a rate they can’t compete with, essentially using their own business model against them,” he said, stressing that unlike existing platforms, drivers would earn money while owning a part of the network.
 “The long-term vision is to power the ‘Economy of Things’,” said Thake, referencing an economic model where internet-connected devices – the so-called ‘internet of things’ including health trackers and charging stations, for example – generate cryptocurrency as they provide data to others.
 Emphasising that peaq is focused on providing “real-life solutions”, Thake pointed to an app called Silencio, which monitors background noise and combines that with readings from other users to help people make informed decisions about where they live or go on holiday.
 As the app collects data, the user is rewarded with tokens which can then be traded or sold in a similar way to shares in a traditional company.
 So, what makes peaq different to a traditional company?
 “This technology is about giving up power, giving it back to the people,” said Thake, contrasting this with established models where, as a business grows, a controlling minority continues to exert most of the influence.
 Despite the promises of blockchain technologies and in particular cryptocurrencies, a branch of the blockchain, in recent years the tech world has been rocked by a series of high-profile scandals involving the technology.
 In March, disgraced former cryptocurrency whizzkid Sam Bankman-Fried was sentenced to 25 years in prison and ordered to pay $11 billion in damages after being found guilty of defrauding investors.
 Do they worry Thake?
 “It’s annoying; every time this kind of thing happens, we think, ‘here we go again’, he said, but stressed he was confident that despite the short-term damage, such scandals “won’t sink the industry,” while cautioning against blindly investing in new technologies.
 And while Malta’s forays into the blockchain world haven’t always gone smoothly – its infamous ‘blockchain island’ marketing drive derided as a flop after failing to attract tech start-ups – Thake doesn’t think a government-led approach is the right one and instead argues for a crowd-driven embrace of crowd-sourced technology.
 If we want to become a blockchain island, we don’t have to ask permission.”
",James Cummings,"National,Technology,Business,Features"
Malta Enterprise signs deal with semiconductor research leaders Imec,timesofmalta,https://timesofmalta.com/article/malta-enterprise-signs-deal-semiconductor-research-leaders-imec.1091946,05-04-2024,001545.png,"Malta Enterprise has signed a deal with international microelectronics research centre Imec (Interuniversity Microelectronics Centre).
 The memorandum of understanding will enable University and MCAST students to get better access to Imec facilities during their postgraduate studies, facilitate Malta-based firms in the sector in obtaining Imec start-up support and provide them with opportunities to expand their business.
 Imec is a world-leading R&D and innovation hub in nanoelectronics and digital technologies that is headquartered in Belgium.
 The EU has made a concerted effort to ramp up EU-led research and production of microchips, as fears about the reliance on foreign manufacturing in places like Taiwan and the US grow.
 In 2023 it introduced the European Chips Act, intended to make it easier to tap funding related to semiconductor-related industries. The act is expected to lead to more than €15 billion in additional public and private investment in the EU’s semiconductor sector.
 As part of that EU-led initiative, Malta obtained approval to inject €20 million in state aid into Malta-based semiconductor manufacuter STMicroelectronics. The company will use that money to upgrade its production lines.
 The local semiconductor industry contributes around 15 per cent of Malta’s exported goods and generates around 8 per cent of all employment in the manufacturing sector, the government said in a statement announcing the Imec deal.
 Economy Minister  Silvio Schembri, who presided over the signing ceremony between Malta Enterprise and Imec, said the government wants to encourage start-ups n the sector and make it easier for them to access European infrastructure.
 “I am optimistic that with the right strategy, we can achieve this,” he said.
 Malta Enterprise CEO Kurt Farrugia said the MOU with Imec was “a first initiative and an important step in our strategy. It will be further enhanced with a dedicated semiconductor strategy, which we will be working on in the months to come.”
  Jo de Boeck, Executive Vice President and Corporate Strategy Officer at Imec, said Malta was doing well to make use of the EU Chips Act.
 “I believe Malta can bring a lot to the table. The investment being made by the country in the IPCEI and the setting up of a competence centre will certainly bring a new wave of innovation.,” he said.
",Times of Malta,"National,Business,Economy,Industry,Tech"
"Church deficit narrows from €7m to €325,000 - financial report for 2023 shows",timesofmalta,https://timesofmalta.com/article/church-deficit-narrows-7m-325000-financial-report-2023-shows.1096380,08-06-2024,"001560.png,001561.png,001562.png","The Church in Malta “did better than expected” in the 2023 financial year and narrowed its deficit to just over €325,000 from €7 million in the previous year.
 Church officials said on Tuesday that the improved financial situation was due to several factors that included more income, controlled expenditure and a record €7.22 million in APS bank dividends.
 Speaking at a press conference to present the financial report of the Archdiocese of Malta for 2023, administrative secretary Michael Pace Ross said that during 2023 the archdiocese  -  which encompasses around 120 entities and employs 1,369 people -  operated on an income of €59.9 million while the expenditure stood at €60.4 million.
 Despite the shortfall of some €325,000, the Church increased subsidies to its entities by 33%, with the bulk of funds directed towards children’s homes - where subsidies increased by €180,000 to reach €406,000 last year.
 In 2023 the homes were at full capacity hosting 41 children. Investments were made in the homes to ensure that the children felt they lived in a home and not an institute, he said.
 “The children are our future and, if we don’t look after them, no one will,"" Pace Ross said.
 Another cost, he said, was the staff, with more professionals needing to be engaged as nuns retired.
 Revenue increased to €59.9m in 2023 compared to €52.6m in 2022. Income from collections received by parishes went up by 20% to reach €3m. However, revenue from donations decreased from €6.4m to €5.8m.
  There was a doubling in inheritances, mostly through Dar tal-Providenza, that spiralled from €452,821 to €909,699. Income from property rental and sale of property rose by €2.05m to reach €1.8m for rental and €3.2m for sale. Investment income increased to €10.23m and included €7.22m in APS gross dividends 
 The Mdina Cathedral Museum and Mosta Basilica registered a 55% and 21% increase respectively in visitors with generated income increasing by €730,000.
 Expenditure by the archdiocese increased by €6.04m compared to the previous year. Salary costs accounted for 61% amounting to €36.8m up from €33.6m in 2022.
 This went to pay the salaries of 1,067 full-timers and 302 part-timers at the Curia, priests, children's homes, the homes for the elderly and persons with disability; the Archbishop’s Seminary and Sacred Heart College; monasteries and sextons.
 Operational and maintenance costs, including the conservation and restoration of ecclesiastical heritage, increased by €2.52m reaching €18.8m while tax amounted to €2.5m.
 Asked why the archdiocese did not intervene to fund needed restoration works at Paola parish church, Pace Ross explained that the curia usually helped parishes with funding, loans and subsidies.
 In this case the €400,000 fee was too large to fork out at one go so the proposed café was to create a steady income stream. Once the government stepped in, it was a win-win situation.
  He added that church continued to subsidise entities with the highest increase going to children’s homes. The Church, he said, has been making every effort to help families and individuals seeking assistance, and various initiatives were underway aimed at furthering the Church’s mission.
 “Through the LOOP Parish Diaconia initiative, 870 people received food and 380 were the beneficiaries of clothing. Last year, the Church also opened Il-Kċina ta’ Marta at the Archbishop’s Seminary in Tal-Virtù - supported by a team of dedicated volunteers and the Alfred Mizzi Foundation. It provides more than 1,200 meals a week to those in need,” he said.
 In addition to this, Maltese parishes received over 1,300 requests to provide individuals and families with food hampers, medicines and other necessities. Some of these requests were one-time needs, while others are ongoing.
 The Archdiocese of Malta also assisted survivors of earthquakes in Turkey and Syria, hosted foreign priests at Casa Fratelli Tutti, and facilitated the participation of 565 youths at the World Youth Day in Lisbon.
 Last month, the archdiocese also donated Dar Saura in Rabat - a former residence for the elderly valued at €25m - to The Malta Trust Foundation, which will transform the property into a music and arts centre for children with disabilities. 
",Claudia Calleja,"National,Church,Finance"
Corinthia unveils a €150m crown jewel in the heart of Brussels,timesofmalta,https://timesofmalta.com/article/corinthia-unveils-150m-brussels-hotel-astoria.1102200,12-09-2024,"001563.png,001564.png,001565.png","Corinthia now has a presence in the heart of Brussels following a €150 million rebuild and restoration of the historic Grand Hotel Astoria.
 Situated on Rue Royale in the Notre Dame aux Neiges district, the Corinthia Brussels opens on Monday and is the latest jewel in the Malta-based hotel group’s crown. 
 Formerly the Grand Hotel Astoria, the iconic Belle Époque landmark has undergone a complete transformation, now featuring 126 rooms and suites, and a subterranean spa.
 It is the second new hotel that Corinthia has launched in as many months, following the opening of The Surrey, A Corinthia Hotel in New York’s Upper East Side of Manhattan.
  The Malta-founded and publicly traded Corinthia Group owns and operates high-end hotels across the globe, in major cities including London, Budapest, St Petersburg and Lisbon. Other properties in Bucharest, Doha, Riyadh and Rome are in the pipeline.  
 Last week, the company said it was exploring further investment opportunities in tandem with the Kuwait-based Action Real Estate Company. 
 Commissioned by royal decree and designed by Henri Van Dievoet, the Grand Hotel Astoria was originally conceived as a palace to host distinguished guests of the King of Belgium.
 It first opened in 1910 and was considered one of the finest hotels in the world. With its era-defining architecture and opulent interiors, it became synonymous with elegance, hosting illustrious guests like Winston Churchill and Andy Warhol. 
  The hotel shut down in 2007. In 2016, the Corinthia Group purchased the property and began preparations to bring it back to life. Works began four years ago and have now been completed. 
 The original façade and first floor of the hotel were preserved, with works undertaken in collaboration with Urban Brussels and the Royal Commission. 
 The hotel features two Michelin-starred Belgian chefs in Davide Martin and Christophe Hardiquest and a bar led by mixologist Hannah von Ongevalle. An excavated floor beneath the hotel hosts a 1,200 square metre spa with seven private treatment rooms, a steam room, sauna, experience showers, tea room and fitness centre with personal training by former British Army physical training instructor Paul Tucker. 
 QP, a Corinthia Group company, handled the design and project management of the restoration project, while the Group’s hotel operating arm, Corinthia Hotels, will operate it. 
 Corinthia Group CEO Simon Naudi said the Corinthia Brussels “has brought out the best in our Group and highlights our quite unique involvement as investors, developers and operators.” 
 Simon Casson, CEO of Corinthia Hotels, said the hotel will redefine “what luxury hospitality can be.” 
 Reuben Xuereb, CEO of QP, said the project to restore the hotel was a complex one. 
 “Under the watchful eye of the local heritage authorities, we have painstakingly worked with leading contractors, craftsmen and artisans to recreate one of Europe’s finest hotels,” he said. 

                ",Times of Malta,"Business,National,Hotels/Hostels/Airbnb,Belgium"
Scam Facebook page imitates Gozo business,timesofmalta,https://timesofmalta.com/article/scam-facebook-page-imitates-gozo-business.1102510,17-12-2024,"001566.png,001567.png,001568.png","A technology company in Gozo is the latest target of a Facebook page that imitates genuine businesses to scam customers.
 The owner of Infotech Enterprises Ltd said he was “alarmed” after a customer came to his shop asking to collect a phone he claimed to have ordered online. Another called asking about delivery for a games console they had paid a deposit for.
 The shop has not sold consumer electronics for around a decade, now dealing in IT and security systems.
 Speaking to Times of Malta, the owner, who asked not to be named, said he was worried people would pay money for items they would not receive, adding: “I don’t want to be accused of anything.”
  When he investigated the incidents, he discovered a Facebook page operating under the name ‘Infotech Gozo’ sporting almost identical branding to his genuine business.
 It is the same page involved in another scam Times of Malta exposed six months ago, however the details have been changed to imitate Attard’s business.
 In June, the owner of San Ġwann-based audio shop FutureTech Pro contacted the police after receiving scores of complaints from people scammed by a Facebook page with a similar name to his business.
 The ‘Future Tech’ page responsible for the complaints was traced to a defunct technology shop in Gozo by the same name and was used to scam victims out of payments for games consoles, smart watches and other items that never turned up.
 Screenshots of recent messages between customers and the page show its operators providing prices of items and asking for deposits while supplying Revolut account details.
  Highlighting the dangers posed to customers, Infotech’s owner said: “We believe this issue deserves further attention to prevent more people from falling victim to this scam and to protect the reputation of legitimate businesses like ours.”
 The ‘Infotech Gozo’ page was briefly shut down by Meta – the parent company of Facebook – earlier this week but by the next day, the page reappeared sporting the same name and branding.
 Infotech’s owner said his business would continue to fight for the page to be removed from Facebook.
 He initially did not report it to the police, describing it as “useless” because of the previous report. However, he plans to alert the cybercrime unit if it “pops up again”.
 Last year, consumers in Malta lost some €12.5 million to scams and online fraud, an increase of 50 per cent over the €8.5 million lost in 2022, according to police figures. In February, Home Affairs Minister Byron Camilleri tabled figures in parliament showing that the number of online scams reported to the police had more than doubled over the same two years, reaching just over 2,500 reports in 2023.
  

                ",James Cummings,"National,Business,Consumers,Internet,Social media"
APS ‘exploring growth’ but won’t comment on HSBC reports,timesofmalta,https://timesofmalta.com/article/aps-exploring-growth-won-t-comment-hsbc-reports.1100358,31-10-2024,001692.png,"APS bank “owes it to its shareholders” to explore opportunities for growth, APS bank CEO Marcel Cassar said on Thursday, stopping shy of commenting on reports of the bank’s negotiations to purchase HSBC Malta.
 Cassar said that the bank is “continuously analysing opportunities that may arise in our natural market.""
 ""We believe that there is a lot of potential in the bank that is yet to be unleashed, so we owe it to our stakeholders to explore possibilities to gain scale”.
 But Cassar would not comment on reports about negotiations, saying that the “as a responsible listed bank, we will inform the market through company announcements whenever there is anything to report”.
 Cassar was speaking as the bank presented its financial results for the first nine months of the year, which saw the pre-tax profits dip to just under €15m from the €23.6m registered at this point last year.
 The overall group’s profits were slightly higher than those of the bank, at €16.5m, although these also lagged behind last year’s €23.3m.
 These numbers are “not a surprise,” Cassar said.
 “We started anticipating that the high interest rate environment, coupled with the buildup of the bank’s rights issue was piling pressure on our margins and squeezing our income.”
 The results also reflect the bank’s policy to pass down the European Central Bank’s interest rate cuts to its customers, Cassar added.
 “The impact on our finances has been significant, but we are seeing improving margins and expect them to improve further in the last quarter of the year.”
 Despite the drop in profits, the bank said several aspects of its operations performed strongly, from the growth in its business and loan books to the increase in assets under its management.
 Notably, APS CFO Ronald Mizzi said that the bank’s home loan portfolio had now grown to over €2b, just short of a quarter of the entire market. In practice, Mizzi said, this means that 45% of every new home loan throughout 2024 is being financed by APS.
 The bank’s overall loan book, including home loans, grew by €226.6m to now stand at €3.1b, with commercial and syndicated loans also showing “cautious growth”.
 Meanwhile, the bank’s customer deposits saw a 10% rise, some €305.3m, since the beginning of the year, now standing at €3.4b.
 Nevertheless, the bank is looking to raise more capital through a new rights issue. While this was initially planned to take place at the end of this year, this will now likely take place in the first half of 2025, Cassar said.
 The bank is also in the process of opening its 12

                ",Neville Borg,"National,Banking,Finance"
Regulator to probe claim of MIA shares ‘insider trading’,timesofmalta,https://timesofmalta.com/article/regulator-probe-claim-mia-shares-insider-trading.1096318,08-05-2024,001827.png,"A financial regulator will evaluate claims that Malta International Airport shares were “illicitly” traded shortly before the announcement of its financial results and “highest” interim dividend to date.
 Stockbroker Paul Bonello flagged on Facebook how there was a sudden jump in share trades hours before MIA’s board announced its half-yearly financial results and the dividend payments to shareholders.
 Bonello said the timing of the trades just before the dividend announcement was indicative of insider trading, which is prohibited.
 Insider trading occurs when a person uses or attempts to use inside information from a company for his own benefit or for the benefit of others.
 In comments to Times of Malta, an MFSA official said the regulator takes such allegations seriously.
 “As per MFSA internal procedures, the necessary reviews/evaluations will be made for the appropriate action to be taken, both from a supervisory perspective, as well as in terms of enforcement, if need be,” the official said.
 MIA poured cold water on the claim in a company announcement on Thursday.
 It said the company disclosed on July 18 that the board of directors would consider the proposal of an interim dividend at a meeting held on August 1.
 MIA said it has a significant track record of communication with the market, as it regularly issues monthly announcements on passenger numbers, quarterly financial statements and company updates ahead of board meetings scheduled to consider the approval of financial statements and the declaration of dividends.
 A company spokesperson told Times of Malta MIA has formally requested the MFSA to “inquire further into this matter”.
 According to airport financial figures released on Thursday, MIA generated €66.4 million in revenue over the first half of the year, netting €22.1 million in profits.
 MIA CEO Alan Borg said during a press conference that the company’s solid financial performance enabled it to distribute its highest interim dividend to date to shareholders and continue to invest in the development of MIA.
",Jacob Borg,"National,Finance,Aviation"
Construction continued to slow down in 2023: Central Bank,timesofmalta,https://timesofmalta.com/article/construction-continued-slow-2023-central-bank.1091691,29-04-2024,001873.png,"The construction sector show­ed signs of continued slowdown last year, employing more workers but dropping in productivity, according to Central Bank of Malta figures.
 The largest drop in productivity across the economy last year was in construction, which declined by almost 13%, the bank said in its annual report for last year.
 It noted that while employment in the sector grew by 5%, its output decreased by 8%, leading to an overall slump in productivity. At the same time, its share of the total value added to the economy fell by almost a fifth.
 Meanwhile, the number of Planning Authority residential and commercial permits drop­p­ed by around 15%, while investment dwindled and confidence in the sector plummeted to its lowest levels since the pandemic, the report showed.
 The bank said residential construction was expected to “decline marginally” this year amid “weak sentiment” in the sector and “increasingly binding” labour shortages.
 However, it noted that despite the slowdown, construction was still expected to deliver “modest growth” this year with employment in the sector also forecast to improve over the next three years.
 Despite confidence in construction dropping by more than 80%, the bank noted it was still “firmly above” the historical average.
 The central bank’s annual report cements similar findings last year pointing to a slowdown within the construction industry.
 In August, auditing giant KPMG said the sector had shrunk by 14% in the first three months of 2023 when compared to the same period in 2022, a trend it said at the time had been ongoing for a year and a half.
 And data from the central bank report shows the sector’s Gross Value Added (GVA) has fallen steadily since 2021, dropping by around €40 million each year. During the same period, employment in construction rose by 20% to reach almost 19,000 last year.
 GVA measures the economic value that each individual sector contributes to a country’s economy. Last year, the construction industry’s share of the total GVA fell to 3.4% from 4% the year before.
 Last April, Finance Minister Clyde Caruana hit out at Developers Association president Michael Stivala after the construction mogul claimed the sector was vital for sustaining “health and education, infrastructure and all the other social schemes”.
 Caruana argued instead that the country’s economic growth was mainly driven by other industries, including financial services, gaming and tourism, rather than hinging on the construction industry.
 And the latest report seems to support Caruana’s assertion, with central bank figures revealing that exports ‒ which includes tourism ‒ contributed almost 90% of the country’s 5.6% Gross Domestic Product (GDP) growth last year.
 GDP measures the monetary value of all goods and services produced by a country.
 “Services remained the main driver behind the rise in economic activity, adding 4.9 percentage points to real GDP growth”, the financial institution said, pointing to professional and administrative services and financial and insurance activities, among others, as the main drivers of growth.
 Construction, meanwhile, lower­ed GDP growth by 0.3 percentage points due to the value added by the sector falling “for the second consecutive year”, it said. For the second year in a row, construction was the least contributing sector to GDP growth, with Malta’s agricultural sector the only other to contribute negatively.
 Overall, economic growth and inflation both hit 5.6% last year, while the government deficit reached 3.4% of GDP in the third quarter and employment grew by 5.7%.
 The central bank report also reveals that total private and public sector investment drop­ped dramatically last year, falling by 22% after rising by a whopping 31% the year before.
 “The most significant decrease [in investment] was recorded in expenditure on transport equipment, reflecting a decrease in registrations of aircraft from the very high level recorded a year earlier,” the report said.
 “Investment in other buildings and dwellings also declined. On the other hand, investment in intellectual property increased, while investment in cultivated biological resources remained broadly stable.”
 The central bank predicts Malta’s GDP will continue to grow over the next three years, but at a slower rate than last year.
 Growth is expected to reach 4.4% this year, 3.6% next year and 3.3% in 2026, while government debt as a percentage of GDP is expected to increase to 54.3% by 2026.
 The rate of increase in employment is expected to halve to 3.2% this year while unemployment is set to rise marginally over the next three years.
 And while there is good news for consumers, with inflation expected to almost halve this year to 2.9%, exports are antici­pated to reduce drastically this year through to 2026 amid geopolitical tensions and trade disruptions.
",James Cummings,"National,Construction,Economy,Central Bank"
From 'here for the long run' to 'strategic review': HSBC changes mind on Malta,timesofmalta,https://timesofmalta.com/article/from-here-long-run-strategic-review-hsbc-changes-mind-malta.1097910,09-11-2024,"002290.png,002291.png,002292.png,002293.png","For years, HSBC Malta has been reassuring its customers that it is going to stay put in the country, but a new company announcement has cast its future in serious doubt.
 That HSBC has been quietly chipping away at its European operations and pivoting towards growing its presence in Asia is no secret.
 Reports last year revealed that it would be selling or drastically streamlining its presence in 12 European countries, effectively slashing a fifth of its operations.
 Sales across several countries followed, from France to Greece to Russia.
 Malta had long been rumoured to be on the chopping block, a suggestion frequently dismissed by HSBC Malta.
 HSBC is in Malta “for the long run”, HSBC Malta CEO Geoffrey Fichte told  Times of Malta just eight months ago.
 “I could speak until I’m blue in the face but you just need to look at what we’re doing in Malta,” he said, pointing to the company’s new €30m headquarters, when asked whether the bank is looking for an escape route.
  The bank's announcement on the stock exchange that ""it will undertake a strategic review"" indicates a change of mind. 
 But the signs had been piling up for some time.
 In October 2019, the bank shut down several of its branches and ATMs across the island, from Ħamrun to  St Julian’s and Marsascala, ostensibly to “focus on digital banking services”.
 One month later, the bank announced it would shed 180 of its workers in a €16m voluntary redundancy scheme.
 A 2020 Financial Times report suggesting that the bank was looking into whether to sell or shutter its operations across several of its smaller markets, including Malta, was met with silence, with the bank simply saying that its policy was “not to comment on speculative stories”.
 Wednesday’s announcement marks a clear change of tone. Although the bank’s statement stops short of tracing the bank’s plans in Malta, it is the first admission that there could be cracks in the armour, which could widen once the bank’s “strategic review” is completed.
 It remains to be seen whether the strategic review will bring  HSBC Malta’s almost quarter-century presence in Malta to an end.
 The bank’s introduction to Malta on the eve of the millenium was no less controversial. On 2 June 1999, the Maltese government handed over its 67.1% stake in Mid-Med Bank to Midland Bank PLC, a member of the HSBC group.
  The Lm91 million (roughly €191m) deal, brokered by then-Finance minister John Dalli, was widely seen to come short of the bank’s true value, with the government’s move harshly criticised by the opposition and bankers.
 Then-opposition leader Alfred Sant called for Dalli’s resignation, arguing that Mid-Med Bank’s sale should have been opened up to offers from other potential buyers. Meanwhile, Mid-Med Bank’s former chair, Alfred Mifsud, insisted that the bank had been sold for well under its true value.
  The sale also included the only painting of Malta by one of England’s most beloved Romantic painter, J.M.W. Turner, which had been recently purchased by Mid-Med Bank.
 The painting, depicting Malta’s Grand Harbour, was eventually loaned to the Museum of Fine Arts and remains at MUŻA  on a  permanent loan from HSBC.
 But, Dalli rebutted, HSBC’s introduction to Malta would place Malta “more securely on the international financial map” and bring about “a quantum leap in the the banking sector in Malta”.
 Meanwhile, HSBC Malta’s profits soared by 30% each year, rising from €32m in 2000, its first full year in Malta, to almost €120m in the span of just a handful of years.
 The bank reported profits of €134m last year and €39.3m in the first three months of 2024.
 But these profits will mean little to the bank’s thousands of customers and roughly 9,000 investors, who will be awaiting the outcome of the bank’s strategic review with bated breath.
",Neville Borg,"National,Banking,Economy"
