title,newspaper,url,date,imgs,body,author,tags
Vitals' auditor acted as ‘professional money launderer’: Hospitals investigation,timesofmalta,https://timesofmalta.com/article/vitals-auditor-acted-professional-money-launderer-hospitals.1093060,27-05-2024,000206.png,"An auditor who gave a clean bill of health to Vitals Global Healthcare is suspected to have acted as a “professional money launderer”.
 Accountant and auditor Chris Spiteri is at the centre of a web of companies set up by “secret” Vitals owner Shaukat Ali and his family members.
 An investigation into the hospitals deal established that Spiteri facilitated the Alis in setting up several companies directly involved in the healthcare concession.
 
 Many of these companies are suspected to have subsequently been used to siphon off public money into private hands.
 Investigators concluded Spiteri was privy to the “relatively enormous value of funds and additional benefits extracted by the Ali family” from the deal. These included lucrative consultancy contracts, employment contracts, luxury cars, travel and IT supply deals.
 They further allege that Spiteri was complicit in helping key players like Ali conceal the extent of their interests in the hospitals deal.
 
 He also used his client account to be used as a funnel for suspicious transactions, including for a medical cannabis firm suspected to be linked to former OPM chief of staff Keith Schembri.
 Spiteri was also aware that Ali had been actively involved in business in Libya, and Ali’s second wife had acted as personal secretary to Libyan dictator Muammar Gaddafi, investigators said.
 Ali denies wrongdoing and has downplayed his Libya links to Times of Malta.
 Investigators further allege that Spiteri accepted a €50,000 bonus from Steward to audit Vitals’ accounts and give the company a clean bill of health.
 This was done to ensure a smooth takeover of Vitals by Steward. Investigators said the bonus was offered to him via Ali’s son Asad.
 The bonus was “secretly built-in” to Spiteri’s audit fee and spread across the audit engagement fees for five companies.
 
 In accepting the bonus, Spiteri “set aside his professional ethics” and undermined the validity of the audit.
 Spiteri is facing a raft of charges, including forming part of a criminal association with Schembri, ex-prime minister Joseph Muscat and ex-health minister Konrad Mizzi. 
 In May, Spiteri took to Facebook to protest his innocence.
 Spiteri said he has never even met the ex-prime minister “in person”, let alone facilitated trading in influence.
 Spiteri said during the course of his audits of Steward, “I have never known that any criminal association exists”.
 “No bribery or money laundering have also ever come to my knowledge during all this time. I have been accused of facilitating trading in influence for Joseph Muscat, Konrad Mizzi and Keith Schembri – the truth is that I have never even met these individuals in person, let alone facilitating anything,” Spiteri said.
",Jacob Borg,"National,Hospitals deal,Crime,Police,Court"
No bail for man accused of setting fire to former partner’s car in dispute over access to child,maltatoday,https://maltatoday.com/news/court_and_police/129681/man_remanded_in_custody_after_setting_fire_to_his_former_partners_car_in_dispute_over_access_to_their_child,11-06-2024,000210.png,"The police have charged a man from Naxxar with arson, after he allegedly set fire to his ex-partner’s car in connection with a dispute over access to their child.
 Police inspectors Jeffrey Scicluna and Mario Xiberras, assisted by Prosecutor Joseph Camilleri Azarov from the Office of the Attorney General, charged 35-year-old John Joseph Debono with arson, criminal damage, offences against public order and littering in connection with the 3am fire that engulfed the vehicle in Sqaq il-Kubrit, Hamrun on June 6.
  Debono was also accused of driving without a licence and six other traffic offences, as well as aggravated harassment of the woman, causing her to fear he would be violent towards her, misuse of electronic telecommunications equipment and misuse of telecommunications equipment. He was also charged with breaching bail and recidivism.
 Inspector Xiberras testified that a warrant for Debono’s arrest had been issued following a joint investigation involving the district police and the Arson department. Debono, who was already known to the police, had been recognised from CCTV footage from the time and place where the car was set alight.
 The defendant, who said he works as an upholsterer, pleaded not guilty to the charges.
 Defence lawyer Roberto Spiteri requested bail, asking the inspector whether the injured party was in any way related to the man in the dock.
 There was, replied the inspector. The injured party had previously been in a relationship with Debono and was the mother of his child. The defendant had sent the woman an email in May, accusing her of withholding access to the child, ominously ending it “now we’ll see.”
 He had also sent multiple TikTok messages to the woman, continuing even after the arson attack.
 The defence lawyer suggested that the case against his client was based on documentary evidence, which had already been collected, but Xiberras pointed out that the victim and her father, the owner of the car, were yet to testify. He confirmed that there were no eyewitnesses.
 Camilleri Azarov pointed out that if the man were to be released from arrest, there was a risk of tampering with evidence and other offences being committed. He requested the court issue a protection order for the woman.
 The police had arrived at the defendant on the basis of footage and messages on social media which are already preserved. The risk that normally leads to bail being withheld - tampering with or destroying evidence - doesn’t apply in this case.
 The lawyer conceded that the man had a criminal record but said that it could not be used to prove intent, especially when his last conviction dated back years.
 He added that the defendant also had other children, a 13-year-old boy from another mother who had “completely abandoned her son.” “If bail is denied, the only parent taking care of him is going to be behind bars,” submitted the lawyer.
 Bail was, however, denied at this stage. The court upheld a request for a protection order in favour of the woman and her family.  ",Matthew Agius ,court_and_police
Man breached protection order by allegedly anonymously calling former partner’s phone to speak to son,maltatoday,https://maltatoday.com/news/court_and_police/129680/man_breached_protection_order_by_anonymously_calling_his_former_partners_phone_to_speak_to_son_,11-06-2024,000211.png,"A man was remanded in custody on Tuesday, accused of breaching a protection order by calling his estranged partner’s phone to speak to his infant son, only to be reported to the police after he used a mild derogative to refer to her.
 Inspector Christian Cauchi charged the 39-year-old builder from Birkirkara with misuse of electronic telecommunications equipment, exceeding the limits of provocation in insulting the woman, breaching a protection order imposed in April and recidivism.
  He told magistrate Yana Micallef Stafrace that the police Domestic Violence Unit received a report at 9:15pm on June 9, from the man’s ex-partner, who is also the mother of his child.
 The couple are in the midst of ongoing family court proceedings, in connection with which a protection order had been issued. 
 Inspector Cauchi explained that the defendant had tried to call the woman a number of times on Facebook messenger, writing that he wanted to speak to her about their son.
 When she failed to answer the calls and messages, the man had phoned her up, using an unknown phone number.
 When the woman answered the call and realised it was the defendant, she had handed the phone to her 3-year-old son, who put the call on loudspeaker. The man told the boy “Aw qalbi, ħsibta mhux ha twiegeb dik il-minfuħa ommok (Hi my love, I thought your pompous mother wasn’t going to pick up the phone),” the court was told.
 Lawyer Lennox Vella, assisting the man as defence counsel, pointed out to the court that his client had been speaking to his son, but the issue most troubling to the magistrate was that the phone belonged to the mother and that the call appeared to be a breach of the protection order.
  
 A not guilty plea was entered, and bail was requested. “There are ongoing proceedings before the Family Court,” explained the lawyer. “A father must be able to speak to his son and the existence of a protection order does not impede this. Family proceedings should not be used as a weapon.”
 The lawyer argued that when the woman had wanted to travel abroad, she had found no problem in leaving the boy with his father.
 But the court said the protection order was “very clear,” in that he cannot initiate communication with her.“Whatever the situation, it’s her discretion. No communication. Nothing, zero, zilch.”
 “How else can he speak to his three-year-old son?” asked the lawyer. The magistrate said that it was not clear at this stage who was baiting whom, but the law was clear on the matter on communication.
 Vella submitted that the defendant is a gainfully employed builder, with no substance or alcohol abuse problems and satisfied all the legal requirements for bail. “He has clients waiting for his work. We know what she is going to testify, that she heard him say “dik il-minfuha ommok.”
 “She reported him to the police for saying half a word, can you imagine what she’d do if he approached her? She’d go straight to the Domestic Violence Unit,” argued the lawyer.
 The prosecution pointed out that the man had a criminal record that was five pages long.
 The court denied bail at this stage.  ",Matthew Agius ,court_and_police
"Man held under arrest after heroin, cocaine found",timesofmalta,https://timesofmalta.com/article/man-held-arrest-heroin-cocaine-found.1101686,28-11-2024,000216.png,"A man is under arrest after a quantity of drugs was found in his possession.
 The police said the 43-year-old from Valletta was arrested at Triq is-Serkin, Marsa. Investigators found sachets of suspected heroin and cocaine as well as cash.
 Magistrate Philip Galea Farrugia is holding an inquiry.
 Police investigations are continuing.
  

                ",Times of Malta,"National,Drugs,Marsa"
Bodycam footage of Ħamrun assault on police officers played in court,maltatoday,https://maltatoday.com/news/court_and_police/131602/bodycam_footage_of_amrun_assault_on_police_officers_played_in_court,07-10-2024,000221.png,"Five individuals, including two restaurant owners, returned to court on Monday, as their compilation of evidence over an assault on police officers during a brawl in Ħamrun continued before Magistrate Monica Vella.
 The accused, four men and one woman, all Maltese nationals, are all pleading not guilty to charges, which included assaulting the officers and causing bodily harm. They had been denied bail upon arraignment after concerns about evidence tampering were raised.
  The defendants accused were identified as 46-year-old restaurant owner Elton Anthony Borg, 44-year-old Kurt Borg, also a restaurant owner, both from Ħamrun; 42-year-old Erica Borg, a housewife from Msida; 23-year-old Redeimen Aquilina from Ħamrun; and 33-year-old Christian Mansueto from Siġġiewi. During their arraignment two weeks ago before Magistrate Joseph Gatt, all five defendants pleaded not guilty and requested bail, which was refused at that stagecontested by the prosecution.
 Inspector Elisia Scicluna testified during Monday’s hearing and recalled the entire ordeal as it unfolded. The defence lawyers kept challenging her, resulting in her testimony lasting more than three hours.
 The altercation began when two officers approached a group that included the accused while issuing parking fines on Triq il-Kbira, San Ġużepp, in Ħamrun. According to Inspector Scicluna, the defendants were ""agitated and arrogant"" when confronted by the police. 
 She testified that Elton Borg grabbed one of the officers by the hand, and when ordered to stop, he stepped on the officer’s foot. When police attempted to separate the individuals, both Kurt and Elton Borg resisted violently, prompting the officers to try to arrest them to control the situation.
 The situation escalated quickly as more individuals arrived at the scene, with the crowd becoming increasingly hostile towards the officers. Police used a taser and pepper spray to regain control while ordering the crowd to disperse.
 Defence lawyer Franco Debono questioned the validity of the arrest and the way the defendants were treated by the police. He argued that the accused had not been properly informed of their rights at the time of their arrest, suggesting a potential procedural irregularity. The defence also requested that the court declare the arrest illegal due to this alleged failure to respect the defendants' rights.
 Footage from a police bodycam was played presented in court, showing the initial altercation and the events that followed. During the cross-examination, Debono questioned the timing of the activation of the police bodycam and the language used by officers during the confrontation. At one point, the footage captured a police officer making a derogatory comment (“Kemm int avukat tajjeb ostja”) towards Elton Borg, with Debono arguing that such language could have escalated tensions unnecessarily.
 Despite defence objections, the court proceeded with the case, noting that evidence had been presented in accordance with legal procedures. The defence requested the court to investigate the officers' conduct further, especially regarding whether appropriate arrest procedures and behaviour standards were maintained.
 The prosecution stood by the validity of the arrests, arguing that, quoting Blackstone, all appropriate procedures had been followed. They stated that while the behaviour of certain individuals involved in law enforcement could be scrutinised, this did not justify the defendants’ violent response against the officers, as they stated that words or phrases can never justify violence as a response.
 The case is ongoing.
 Elton and Kurt Borg were assisted by lawyers Matthew Xuereb and Alex Scerri Herrera; Erica Borg, 42, was assisted by Arthur Azzopardi and Jacob Magri; Redeimen Aquilina was assisted by lawyer Mario Mifsud and Nicholas Mifsud; Christian Mansueto was assisted by lawyers Franco Debono and Charles Mercieca.  ",Jordan Pace ,court_and_police
Social media video of thief breaking into car leads to man's arrest,maltatoday,https://maltatoday.com/news/court_and_police/130738/social_media_video_of_thief_breaking_into_car_leads_to_mans_arrest_,14-08-2024,000250.png,"A video circulated on social media, showing a man breaking into a parked car, has led to the arrest of a man suspected of multiple thefts.
 Police inspectors Antonello Magri, Kurt Farrugia, and Keith Rizzo, assisted by prosecutor Brendan Hewer, arraigned 46-year-old Stephen Urry before magistrate Marseanne Farrugia on Wednesday.
  Inspector Farrugia told the court that while investigating a theft from a car in Paola, the police had obtained footage which showed the car being broken into.
 That footage had also been circulated by third parties on social media, he said. When a third party informed the police that a man wearing the same outfit as the person on the video was currently in Triq il-Gdida, Paola, officers had immediately gone to speak to him.
 The officers confirmed that the man, Urry, was indeed wearing the same clothes as the person in the footage and took him in for questioning. It emerged from the investigation that the same suspect had likely been involved in other aggravated thefts of wallets, keys, sunglasses, electronics, and cash over the past three months, in Paola, Fgura, and Tarxien.
 Urry, who told the court he was homeless, claimed to have been boarded out on mental health grounds when asked what he did for a living.
 He pleaded not guilty to four counts of aggravated theft and criminal damage, as well as a charge of recidivism and breaching bail.
 Legal aid defence lawyer Maria Karlsson, who was appointed to assist the defendant, did not request bail.  ",Matthew Agius ,court_and_police
"Quadbike overturns on St Paul’s Bay bypass, pillion rider seriously injured",maltatoday,https://maltatoday.com/news/court_and_police/130748/quadbike_overturns_on_st_pauls_bay_bypass_pillion_rider_seriously_injured,15-08-2024,000251.png,"A 34-year-old man who was riding pillion on a quadbike that overturned on the St Paul’s Bay bypass was hospitalised with serious injuries on Thursday.
 The police said the accident happened at around noon. The 29-year-old driver of the quadbike was certified to have sustained slight injuries.
 Both men are Italian and had to be taken to hospital by ambulance for further treatment.
 The police said investigations into the accident are ongoing.  ",Staff Reporter ,court_and_police
"Six individuals, two companies were meant to be arraigned over Vitals deal on Wednesday",maltatoday,https://maltatoday.com/news/court_and_police/130061/six_individuals_two_companies_were_meant_to_be_arraigned_over_vitals_deal_on_wednesday,03-07-2024,000263.png,"The police have attempted to charge a further eight individuals and companies today over the government’s fraudulent hospitals deal with Vitals Global Healthcare.
 Swiss companies Accutor AG, Spring Healthcare Services AG and their legal representatives, Wasay Attaoul Bhatti, 39, Kamal Sharma, 38, Lujo Mikulicic, 39, Tyrone Robert Kirkwood Greenshields, Hamid Chaudry, Ahmed Ibtesam, were meant to be charged with aiding and abetting the bribery of former Prime Minister Joseph Muscat while he was in Office, as well as his Chief of Staff Keith Schembri and Minister Konrad Mizzi. 
  A number of other charges relating to money laundering, criminal conspiracy, and aiding and abetting Muscat, Mizzi, Schembri, Shaukat Ali, Asad Shaukat Ali, Wajid Shaukat Ali and Ram Tumuluri to commit the crime of trading in influence were also filed.
 Only Bhatti and the companies he represents: Accutor and Spring Healthcare Services appeared in court before magistrate Leonard Caurana today; however. 
 The prosecution explained that they had been unable to serve the summons on the other defendants. 
 Sri Ram Tumuluri was supposed to be amongst the defendants being charged today, but had also proved difficult to serve with a summons, the court was told. Similar explanations were given with regards to the absence of Tamal Sharma and Tyrone Greenshields 
 Sharma had been mentioned in the magisterial inquiry as having heard a third party say that Muscat was being paid millions every year for the concession of the three public hospitals to Vitals Global Healthcare.
 Bhatti, Accutor and Spring Healthcare entered not guilty pleas to the charges against them.
 The prosecutors alleged that Bhatti had helped facilitate the payments of bribes to Muscat, Mizzi and Schembri, and that he had assisted Shaukat Ali and Sri Ram Tumuluri in their negotiations.
 Prosecutors requested a €9 million freezing order over Bhatti’s assets.
 Italian businessman Giusepe Domizio Musarella, 59, was also arraigned in court today, accused of money laundering, fraud and making false declarations to a public authority. Prosecutors say he purchased a Cyclotron through Mtrace, a company that had just been set up, and which was subsequently sold to Vitals.
 Musarella pleaded not guilty, his lawyers arguing that he was a legitimate businessman who had been dragged into the sordid deal. Lawyers Shazoo Ghaznavi and Jessica Formosa assisted Wasay Attaoul Bhatti. Lawyer Veronique Dalli appeared for Musarella.
 Prosecutors Francesco Refalo, Shelby Aquilina and Rebekah Spiteri are representing the office of the Attorney General, assisting police superintendent Hubert Cini and Inspector Wayne Rodney Borg.  ",Matthew Agius ,court_and_police
Massage therapist gives court harrowing account of her rape at the hands of a client,maltatoday,https://maltatoday.com/news/court_and_police/130999/massage_therapist_gives_court_harrowing_account_of_her_rape_at_the_hands_of_a_client,02-09-2024,000274.png,"A Thai massage therapist gave a court a harrowing account of her brutal sexual assault and rape at the hands of a male client, who hit her in the head and knocked her to the floor, before tying her up and raping her.
 Magistrate Kevan Azzopardi heard the testimony of one of three alleged victims of Harona Conateh, who was arraigned last month. 
  The 32-year-old Gambian man stands charged with three counts of rape, targeting employees at three different massage parlours in Sliema and Birkirkara in June and July. 
 The names of the alleged victims are being withheld from publication, in line with a court order to that effect.
 First to testify was a court expert who was appointed by the inquiring magistrate to download and analyse CCTV footage from several places.
 CCTV footage from some cameras in the area had already been overwritten, he said, but one of the cameras from which footage was successfully extracted, clearly shows a person entering the premises at 2:30pm June 22, wearing a bright coloured hat “that was probably yellow”, bermuda jeans and striped shirt. A person with the exact same outfit is then captured on camera leaving the premises at 2:40pm.
 Victim testifies
 One of the man’s three alleged victims, a Thai woman, testified on Monday, telling the court that a tall, black man had gone to the massage parlour where she had been working on 3 July and rang the doorbell.
 He was wearing a dark-coloured polo shirt with a print, a yellow beanie hat and bermuda shorts, she said, confirming that it had been the first time that she had seen the man.
 When she answered the door, he had asked whether he could have a massage. The witness had replied that she had another client appointment at 5:00pm and which only left had a 30 minute slot for him. “He spoke English with a strong accent and was using gestures to communicate,” said the witness. 
 Prosecutor Angele Vella asked the witness what services she had offered the man. “Massage,” replied the woman, adding that after she had handed him a brochure listing the various types of massage on offer after telling him the price. The man had pointed to a 90-minute massage, and it had to be explained to him that this was not possible as the masseuse only had half an hour. She said she could offer a 30-minute Thai back and shoulders massage with oil. “He said Ok. 30 minutes ok,”  and then handed over the amount in cash. 
 But things started to go south then, inside the massage room, the man had asked her to “massage his nipples”, she recalled. When she declined, he reacted violently, knocking her glasses off her head, grabbing her by the wrist and throwing her to the floor, where he then proceeded to sexually assault her with his hand, ignoring her screams, kicks and pleas for mercy.
 She said that the man had then tied her hands together with a rope. Realising that the man was too strong for her to resist, she said she had attempted to buy some time by telling him that if he untied her, she would give him what he wanted.
 The woman was untied and allowed to stand up for some air, before the man once again told her to touch his chest. She tried to change the subject, asking him about his family in the hope of eliciting a sympathetic response. 
 But the ruse didn’t work. The man suddenly pushed her face down on the ground and raped her, she said. When he was finished, he walked to the door, telling her, “next time don’t do this to me.”
 The court was told that the woman had suffered bruises and injuries to her ribs. A gynaecological examination confirmed that the woman had also suffered internal vaginal injuries.
 She said that she was suffering from depression as a result of the incident.
 The witness described her aggressor as wearing a dark t-shirt and a yellow hat, a description that matched the CCTV expert’s observations.
 The sitting was adjourned to 17 September at 2:00pm.
 Prosecutors Angele Vella and Nicholas De Gaetano are representing the Office of the Attorney General in the proceedings. 
 Lawyer Ilona Schembri is Conateh’s defence counsel.
 Police inspectors Clayton Camilleri, Brian Xuereb and Wayne Buhagiar issued the charges  ",Matthew Agius ,court_and_police
Mourners asked to avoid black at 'vibrant soul' Nicolette Ghirxi's funeral,timesofmalta,https://timesofmalta.com/article/funeral-nicolette-ghirxi-held-saturday.1096745,14-08-2024,000306.png,"The funeral of Nicolette Ghirxi, who was murdered on Monday by her former partner  Edward Johnston, will be held on Saturday.
 Mass will be held at the Divine Mercy Sanctuary in Naxxar at 8.30am.
 Justine Azzopardi, Ghirxi’s niece, urged attendees to avoid wearing black.
 “Nicolette was a vibrant soul who brought energy and colour wherever she went, and so, we ask that guests wear colours to reflect the joy she spread.”
 Ghirxi was stabbed to death by Johnston at her apartment in Swatar late on Sunday night.  
 Her body was discovered on Monday at 2am.
 Johnston was shot dead by police officers in St Julians after he brandished a weapon which turned out to be a replica gun.
 Azzopardi said that Nicolette ""was taken far too soon in the most unimaginable and tragic way"".
 In a show of support towards the fight against violence towards women, the family has requested donations to be made to the Women for Women Foundation. 
 Any other donations may be made to animal shelters, Azzopardi said.
 Nicolette herself owned a dog and four cats.
 ",Times of Malta,"National,Murder,Social and personal,Crime"
