title,newspaper,url,date,imgs,body,author,tags
Non-EU workers applying for tourism skills pass 'not up to standard': ITS boss,timesofmalta,https://timesofmalta.com/article/noneu-workers-applying-tourism-skills-pass-not-standard-its-boss.1096249,08-02-2024,000270.png,"Non-EU workers applying for a tourism skills pass to work in the hospitality sector are “not up to standard” and many fail the course, the head of the Institute of Tourism Studies said on Friday.
 Pierre Fenech told a conference on tourism that the performance of non-EU workers at tests needed to obtain the sills cards was “shocking”. 
 “Some [candidates] pass phase one of the test but a large number fail phase two,” he said.
 Fenech was referring to skills cards that cost non-EU workers applying for jobs within the tourism sector €474.
 To obtain it, candidates need to enrol for a course. While the first part of the course consists of a hospitality online course, for the second part they have to sit for an in-person test. 
 
 “The candidates are not up to standard. If I were running a hotel or catering establishment, and one of these people applied to work for me, they would not last two minutes,” he continued. 
 “The situation after COVID was desperate and we needed more human resources, however, we cannot continue like this, especially if we want to attract high-quality tourists.”
 When Times of Malta asked for more details about the applicants, Fenech said ITS would reveal the full figures in a press conference in the coming weeks 
 He clarified that applicants who were already working in Malta have already passed the first phase of the course.
 Originally due to be launched in January, the introduction of the pass had been postponed to May over concern by the  Malta Hotels and Restaurants Association.
 On Friday, hoteliers and employers said the course might push away workers from a sector that needed them.
 One employer said the questions were more adequate for management students rather than those applying for housekeeping and dishwashing jobs.
 “These workers are in a state of panic. I feel sorry for them as they cannot answer the questions,” she said. 
 Fenech said the course was “simple” and students could answer questions after spending a couple of hours following the course.
",Giulia Magri,"National,Employment,Tourism"
"July tourist arrivals grow by 18.5%, with 40% being younger than 24 years old",timesofmalta,https://timesofmalta.com/article/july-tourist-arrivals-grow-185-40-less-24-years-old.1097974,09-12-2024,000642.png,"Tourist arrivals grew by 18.5% in July from the same month in 2023 and reached 385,591, the NSO said on Thursday.
 The biggest group was made up of tourists aged up to 24 (39.9 per cent), followed by those in the 25-44 age bracket (33.0 per cent). In 2023 the biggest age group was between 25-44 years old while the two lower age groups were about equal in 2022.
 Italian, British, and French tourists made up 48.5 per cent of total arrivals.
 Total nights spent went up by 9.8 per cent when compared to July 2023, reaching almost 2.8 million nights. The largest share of guest nights (89.2 per cent) was spent in rented accommodation establishments .
 The average length of stay of total inbound tourists was  7.2 nights.
 Total tourist expenditure amounted to almost €403.9 million, an increase of 20.7 per cent over the corresponding month in 2023. The average expenditure per night was estimated at €145.2.
 The number of tourists visiting Gozo and Comino, including both same-day and overnight visitors, totalled 257,754, or 66.8 per cent of total tourists.
 The NSO said tourist arrivals in the first seven months of 2024 amounted to 1,976,457, an increase of 22.4 per cent over the same period in 2023. Total nights spent by inbound tourists went up by 14.3 per cent, surpassing 12.2 million nights.
 Total expenditure was estimated at €1.7 billion, 23.6 per cent higher than that recorded for the same period in 2023. Total expenditure per person increased to €858 from €849 for the corresponding period in 2023.
 The number of tourists visiting Gozo and Comino, including both same-day and overnight visitors, totalled 1,109,844, or 56.2 per cent of total tourists.
",Times of Malta,"National,Tourism"
Tourism Skills Pass tests seeing 50% failure rate,timesofmalta,https://timesofmalta.com/article/tourism-skills-pass-tests-seeing-50-failure-rate.1098454,23-09-2024,"001516.png,001517.png,001518.png,001519.png","Around half the candidates who sat for Skills Pass tests to work in the tourism and hospitality sector failed the exam process, according to data provided by the Institute of Tourism Studies.
 As of May, non-EU hotel, bar, and restaurant workers have been required to hold a skills card that costs €475 to work in the sector. 
 On Monday, the head of ITS, Pierre Fenech gave an overview of the candidates and results of the Skills Pass tests in the past three months.
  He told a press conference that up to last week, the biggest percentage of candidates who applied for the Skills Card were from Nepal (29%), followed by  India (25%). There were 9% from Colombia, 8% from Philippines and 4% from Pakistan. The rest came from various other countries. 
 44% of those who applied for the Skills Pass had been working in Malta for over a year. The rest are not currently working here.
 
 To obtain the pass, candidates must sit through two examinations. 
 Phase 1 consists of an English test, including ‘Essential English for hospitality’ and a ‘basic Maltese tourism product’ test, where the candidates are tested about Maltese history, culture, traditions and tourist attractions. 
 887 certificates have been issued so far for phase 1 and 885 candidates are sitting for their Phase 1 exam.
 In Phase 2, candidates must sit through interviews, either held virtually at ITS or in a centre in their home country. During the interview, the candidate must pass an English language test and practical skills assessments tailored to the candidate’s chosen job. 
 The exam is 30 minutes long, and the assessor is provided a set of questions at the beginning of the exam. Questions are chosen randomly by computer and candidates are questioned on the topics taught in Phase 1 and basic general questions.
 Candidates who have been living in Malta for more than one year are excluded from sitting for Phase 2.
 According to the data, 99% of candidates passed Phase 1, unlike the 50% of candidates who failed Phase 2. .
  When asked about the failure rate, Fenech said this was due to candidates not knowing the language or their chosen occupation well enough. 
 Overall, 1,233 Skills Pass certificates have been issued in the past three months. That includes certificates issued for candidates who only sat for Phase 1 and those who sat for both phases.  
 Fenech said that 6% of candidates were suspended after they were caught cheating. Some tried to do the test with someone else, looked up answers on their phone or blocked the camera monitoring them. They will need to reapply.
 When asked what feedback ITS has received, Fenech said candidates had commented positively on the Maltese Tourism Product course, and that many said they found it useful for living and working in Malta.
",Giulia Magri,"National,Tourism,Employment"
Malta is planning to regulate Airbnb rentals. What have other places done?,timesofmalta,https://timesofmalta.com/article/malta-planning-regulate-airbnb-rentals-what-places-done.1101160,19-11-2024,002223.png,"This week marked Malta’s first foray into the struggle to rein in short-term tourist rentals, with the tourism authority hinting at plans that would require would-be tenants to seek approval from their condominium neighbours.
 Reactions to the news were predictably mixed, ranging from those arguing that the move will hurt homeowners and the housing market, to others saying the plans do not go far enough to solve the problems caused by short-term rentals.
 As Malta finally begins to grapple with the question of how to balance its tourism industry with the peace of mind of its residents, it would do well to look into how some of its European neighbours are trying to tackle the situation.
 MTA’s plans appear to be modelled on Turkey, which introduced new rules late last year in the hope of clamping down on unregulated rentals.
 The rules say that anybody thinking of renting out a property first needs to get unanimous approval from all the other apartment owners in their block before they are given a permit.
 Even if they are given a permit, they can only rent the property out for a maximum of 100 days in a year.
 They would also need to stick a sign at the property’s entrance, clearly marking it out as a rental property.
 And if other apartments in the block are already being used as short-term rentals, they may be out of luck entirely – only 25 per cent of apartments in buildings with more than three units can be used for tourist accommodation (unless a single person owns the entire block).
 Other countries have adopted altogether more draconian measures.
 Barcelona famously vowed to ban Airbnb altogether over the next five years, promising to stop renewing the licences for its 10,000 tourist apartments until there are none left in 2029.
 Several other Spanish tourism hotspots, including Mallorca and  Malaga, will be keeping a close eye on Barcelona, as their own residents push back against overtourism, with the latter now only issuing licences to properties that have their own separate street entrance.
 Florence, where every third home in the city centre is listed on Airbnb, is also following in Barcelona’s footsteps, banning all new listings altogether, with  Venice also likely to follow suit.
 Meanwhile, residents in a neighbourhood in Budapest recently voted to ban short-term rentals in the district from 2026, with the national government saying it is mulling a moratorium on all Airbnb licences while it gets its thoughts in order.
 But outright bans are notoriously difficult to implement.
 Berlin, the first European city to introduce a city-wide Airbnb ban back in 2016, had to row back on its plans just two years later, despite studies showing that the ban successfully cut down on tourism rentals and increased housing supply.
 In place of the ban, Berlin introduced a series of rules that allowed people to rent out their second property for up to 90 days in a year, upping fines for rule-breakers to a staggering €500,000.
 Portugal, too, reversed its plans to stop issuing licences for short-term rentals in many urban areas. The plans had been introduced after local communities piled pressure on authorities to tackle the issue but, just a few months (and one change in government) later, the rules were scrapped altogether, much to Airbnb’s delight.
 Several other cities and countries around the world have tiptoed their way around a blanket ban, instead implementing rules that make it increasingly difficult for landlords to list their property on Airbnb.
 Some have gone down the route of introducing upper limits on for how long a property can be rented out, ranging from just 30 days in a year in Amsterdam, to 90 days in  London and  Austria, and 120 days in Paris.
 Others have gone in the opposite direction, imposing a minimum rental period in a bid to effectively kill off short-term rentals.
 In Singapore, a property can now only be rented out for a minimum three-month period, effectively killing the short-term rental market entirely. The Hawaiian city of  Honolulu introduced a similar 90-day minimum rental period in its tourist hotspots.
 Some, such as New York, have adopted a more creative approach.
 The city introduced a controversial new law last year saying that a property can only be registered for rental if the owner physically shares the living quarters for the duration of the rent and, even then, to no more than two guests at any one time.
 But whether or not the rules have been successful in improving the city’s housing market remains up for debate. Critics say that although short-term rentals plummeted as soon as the rules were introduced, long-term rental prices continued to increase, with the city’s hotels licking their lips as they watch their profits rise.
 Meanwhile, Marseille’s mayor is pushing for laws which would oblige Airbnb landlords to buy another property in the city which they would then put up for long-term rental to increase housing supply in the city.
 How Malta will implement its own short-term rentals rules remains to be seen.
 Current rules state that anybody who wants to rent out their property as a holiday home needs to be licensed by the Malta Tourism Authority.
 Last summer, MTA had over 6,000 licensed properties on its books, a little over a fifth of them in Gozo.
 But MTA figures suggest that this is likely to increase, with over 1,100 new applications for licences received in the first eight months of 2024 alone, as many as in all of 2023.

                ",Neville Borg,"National,Tourism,Hotels/Hostels/Airbnb"
Skills Pass tax credit for employers who want to retain non-EU workers,timesofmalta,https://timesofmalta.com/article/skills-pass-tax-credit-employers-want-retain-noneu-workers.1093166,29-05-2024,002298.png,"Tourism and hospitality employers can apply for a 'subsidy' that covers up to 50% of the fee linked to the Skills Pass card for non-EU workers. 
 Non-EU workers in hotels, bars, and restaurants need a skills card costing €475 to work in the tourism sector. As of this month, the Skills Pass is mandatory.
 The 'subsidy' scheme, called Skills Pass Support, was launched on Tuesday through a collaboration between Malta Enterprise and the Institute of Tourism Studies (ITS).
 The initiative is meant to make the Skills Pass more accessible to existing employees in the high-demand industry.
 The 'subsidy' will take the form of a tax credit for employers who apply for the card on behalf of their non-EU workers.
 “By covering part of the financial obligation associated with the Skills Pass, this scheme seeks to foster a more competent and competitive workforce, ultimately contributing to the overall growth, sustainability and quality of this key local industry,” Malta Enterprise and ITS said in a statement. 
 ITS and Malta Enterprise will host an information session about the scheme on June 4 at 10am.
 The session will provide insights into the application process, eligibility criteria and benefits of the scheme.
 Business owners and managers interested in attending the webinar can register by June 3.
 
 The pass, which was originally due for introduction in January, was postponed following concern by the  Malta Hotels and Restaurants Association.
 MHRA had said there was too little time for the industry to comply with the requirements.
 Meanwhile, according to a survey by the Gozo Tourism Association, two-thirds of Gozitan employers said they were not prepared to fork out the costs for the skills card. 
 Non-EU workers seeking jobs in the tourism and hospitality industry can apply for the mandatory online course in English language proficiency, customer care, hospitality and what Malta offers tourists. 
 It will be taught by two artificial intelligence personas called 'Ryan' and 'Clara' and will be needed for work in hotels, bars, restaurants, kitchen staff, housekeeping and front office posts.
 Candidates will also need to be approved by Jobsplus and the police before receiving a one-year work permit.
 By January 2025, any tourism and hospitality workers already working in Malta, and who want to renew their work permit will also need to apply for a skills pass.
 The scheme will then be rolled out to all EU and Maltese workers in the tourism and hospitality industry from January 2026.
",Giulia Magri,"National,Tourism,Employment"
Gozo tourism operators saw drop in revenue in the first half of the year,timesofmalta,https://timesofmalta.com/article/gozo-tourism-operators-saw-drop-revenue-first-half-year.1096125,31-07-2024,002608.png,"More than half of tourism operators in Gozo saw a drop in their revenue for the first six months of the year when compared to 2023, new data published by the Gozo Tourism Association has found. 
 Some 53% of businesses who responded to the association saw a drop in revenue, despite tourist arrivals increasing by 21% during the first five months of the year. 
 Respondents came from the accommodation sector, restaurants, diving centres, tourist attractions, transport, tour operators, travel agencies, property rentals and tourism consultancy firms in Gozo. 
 A staggering 88% of respondents said that they were impacted by recent electricity outages and a further 44% also noted damage to their equipment and stock as well as a a loss of business. 
 This also lead to business owners having to compensate their clients for the inconvenience. 
 An alarming 85% of respondents believe that the general touristic offer in Gozo is not meeting guests' expectations due to various factors including excessive construction, lack of tranquillity, poor infrastructure, noise disturbances, and cleanliness issues. 
 56% said that their prices and rates remained unchanged compared to the previous year, with 57% also saying that they mostly depend on foreign visitors and 43% mainly Maltese customers.
 While 54% of respondents noted an increase in overall customer satisfaction compared to the same period last year, 93% of the survey participants reported an increase also in their operational costs. 
 The survey highlighted the primary challenges faced by establishments, with 56% citing increased competition, 44% pointing to the economic conditions, and 42% noting the lack of human resources. 
 When questioned about their pricing strategies, 47% of respondents stated that there was no change, while 40% reported the need to increase their prices due to rising costs. 
 Improved online reviews and feedback from clients were reported by 51% of the respondents when compared to the same period of last year, while 56% stated that there was no change in their marketing and promotional initiatives. 
 When questioned about the Skills Pass, a significant 78% of respondents indicated that they have not been affected by the Skills Pass initiative yet, although the other 22% reported a negative impact.
",Times of Malta,"National,Tourism,Gozo"
Charmaine Gauci confirms: no evidence to back dog and cat butcher rumours,timesofmalta,https://timesofmalta.com/article/charmaine-gauci-confirms-no-evidence-back-dog-cat-butcher-rumours.1094321,22-06-2024,003180.png,"Public health superintendent Charmaine Gauci said authorities found no evidence to corroborate claims that a Gozitan butcher was using dog and cat meat to produce Maltese sausage. 
 Gauci's statement, which was further corroborated by a statement from the Animal Welfare Ministry, confirms what Times of Malta reported on Friday.
 The public health chief was speaking after rumours about the butcher went viral, causing panic and disgust in equal measure. Some also claimed that people had fallen sick over the weekend after eating sausages from the butcher. 
 Various media outlets reported the claims and one NGO claimed on social media that the claims about the butcher were confirmed as ""true"".  
 But on Friday evening health authorities told Times of Malta they had no evidence to back the rumours, despite having inspected the butcher and probd the claims. 
 Speaking on Saturday on an RTK103 radio show, Gauci reiterated that.
 ""If there is any hint of information, we begin investigating,"" Gauci said. 
 The butcher shop in question was listed as no longer operating, but health authorities still visited the location more than once and at different times of the day to confirm. 
 Authorities also investigated claims that the sausages were being made at another location, Gauci said. 
 ""We went to several places that could be related to the owner of the butcher shop"". 
 In joint investigations involving the police and veterinary department, health authorities found no evidence that Maltese sausage was even being made, Gauci said. 
 Furthermore, there were no reports from any hospitals of food poisoning that could lead to the case. 
 In a separate statement, the agriculture ministry confirmed that no evidence was found to support the claims but added that investigations into the case are still ongoing. 
 ""This is what happens in every case related to food safety or animal abuse,"" the ministry said.  
 The veterinary health directorate and health authorities regularly conduct inspections to ensure food safety, the ministry said. 
 The agriculture ministry urged consumers to only buy from authorised establishments. 
 They said people should report illegalities but avoid making false reports. 
 Such reports ""may put Maltese food and the important work of Maltese and Gozitan Farmers in a negative light,"" the statement said. 
",Daniel Ellul,"National,Gozo,Food and drink,Animal welfare"
Mandatory union membership will be reality ‘well before’ election - Andy Ellul,timesofmalta,https://timesofmalta.com/article/mandatory-unionisation-well-before-election.1098766,30-09-2024,003155.png,"The government plans to implement some form of mandatory union membership “well before” the end of its term in office, junior minister Andy Ellul said.
 The Labour Party proposed introducing the measure in its last general election manifesto, declaring it agrees with the principle of mandatory trade union membership and “will begin discussions with social partners about the implementation of this measure”.
  The parliamentary secretary for social dialogue said the government has indeed been discussing the matter with social partners.
 “We started from a point where some stakeholders didn’t even want to discuss the issue. We have made advances in the discussion since then,” Ellul said.
 The junior minister said he will announce the way forward in the coming days.
 Ellul said the government is looking at four models of ways to implement the measure and will discuss them in an “open manner” through a public consultation or some other way.
 The four models described by Ellul are: a system in which every employee is a union member; mandatory union membership only for low-wage earners; obliging third-country nationals to be in a trade union; a sectoral system where mandatory membership applies to just some industries.
 He said several organisations are on board, including the General Workers’ Union, UĦM Voice of the Workers, Moviment Graffitti,  Solidarjetà, and  Żminijietna.
 
 As to the timing when legislation on the issue will be enacted, Ellul said: “I think it will be much before the end of the legislature.”
 The General Workers’ Union has been among the most vocal supporters of introducing a mandatory union law, having floated the idea in their 2019 pre-budget document.
 The union had justified its proposal by saying it would boost the fight against precarious employment and exploitation in sectors where unionisation is very low or non-existent, such as construction and tourism.
 The UĦM called for mandatory union membership for low-income workers in spring 2022. 
 The Malta Employers’ Association, the Malta Chamber of Commerce and the Chamber of SMEs had jointly declared themselves against the proposal.
",Daniel Ellul,"National,Employment,Unions"
Marriott upgrades to resort and spa in €40m investment,timesofmalta,https://timesofmalta.com/article/marriott-upgrades-resort-spa-40m-investment.1092763,21-05-2024,"003207.png,003208.png,003209.png","The Marriott Hotel, overlooking Balluta Bay in St Julian's, has upgraded to a five-star resort and spa after a €40 million investment.
 The final phase of the project was the completion and opening of the Cala Lido, Bar & Restaurant, which, the hotel said, sets it apart by bringing ‘Wonderful Hospitality. Always,’ to every aspect of the guest experience.
 “The classification to Malta Marriott Resort & Spa presents an opportunity to invite new and loyal travellers of Marriott Bonvoy’s flagship hotel brand to embark on their next journey of relaxation and exploration. Furthermore, the launch of Cala Lido is designed to meet and exceed the evolving needs of multi-generational travellers, creating a space that is met by comfort, connection, and excitement"",  general manager Alex Incorvaja said.
 The €4M venue gives Malta Marriott an uplift in its leisure proposition through the introduction of an additional large outdoor pool and children’s splash pool, a restaurant & bar, expanded banqueting space, all set within lush, purposely landscaped gardens, complementing a roof-top pool and an indoor pool which forms part of its spa facility. 
  The conclusion of the project was celebrated on Monday with a reception attended by Prime Minister Robert Abela, who said this was another vote of confidence in Malta's tourism industry.
  He said such an investment was made possible because Malta's tourism sector had grown and seasonality had become something of the past.
 The prime minister was taken on a tour of the complex and met workers and the local and overseas management, including David Marriott, chairman of Mariott International.
 He promised the government's continued support for the tourism industry and further efforts to raise standards. 
",Times of Malta,"National,Tourism"
New Airbnb rules would affect three-quarters of Malta’s licenced holiday homes,timesofmalta,https://timesofmalta.com/article/new-airbnb-rules-affect-threequarters-malta-licenced-holiday-homes.1101286,25-11-2024,"003314.png,003315.png,003316.png","As many as three out of every four licenced holiday homes in Malta and Gozo could be impacted by new regulations for short-term lets, according to an exercise carried out by Times of Malta.
 The plans, floated by MTA CEO Carlo Micallef last week, would see landlords who rent out short-let apartments required to get the go-ahead from their condominium neighbours before being granted a licence.
  Landlords currently need a licence from MTA to rent out their property as a holiday home.
 According to MTA data, there were just over 6,000 licenced short-let holiday homes across the Maltese islands as of this summer, 4,625 in Malta and 1,379 in Gozo.
 Nevertheless, the true number of properties on the rental market is likely to be higher. A 2019 Central Bank study found that there were a little under 9,000 properties in Malta listed on Airbnb, going for an average of €80 per night.
 More recently a study commissioned by Malta’s hoteliers found that there were just over 10,000 properties listed on Airbnb and fellow short-let platform VRBO, suggesting that almost half of all holiday homes in Malta operate without a licence.
 An analysis of MTA’s licenced properties suggests that as many as three-quarters of them form part of an apartment block or condominium.
 The remaining quarter are mostly made up of farmhouses, villas and townhouses.
 Holiday homes in Malta, where more than four of every five short-lets are believed to be situated in an apartment block, would be particularly hard-hit.
 Those in Gozo, on the other hand, are less likely to bear the brunt of the plans, with fewer than half the holiday homes on the island believed to be apartments.
  The data shows that of Malta’s 6,004 licenced holiday homes, over three-quarters (4,625) are in Malta.
 Almost half, 1,920, can be found in just three of Malta’s tourist hotspots, namely Sliema, St Julian’s and St Paul’s Bay.
 Valletta is home to over 400 properties with an MTA licence, with Mellieħa, Swieqi and Marsascala also proving popular.
 Meanwhile, Xagħra’s 190 holiday homes tops Gozo’s list, with Għarb trailing closely behind.
 
 Only three towns across Malta and Gozo – Marsa, Mtarfa and Santa Luċija – remain untouched by the Airbnb phenomenon, without a single licenced holiday home.  
 In total, Malta’s licenced holiday homes provide almost 25,000 bed spaces. 
 Tourists staying in holiday homes are frequently blamed for a myriad of problems in tourist hotspots, from littering and excessive noise, to all manners of  unruly behaviour.
 Details on how Malta plans to manage the ever-increasing Airbnb rental market remain scarce.
 Robert Abela has seemingly ruled out a Barcelona-style blanket ban,  telling  Times of Malta that the government will protect the investment of anyone who bought a property to rent it out as a holiday home.
 Meanwhile, reactions to the proposal floated by Micallef were mixed, with estate agents describing them as misguided, while others say the proposal doesn’t go far enough.

                ",Neville Borg,"National,Tourism,Hotels/Hostels/Airbnb"
