title,newspaper,url,date,imgs,body,author,tags
‘Churches will come to life with music’: organ festival returns for 11th year,timesofmalta,https://timesofmalta.com/article/churches-come-life-music-organ-festival-returns-11th-year.1101016,17-11-2024,"003231.png,003232.png","This Friday sees the welcome return of the Malta International Organ Festival, a celebration of the organ and its music and a creative journey through some of the country’s richest sacred spaces.
 Entering its 11th year, this year’s organ festival presents 10 concerts in churches across Malta and Gozo featuring a host of local and international artists.
 The festival opens with a performance by Grammy-nominated US organist Cameron Carpenter, described by Gramophone magazine as “one of the great virtuosos of our time,” at St Paul’s Anglican Pro-Cathedral in Valletta.
 Over the following two weeks, the festival will see organists joined by vocalists, brass and woodwind musicians and even an orchestra for the event’s closing concert at Paola’s Basilica of Christ the King on December 7.
 “We’re celebrating communities, our heritage and music in the centre of our towns and villages and have the best of the best coming to Malta to entertain us,” said the festival’s founder and artistic director Joseph Lia.
 “There are a lot of nice aesthetics – architecture, paintings, carvings and all the art incorporated in these churches – plus the music, which is one of the highest performing art forms.”
 Describing organ music being played in churches as “giving an additional dimension to these [church] works of art,” Lia said Malta’s sacred spaces will “come to life with music” throughout the festival.
 ‘Mega star’ 
 Despite the organ’s long history, the instrument and its repertoire continues to be developed – not least by maverick US organist Carpenter, who made waves with the debut of his self-designed electronic International Touring Organ, the world’s first full-scale portable organ. 
 Describing Carpenter as a “mega star... a big name,” Lia stressed the festival was seeking to showcase the wealth of music written for the instrument, pointing to the variety of musical themes explored and the range – and calibre – of musicians coming to perform.
 Saturday sees a concert dedicated to improvised variations on Maltese hymns, with performances the following week featuring works by Bach, Piazzola and Puccini.
 A Christmas-themed concert takes place on December 2, meanwhile, with an eclectic performance featuring various artists held the following Thursday.
 Ancient origins
 While a precursor to the organ – utilising waterpower instead of bellows – is thought to date back more than 2,000 years, the earliest version of the modern organ emerged in Europe around the eighth century.
 The organ had become a fixture in churches by the 10th century while continuing to see design refinements and improvements through into the early 17th century.
  By the early 18th century, it had become an important instrument in the arsenal of Baroque composers, particularly Bach (1685-1750), perhaps the most famous proponent of the instrument and composer of the fabulously dramatic Toccata and Fugue in D minor, a work that has become synonymous with the instrument.
 Malta’s organs
 With a strong Christian tradition, Malta is home to some 130 organs, most of which are housed in churches.
 In December last year, a new 4,000-pipe organ was installed in Paola’s Basilica of Christ the King while this year saw the completion of restoration works on the 200-year-old organ housed in Valletta’s St Dominic parish church.
 Both organs will feature in this year’s festival, with the Paola organ taking centre stage for the event’s grand finale featuring music for organ and orchestra.
 Describing the organ as “the king of the instruments,” paying homage to its “rich tones and colours and grand, majestic power,” Lia noted the festival also sees the inclusion of smaller, more “delicate” organs in churches such as St Mary parish church in Gudja and Valletta’s Jesuit church oratorio.
 “Our forefathers crowdfunded our churches with very good organs – some are big romantic organs, some are ancient organs of historic value and there are smaller organs comparable with the size of the space,” said Lia, a baritone singer.
 “This is why I started this [the festival], because I was working with organists when living abroad, and they knew that we have such very good organs – so we started discussing the possibility of organising a festival here.”
 New concert hall?
 While Malta boasts a wealth of sacred spaces to enjoy organ music, Lia would like to see Malta’s capabilities to explore the instrument expanded, stressing the need for a new purpose-built concert hall.
 “Something we lack here in Malta is a philharmonic hall with an organ – a secular concert hall like other European countries have,” he said.
 While stressing his love of sacred music, explaining he was “born in sacred music, great music,” Lia thinks a new concert hall equipped with an organ could allow him and others to explore a greater range of repertoire.
 “As an artistic director, I would be freer to programme more music... there’s not only sacred music, but there’s other music that sometimes involves the organ too,” he said.
 However, keen to stress the unique nature of the festival and its performance spaces, Lia encouraged those new to organ repertoire to “come and experience this in our churches.”
 “In this stressful world, audiences can come and relax in these places that were built for worship and enjoy this music.”
 The Malta International Organ Festival runs from November 22 to December 7. For tickets and a full programme, visit maltainternationalorgan festival.com.

                ",James Cummings,"Entertainment,National,Concert,Interview,Music"
TVM’s news channel to drop 'news' from logo,timesofmalta,https://timesofmalta.com/article/tvm-news-channel-no-more-pbs-drop-news-logo.1098276,19-09-2024,003135.png,"The national broadcaster will no longer have an official news channel as of next week, with TVMnews+ dropping ‘news’ from its logo. 
 On Thursday morning, television producers received an email from PBS, informing them that as of Monday 30 September, TVMnews+ will become TVM+. The email also included the channel’s new logo. 
 The change has come ahead of the new programme schedule.
 This is the second revamp the channel has experienced in recent years. 
 TVMnews+ replaced TVM2 in 2021, after a massive rebranding effort by the national broadcaster.
 When the new channel was first announced, PBS said it would focus exclusively on news, sports, culture, history and current affairs programmes. 
 At the time, Times of Malta spoke to four  TVM reporters anonymously who all complained that TVM's news had been relegated to a ""government noticeboard"" and proper journalism was being ""stifled"".
 Viewers have noted that most current affairs programmes migrated from TVM to TVMnews+, and instead of focusing solely on news, the channel now broadcasts discussion programmes and documentary-style shows. 
 Shows such as ‘Paqpaq’, a programme on motorsports,  Tgħid x’Inhu?, a programme discovering objects in local museums, and a biographical documentary on different Maltese women's careers,   Il-Mara, are broadcast weekly on TVMnews+
 The most recent Broadcasting Authority report, published in August, noted how only an average of 5,589 people followed TVMnews+, a drastic drop when compared to TVM's 72,000 plus audience. 
 The report noted how viewers preferred to watch the news bulletin on TVM, rather than on TVMnews+.
 TVM is the most followed TV station: 41% of local viewers mentioned TVM as one of the three TV stations they watched the previous day.
 Questions have been sent to PBS.
",Giulia Magri,"National,Media,TV"
Valletta lights up for Republic Day spectacle,timesofmalta,https://timesofmalta.com/article/valletta-lights-republic-day-spectacle.1102462,14-12-2024,"003248.png,003249.png,003250.png,003251.png,003252.png,003253.png","On Friday evening, the facade of the President’s Palace in Valletta served as a canvas narrating the island's history, as Malta celebrated the 50th anniversary of becoming a Republic. 
 For the significant anniversary, the day’s celebrations reached their climax in the evening, when a spectacular audiovisual show 'L-Istorja, Aħna’  took place at St George’s Square.
 During the occasion, President Myriam Spiteri Debono said this year’s celebration theme emphasises the need for all of us to reflect on Malta’s history and participate in writing its future. 
 She said the 50th anniversary is an opportunity to honour those who came before us and the sacrifices they made to bring us where we are today. 
  “It should also allow us to reflect on where we stand now, and what we are prepared to do for those who come after us,” she said. 
 She also noted the persistent challenges, both locally and internationally, and stressed the importance of responding to them appropriately.  She highlighted how material deprivation, social exclusion, over-development,  and population growth, as relevant and pressing concerns.
 Spiteri Debono concluded her speech by urging everyone to collectively pledge to continue Malta’s journey for the benefit of future generations and to raise and uphold Malta's name.
  During his speech, Prime Minister Robert Abela emphasised that Republic Day was not just about honouring the past but about “laying the foundations” for a bright future. 
 He described the establishment of the Republic as a significant achievement of the Maltese people, noting how over the past 50 years, the nation shaped an identity rooted in strong family values. 
 “No nation can forget its roots,” he said. 
 “The sense of identity must be passed down to future generations,” he added, highlighting the importance of passing on Malta’s unique language and identity to future generations. 
  Abela said Malta’s sovereignty is based on its economic resilience and it is through “unity, hard work, and identity” that the nation can take the Republic forward into the next 50 years. 
 He said there will be further reforms in democracy and a focus on improving the quality of life for the Maltese people. 
 ""We want to see our country leading the way in the green energy transformation, at the heart of the digital transition, celebrating the arts, and proudly showcasing the expressions of its artists,"" Abela said.
   Festivals Malta through the National Festivities Committee- and in collaboration with the Office of the President organised various activities throughout the long weekend. 
 The day started with a pontifical Mass at St John’s Co-Cathedral, followed by a ceremonial parade by the Armed Forces of Malta, who greeted President Myriam Spiteri Debono and Prime Minister Robert Abela among others in St George’s Square. 
 At noon, an investiture ceremony and medal awarding was held in the Grand Council Hall at the Grand Master’s Palace. 
 ",Times of Malta,"National,Entertainment,Culture,History,Valletta,Events"
No public bus service for Ed Sheeran concert as logistical issues loom,timesofmalta,https://timesofmalta.com/article/no-public-bus-service-ed-sheeran-concert-logistical-issues-loom.1094338,24-06-2024,003273.png,"Public buses will not be operating a special service for the Ed Sheeran concert or even enter Ta’ Qali on Wednesday, as logistical concerns loom ahead of Malta’s biggest-ever paid concert.
 More than 30,000 fans are expected to watch the British icon, but while large concerts are normally held at the Floriana Granaries, Wednesday’s event will be held at the larger Ta’ Qali picnic area.
 Those attending will not be allowed to park their cars near the Ta’ Qali venue, with organisers providing a subsidised €10 return bus service at seven shuttle pick-up points across Malta instead.
 The service is on a first-come, first-served basis and is starting at 5.30pm, well before the concert.
 The response has been so overwhelming that the organisers have added more shuttle service pick-up points. But there is a limit to the number of vehicles available.
 Tickets for the shuttle service from Paola, for example, are already fully booked.
 Several raised concerns about the planned shuttle service on social media.
  “The pick-up locations aren’t even big enough to hold enough buses to cater for all those people,” one woman said.
 Some said it was unfair having to pay another €10 after having paid for concert tickets while others said public buses should introduce a one-off service to the venue to help with transporting fans.
 But when contacted, Malta Public Transport said public buses are being diverted away from the concert, so those planning to use public transport to get to Ta’ Qali will have to walk from the stops along the central link road to the concert, around 30 minutes.   
 A Malta Public Transport spokesperson said: “Due to the traffic management measures in place for the Ed Sheeran concert at Ta’ Qali on June 26, buses are being diverted to pass through the Central Link and stop on bus stops ‘Qali 1’, ‘Qali 2’ and ‘Qali 3’ – about a 30-minute walk.”  
 Thousands are expected to fly to Malta for the concert to watch Sheeran, who is behind major hits like Shape of You and  Perfect.
 The concert is the biggest since the Robbie Williams concert at the Granaries last September. More big concerts are expected next month, including Tom Jones, Ronan Keating and the Isle of MTV.
",Daniel Ellul,"National,Concert,Music,Transport,Ta' Qali"
Artist claims Maltabiennale censored his artwork; organiser says it's 'absurd',timesofmalta,https://timesofmalta.com/article/artist-claims-maltabiennale-censored-artwork-president-say-absurd.1098493,25-09-2024,"003401.png,003402.png,003403.png","Maltese artist Keit Bonnici has claimed his artwork at the inaugural Maltabiennale.art was ""censored"" after it was removed without his consent and stored for a month in an undisclosed location.
 Bonnici said that his installation, Fuq l-Art , went missing on May 1, and only discovered its whereabouts after the biennale ended on May 31.
  Fuq l-Art involved bubble-wrapping and tightly securing one of Valletta’s iconic red telephone boxes. The box was topped with a bright yellow postage sticker bearing the origin ""United Kingdom"" and a blank section for the destination. The artwork was a commentary on decolonisation and the evolving role of monuments in public spaces.
 Speaking to Times of Malta, Bonnici said, ""As artists, we rely on exposure for our work. For one-third of the agreed duration, my piece wasn’t shown to the public - which affects my livelihood.” 
 The artist insisted he had not been informed about the reason for the removal and only retrieved the artwork from Heritage Malta after the biennale ended. “Why was my artwork held in secret storage for a month? Neither I nor the curators knew where it was. I was only allowed to collect it after the biennale was over. Heritage Malta never responded to my questions about this.”
 But Mario Cutajar, president of the biennale, dismissed the censorship claims as ""absurd"".
 He explained that Bonnici's work had been selected, approved, and sponsored for the exhibition. According to Cutajar, the artwork had become ""unsightly"" due to damage, prompting the organisers to ask Bonnici, via artistic director Sofia Baldi Pighi, to work on the maintenance of the piece.
  “On April 23, we asked Bonnici through the artistic director to carry out maintenance on the artwork that week. Nothing was done. One week later, on April 30, we repeated our request, stating that if repairs were not carried out, the piece would have to be dismantled. Again, nothing happened, and the artwork was removed that evening,” Cutajar told Times of Malta.
 The piece was damaged because parts of the bubble wrap were ripped off by members of the public, he said.
 Bonnici, however, defended this as part of the artwork’s evolution, saying the public's interaction with it was integral to the piece.
 “It’s a travelling object, and like anything transported, it can get battered. I have no issue with people interacting with the artwork. When an artwork exists in public space, it has the chance to evolve.”
 Artistic director Baldi Pighi assumed the role of mediator between Bonnici and the organisation and supported the artist’s stance. She shared her communications with Times of Malta, which showed her disapproval of dismantling the piece.
 “Artworks are mechanisms to foster discussion and convey critical thought, and once again, Keit Bonnici’s work proves effective,” she said.
 Baldi Pighi emphasised that out of the more than one hundred artworks in the biennale, the ones placed in public spaces have had the most impact.
 “Ask any person living in Malta, whether art professional or not, and the works they will remember are those in public spaces,” she added.
 A broader conversation about reclaiming public space for discussion and creativity is needed, Baldi Pighi said, pointing out that movements like Moviment Graffitti and eminent local artists ""have been crucial in the drive towards transforming public areas into sites for debate and free thought.” 
 Cutajar, however, criticised the timing of Bonnici’s public claims, questioning why the artist had waited over four months before speaking out. “I’m quite sure that had Mr Bonnici been censored in any way, he would have cried foul immediately, without waiting more than four months and claiming it in a post advertising the artwork for sale or exhibition.”
  Bonnici said he had been working on resolving the issue privately for months, with support from the biennale curatorial team and the Malta Entertainment Industry and Arts Association. Due to financial and legal concerns, however, he had chosen not to go public until recently.
 “I tried to speak earlier, but my hands were tied. We were still waiting for material reimbursement from Heritage Malta,” he explained.
 MEIA has since supported Bonnici, claiming that his case was not an isolated incident.
 “We received several concerns from other participants and MEIA members about organisational and ethical issues,” the association said.
 It added that discussions with Cutajar and Heritage Malta CEO Noel Zammit had revealed “a troubling lack of understanding of contemporary art practices, a dismissive attitude toward concerns, and an unwillingness to acknowledge any wrongdoing”.
 Bonnici was not the only artist to claim censorship at the biennale. Italian artist Sara Leghissa also reported that her pro-choice artwork Unborn Celebration was censored during the event.
",Emma Borg,"National,Art,Heritage"
New €1m fund to support Malta's indigenous film industry,timesofmalta,https://timesofmalta.com/article/new-1m-fund-support-malta-indigenous-film-industry.1096058,30-07-2024,"003484.png,003485.png","Arts Council Malta has announced a €1 million scheme to support the indigenous film industry.
 The Screen Support Scheme comprises five strands: screenwriting, development, short film, feature-length production, and cultural programmes. It covers works of fiction, documentaries, and animations, while one strand supports cultural programmes.
 ""We are among the few whose national-scale cinematographic expression is yet to materialise. The road is long, but every beginning has its end,” The chair of Arts Council Malta, Albert Marshall, said. 
 Financial support for Maltese filmmakers was previously under the remit of the Malta Film Commission, which fell under the Tourism Ministry and there was ongoing controversy over millions spent to support foreign film productions in Malta, as compared to support for the local film industry itself.
 The Creative Malta programme, widely known as the film fund, had handed local filmmakers €600,000 yearly to finance local film productions.
 The fund has now been increased to €1 million under the Culture Ministry.
 Earlier this month, Marshall said the film fund needs to be tripled to €3 million for Maltese indigenous films to thrive alongside the foreign movie industry—an increase he reminded people about at the launch. 
 “The Council has declared that there was a strong need for lobbying to increase the fund to €3 million, which is the promised amount,” said Marshall.
  During the launch, Culture Minister Owen Bonnici welcomed the scheme and said it was essential that all continued to work hard to strengthen the cultural and creative sectors. ""Therefore, it’s extremely important that we listen to the sector and work hand in hand to further strengthen it.”
 Director of Funding and Strategy at the Council, Mary Ann Cauchi said that the scheme will offer support through a mentorship process to encourage those new to the industry to apply.
 To apply for any strands, applicants must be independent audiovisual entities and submit complete applications by September 24 at noon. The results will be announced on November 21 and 22.
 For more information about the Screen Support Scheme, visit www.artscouncilmalta.gov.mt.
",Emma Borg,"National,Film,Art,Culture"
Watch: The nightclub that’s still partying like it’s 1999,timesofmalta,https://timesofmalta.com/article/watch-the-nightclub-still-partying-like-1999.1101130,17-11-2024,"003706.png,003707.png,003708.png","Stepping into Beachaven in St Paul’s Bay is like entering a 1990s time capsule. The seaside club, one of the last of its kind, still has its original décor – and there are no plans to update it.
 Most other popular nightclubs of the era like Natasha’s, Tattingers and Styx have since closed while venues like Liquid, known as Vibes in the 1990s, have rebranded and updated.
 But Beachaven still has its disco balls, neon lights, purple furniture and the club’s crown jewel: its glass dance floor.
 “People love it,” said 73-year-old owner Godwin Cutajar. Apart from a few upgraded lights and a revamped sound system, the club has remained largely untouched since it was last decorated more than 30 years ago.
 Cutajar first came across the venue as a customer in the 1970s, when it was known as Fondatore, and took over management in 1977 despite having no experience in catering or bar operations.
  Initially an outdoor lido with a beach club, the space underwent various transformations before Cutajar settled on its now iconic 1990s aesthetic.
 “So many people tell us, ‘Don’t change it. Leave it like that,’” shared his wife, 65-year-old Jeanette. The couple met in the club’s early years when disco classics from Donna Summer and Saturday Night Fever filled the air.
 “It’s the Beachaven love story,” Jeanette laughed, adding that she first visited the club due to her parents’ summer home nearby.
 “No one thought it would work, and here we are, married for 37 years,” she added. The couple, from different sides of the island – Godwin from Żebbuġ and Jeanette from Sliema – recall the sacrifices they made for Beachaven.
 Jeanette describes nights when Godwin would sleep at the club on crates of beer with only a mattress.
  “Beachaven is the love of his life, even before me,” she laughed.
 Keeping Beachaven alive for nearly five decades has been no easy feat, and the couple has faced many challenges, including frequent encounters with the police.
 “The police used to come en masse,” Jeanette recalled.
 They would often shut down Beachaven’s parties due to complaints about noise levels and parking issues affecting the coastline. However, after investing in heavy soundproofing and learning to carry all necessary licences, the police problems faded away.
 There was also some controversy among more conservative members of society as the clubbing season would open on Good Friday when everywhere else would be shut.
 “People would say, ‘what a shame’,” Jeanette said.
 The most recent threat to Beachaven came in 2019, when a powerful storm shattered two windows and flooded the seaside club.
 “The dance floor was full of fish from the fish farms,” Jeanette said. “We thought the club was finished.” But with help from friends, they managed to restore the space and continue operations.
  In 2015, after a stroke, Godwin’s eldest son Karl returned from abroad to help run the family business. The club’s management has now been passed to the younger son, Simon, who has been working there since he was 16.
 “My first memory of the club was sneaking in as a kid until my parents found me and kicked me out,” recalls Simon, now 30.
 Inspired to follow in his father’s footsteps, Simon has no plans to modernise the club’s retro charm.
 “Some people tell me to update it, but there are already so many modern places. I don’t think there’s anywhere else with this vibe left,” he noted.
 The Cutajar family believes Beachaven’s true magic lies in its ability to welcome generation after generation – four and counting. Under Simon’s management, Beachaven continues to attract an older crowd seeking nostalgia and a younger generation drawn to its now-retro vibe.
 Looking back on his years at Beachaven, Godwin is proud of the club’s legacy and pleased to pass it on to his son.
 “As far as I’m concerned, I’ve done everything there is to do, and now it’s Simon’s turn,” he said.

                ",Emma Borg,"National,Entertainment,St Paul’s Bay,Music"
Alexandra Alden’s Eurovision song disqualified for breaking competition rules,timesofmalta,https://timesofmalta.com/article/alexandra-alden-eurovision-song-disqualified.1102535,16-12-2024,003866.png,"Updated 4:55pm
 A song submitted by former X Factor Malta judge Alexandra Alden has been disqualified from the Malta Eurovision Song Contest 2025 after being published in violation of competition rules, the public broadcaster announced Monday.
 In a statement, PBS said Alden’s song Magnolia was disqualified from Malta’s Eurovision song contest after it “received information” the song had been published prior to the end of November in violation of competition regulations.
 “Following a thorough investigation and verification of the facts, PBS has taken the necessary steps to ensure compliance with the competition rules,” the broadcaster said.
 The regulation cited by PBS says the lyrics and music of songs submitted to the competition must “not have been commercially released” before November 30.
 In instances of songs being made available before the given date, including on social media, artists should inform PBS for the broadcaster to make a decision on their eligibility, the rules say.
 The announcement comes just days after the 24 semi-finalists for the competition were revealed by Magic Malta’s hosts Daniel and Ylenia.
 A jury and the public will select the winner, who will represent Malta at the Eurovision Song Contest in Basel, Switzerland in May.
 Concluding its statement, PBS - which broadcasts the Eurovision Song Contest on its TVM television channel - said it was “committed to maintaining a fair and transparent process for all participants”.
 In a statement later on Monday, Alden said she was ""so disheartened"" by the decision and put the incident down to an acoustic ""prototype"" version of the song filmed ""years ago"".
 The singer said she had asked the person responsible to remove the song immediately, aware it could affect her submission to the competition.
 ""I informed PBS of what had taken place to be transparent and professional. It was already too late"", the singer said.
 ""I perform often and trying out works in progress of songs in a low-key, informal setting helps the creative process"", she said, adding that a new album featuring the song was not yet commercially available and the song was not yet ready for release. 
 ""I understand and respect the decision taken by PBS to avoid any potential friction with the Eurovision organisers and I wish the contestants so much luck"", said Aldren. ""Sing your hearts out.""

                ",Times of Malta,"National,Entertainment"
"Mel Gibson in Malta for potential film project, meets Robert Abela",timesofmalta,https://timesofmalta.com/article/mel-gibson-malta-potential-film-project-meets-robert-abela.1097954,09-12-2024,"004019.png,004020.png","Top actor and Oscar-winning director Mel Gibson is in Malta for discussions in connection with a potential film project.
 The Australian actor, who was behind classic films like Braveheart and  Lethal Weapon, is among an 11-member team scouting Malta following an invitation by the Malta Film Commission.
 Prime Minister Robert Abela welcomed Gibson and the production team on Wednesday to discuss an upcoming production.
 Gibson is currently filming the sequel to 2004's The Passion of the Christ, which he co-wrote, produced and directed.
 The new film Resurrection is expected to bring together several actors of the original cast of  The Passion of Christ, featuring Jim Caviezel and Francesco De Vito. Reports say the film will be shot in Israel, Morocco and Italy.
 During the meeting on Wednesday, Abela said Gibson noted the strides made by the film industry in Malta. 
 Questions about the five-day visit have been sent to the Malta Film Commission. 
 Gibson was one of the most successful Hollywood stars of the 1980s and 1990s. He has been nominated three times for an Oscar - winning two in 1996 (Best Director and Best Picture) for Braveheart and nominated in 2017 for best director for  Hacksaw Ridge.
 ",Times of Malta,"National,Entertainment"
New Jurassic World movie will start shooting in Malta in July,timesofmalta,https://timesofmalta.com/article/new-jurassic-world-movie-start-shooting-malta-july.1091682,21-06-2024,"004048.png,004049.png,004050.png","A new Jurassic World film is set to start shooting in Malta this summer with Scarlett Johansson expected to take the lead role.
 The production has booked almost all facilities at the Malta Film Studios in Kalkara this summer and is set to shoot bet­ween July and September, multiple film industry sources told Times of Malta.
 The world-renowned franchise will only film part of its latest movie in Malta and there are no shoots scheduled on location.
 The Malta Film Studios offers, among other facilities, two infinite-horizon water tanks that film productions generally use for large-scale sound effects and underwater shooting.
  The Jurassic franchise first hit the big screens in 1993, with its blockbuster Jurassic Park, based on a novel by Michael Crichton and directed by Steven Spielberg.
 A sequel followed in 1997 and then in 2001, 2015, 2018 and 2022.
  The 2022 film, called Dominion, starred Hollywood actor Chris Pratt and was also partly  filmed in Malta, with scenes shot in Valletta, Vittoriosa, Mellieħa and Pembroke in 2020.
 In the film, Malta starred as a hub for a dinosaur black market where velociraptors leap over churches and chase lead characters through the streets of Valletta in chaotic scenes.
 Very few details have yet emerged on the new film, with Hollywood reporters saying it is set to premiere in July 2025 and that Johansson is expected to take a lead role in it.
 A two-time Oscar nominee, the 39-year-old actress shot to fame with the film Lost in Translation, and she is mostly known for playing the Black Widow in several Marvel Studios films, including the Avengers.
 The Jurassic World film is the latest in a series of big-time productions that have filmed in Malta over the past years, all of which made the best out of the remarkably generous government scheme that gives them 40 per cent cash back on almost all expenses incurred while their production films in Malta.
 The government has repeatedly said it is committed to retain the rebate – albeit controversial – to attract more blockbusters to Malta, and for the film industry to become a leading ‘motor’ in the island’s tourism strategy.
",Mark Laurence Zammit,"National,Entertainment,Film,Kalkara,Mediterranean"
