title,newspaper,url,date,imgs,body,author,tags
"At United Nations, Malta keeps sea-rise threat and climate crisis on agenda",maltatoday,https://maltatoday.com/news/national/131402/at_united_nations_malta_keeps_searise_threat_and_climate_crisis_on_agenda,26-09-2024,"000007.png,000008.png","Prime Minister Robert Abela told a United Nations General Assembly session discussing the threat of sea-level rise and the climate crisis that the major challenge was staring the face of countries even should tey remain in line with climate action plans.
 “Everyone’s efforts are important, because this is a challenge that threatens humanity as a whole,” Abela told the meeting, which was addressed by UNGA president Dennis Francis and UN Secretary-General António Guterres.
  “We cannot reverse our agreed-upon obligations, and we must remain focused on clean economic actions that should lead to the goal of a reduction of 1.5 degrees as laid down by the Paris Agreement,” Abela said.
 The Maltese premier said the threat of sea-level rise affected everyone economically, saying small state-islands like Malta were at the forefront of this challenge.
 In its two-year term as a Non-Permanent Member of the United Nations Security Council, Malta used its presidency to place the climate crisis on the agenda, more specifically with the phenomenon of rising sea levels.
 “Malta will continue to support the discussion on seriously addressing sea-level rise. We must act together today before tomorrow,” Abela said. “As an international community we must have a strong legal framework that also addresses this phenomenon in a bid to create an international order when so many different interests are at stake.”
  Also in New York, deputy prime minister and foreign minister Ian Borg joined the President of Cabo Verde José Maria Neves and the Prime Ministers of Tuvalu and Belize Feleti Teo and John Briceño to co-host a high-level event on climate mobility.
 The meeting, which included the participation of key leaders from another 17 UN member states, was held on Wednesday as part of the 79th United Nations General Assembly (UNGA 79), which is taking place in New York this week. Borg highlighted the serious consequences of climate mobility on small island developing states (SIDS) at risk of disappearing due to sea level rise and called for global solutions for their survival.
 “The impending disappearance of a nation carries more than just legal and physical consequences – it also concerns the identity of entire populations. Our identity is what defines us. We are tied to our homeland by family and friends, livelihoods, traditions, and the memories of loved ones who have passed.”
 As a threat multiplier, climate change magnifies the impact of other factors, such as poverty, loss of livelihoods and tensions relating to dwindling resources. Such chain reactions ultimately lead to conflict and displacement of people.
 “This is why we need comprehensive actions and solutions,” Borg said. “Addressing climate change as a root cause of displacement is crucial to breaking this cycle and finding lasting solutions. We cannot afford to lose any more time.” 
 Deputy Prime Minister Ian Borg also held several meetings in his role as the 2024 Chair-in-Office of the Organisation for Security and Cooperation in Europe (OSCE), including a meeting of the OSCE Troika, and meetings with the foreign ministers of three OSCE participating states, including Kyrgyzstan, Russia and Serbia.  ",Matthew Vella ,Environment
Consultation on new height limitation policy closes 12 hours before deadline,timesofmalta,https://timesofmalta.com/article/consultation-new-height-limitation-policy-closes-12-hours-deadline.1094071,17-06-2024,"000230.png,000231.png,000232.png","Public consultation over a controversial proposal to amend height limitations closed abruptly on Monday, despite a Planning Ministry spokesperson telling  Times of Malta feedback about the policy is welcome until the end of the day.
 On Monday, those who referred to the public consultation website for guidance on how to submit their feedback about the proposal found that the consultation had closed at least 12 hours before the official deadline. 
 The Planning Authority launched a consultation to amend a policy in Development Control Design Policy, Guidance and Standards - a controversial document commonly known as the DC15.
 Previously, height limitations were set by the number of floors that could be built in any given area, as set out by the local plans. However, an annexe included in DC15, Annexe 2, laid out a table in which the maximum allowable heights of buildings previously indicated as floors, had now been converted into metres. 
 Should the amendments to policy 35 of DC15, which regulates allowable building height, be accepted, it will formalise this interpretation of the guidelines. 
  Public consultation was set to close at midnight - at the end of Monday.
 Astrid Vella, from Flimkien għal Ambjent Aħjar was on an RTK103 radio programme on Monday morning, urging people to contribute to the public consultation when a listener informed her the consultation had closed.
 She claimed ""the sudden and unannounced closure of the consultation at 10am reveals the sham nature of the consultation process and the motivations behind it"".
 When asked to clarify whether consultation had closed, a Planning Ministry spokesperson told Times of Malta “The PA can confirm that the public consultation will close at midnight tonight”.
 As of 5pm, the website is still showing the consultation as closed.
 However, NGOs are encouraging people to continue emailing their concern to consultation_dc15@pa.org.mt. 
 Din l-Art Ħelwa’s President, Patrick Calleja meanwhile said that if consultation was still open, the authorities should update the public consultation website so as to avoid confusion among people who wanted to submit feedback.
 Din l-Art Ħelwa, Flimkien għal Ambjent Aħjar, Għawdix and Moviment Graffiti have all spoken out against the proposed policy amendment.
  Calleja warned the proposal would undermine recent court decisions.
 Additionally, ""adopting this amendment could change the whole aspect of current streetscapes with just two or three floors, especially if the area happens to be on the border of a UCA"". 
  In a statement, Għawdix said that by ""potentially expanding the allowable number of building levels for various facade heights, the revision of P35 risks encouraging developers to maximize building heights, further straining local services and diminishing the quality of life for residents.""
 ""This approach undermines the original intent of DC15, which was to promote a context-driven approach to development rather than a one-size-fits-all height allowance.”
",Emma Borg,"National,Environment,Construction,Planning Authority"
Students take part in international environment-themed exhibition,timesofmalta,https://timesofmalta.com/article/students-take-part-international-environmentthemed-exhibition.1102246,12-10-2024,"000236.png,000237.png,000238.png,000239.png","Local students have contributed to an international exhibition by highlighting the ecological significance of Chadwick Lakes.
 The exhibition, an international initiative organised as part of the Global Network of Water Museums, was hosted by the Għajn Centre, a community space in the Nigret area of Rabat that aims to raise awareness about the challenges facing the water sector.
 Under the guidance of renowned artist Joanne Mizzi, students created 34 artworks inspired by their educational experiences at the Chadwick Lakes trail, using visual art to express their understanding of local biodiversity and freshwater ecosystems.
 Four of the artworks were selected for inclusion in the AQUAPLAY section of the WAMU-NET website. This global digital platform, supported by UNESCO, aims to raise awareness about water heritage, pollution, and sustainability by engaging children worldwide.
  Environment minister Miriam Dalli, who attended the exhibition, said that educating children on sustainability was one of the most impactful investments that could be made.
 ""By introducing these concepts through creative and engaging activities, we empower students to explore vital themes like biodiversity and water conservation in ways that resonate deeply with them. These initiatives educate and inspire young people to become future ambassadors for sustainability,” Dalli said.
 Amanda Zahra, professional officer at the Energy and Water Agency, highlighted the Centre’s ongoing efforts.
 “The Għajn Centre welcomes students every day to learn about responsible water management and sustainability. While we work tirelessly to promote these values, events like this give us the opportunity to showcase our initiatives on an international stage. It is a proud moment for us and reflects our commitment to educating future generations,” she said.  

                ",Times of Malta,"National,Environment,Education"
"Rockfall at Fomm ir-Riħ bay, exactly a year after architect's warning",timesofmalta,https://timesofmalta.com/article/rockfall-fomm-irrih-bay-exactly-year-architect-warning.1096761,15-08-2024,"000363.png,000364.png","Part of Fomm ir-Riħ bay has been closed off because of a rockfall and the danger of further collapses, exactly a year after an architect's warning on Times of Malta.
 The Public Works Department said it had inspected the site and there was a high probability that more rocks and clay would fall off the cliff face.
 The area was therefore being closed off as a precaution. 
 A year ago Times of Malta quoted architect Alex Torpiano warning that the unstable nature of the Fomm ir-Riħ area could see people getting injured due to frequent collapses.
 Torpiano had warned that people who use the public path that leads to the beach, as well as swimmers who approach the shore by boat, could be at risk as the area has been prone to frequent collapses. Two significant collapses were recorded in March and November of 2021.
  Last month a 22-year-old woman, Mirabelle Falzon died after being crushed under a rockfall in Marsascala. She had been swimming in an area known as Munxar, within the limits of St Thomas Bay, when the tragedy happened.
 In July last year people on a boat reported a lucky escape when rocks fell into the sea at the area known as Tlett Ħofriet, Delimara.
 The area is frequented by adventurous visitors who reach it by kayak or boat, or by those willing to trek down to the beach. Marsaxlokk council subsequently warned visitors to be cautious. 
 Also last year, in February, a large boulder crashed onto Popeye Village, damaging one of the small structures of the popular tourist attraction.
 Last year the authorities warned people to stay clear of the cliff face at Għar Lapsi, limits of Siġġiewi, which is in danger of collapsing. Parts of the cliff face were closed off by a steel net some years ago but several people sneaked through gaps to lounge right under the crumbling cliff face.  
",Times of Malta,"National,Environment"
Calls grow for Prime Minister to expropriate Mellieħa Heights land,timesofmalta,https://timesofmalta.com/article/calls-grow-prime-minister-revoke-mellieha-heights-development.1101800,30-11-2024,000365.png,"Updated 4.35pm
 Calls for the Prime Minister to revoke a controversial agreement for a 109-unit apartment complex in Mellieħa Heights have intensified following his recent comments.
 Robert Abela acknowledged the Mellieħa Heights controversy and told Times of Malta that publicly owned green spaces should not be tendered for development unless they serve a social purpose.
 “I had said that where there is this type of land, unless it is needed for social reasons, issuing a tender [to develop] should be avoided,” Abela said, following revelations that T&S Property Holdings had obtained planning permission for the project.
 The government had sold the 4,000-square-metre plot to T&S Property Holdings on a 50-year perpetual lease with an annual payment of €380,000. The deal allows the lease to be redeemed.
 Mellieħa mayor Gabriel Micallef, a vocal critic of the project, has sent a letter to Abela urging him to “put his words into action”. Micallef called for the agreement to be revoked and the land repurposed as a community project.
 “As Prime Minister, you hold the power and the moral responsibility to rectify this injustice by using the law to expropriate this unspoiled land and return it to the public,” Micallef wrote in his letter.
 Speaking to Times of Malta, Micallef said Mellieħa lacks untouched green spaces and proposed turning the site into a park or garden with a reading area for residents. The Mellieħa council will be ready to take this land under its care,” he said.
 Opposition to the project came to a head in October, when residents and council members joined a protest against it. Critics argue that the project contradicts the government’s stated goals of preserving green spaces.
 T&S Property Holdings has defended the project, citing its designation as a development site since 1965. However, Micallef dismissed the 2006 local plans that reaffirmed the zoning as “outdated.”
 Meanwhile, the NGO Il-Kollettiv insisted the government already has the power to revoke the Mellieħa Heights agreement. Calling for accountability within the Planning Authority, the activist group questioned how T&S Property Holdings secured planning permission “in record time” of just two months.
 Il-Kollettiv has also highlighted another development in Mellieħa involving a 26-room guesthouse and 28 apartments. The land for that project was sold for €151,000 under an emphyteusis agreement, which allows the lease to be redeemed within 15 years. The NGO noted that the architect is Gilbert Bartolo, brother of former tourism minister Clayton Bartolo.
 Il-Kollettiv said it has urged the National Audit Office to expand its investigation to include both developments in light of these concerns.
 PN MPs Robert Cutajar and Ivan Castillo, as well as then-PL MEP Cyrus Engerer, have all previously backed the Mellieħa Heights residents’ calls not to give away the land.
 A spokesperson at the Office of the Prime Minister told Times of Malta that Abela stood by what he said last week outside parliament.

                ",Emma Borg,"National,Mellieħa,Construction,Environment"
ADPD committed to foster green EU policies to mitigate effects of climate change,timesofmalta,https://timesofmalta.com/article/adpd-committed-foster-green-eu-policies-climate-change.1093022,25-05-2024,000430.png,"If Malta is serious about its fight against the effects of climate change, the people should support the Green Party, which is committed to pushing for effective measures and policies to mitigate the effects of climate change, it said on Saturday. 
 During a press conference at Birżebbuġa, ADPD chairperson and MEP candidate Sandra Gauchi said recent polls have shown that voters are concerned with the effects of climate change. 
 “We want an economy of well-being, not an economy that fattens the pockets of those who are polluting the air, water, land, and environment,” she said. 
 “It is obvious that the country is affected by the impacts of climate change, and now we have no other choice but to act now. We are already late.”
 The ADPD members noted how different localities have been impacted by pollution and climate change, and focused on the seaside town of Birżebbuġa. 
 Melissa Bagley, ADPD deputy chairperson and Birżebbuġa local council candidate said residents have been impacted by the industrial development of the locality in recent years. 
 On Friday, NGOs reiterated their call to withdraw the planning application to change the local plan for Qajjenza in Birżebbuġa.
  The application seeks to change the local plan so that it allows six blocks of apartments and offices, going up to eight storeys, on the former Enemalta gas storage facility. 
 Bagley said the party is also against this application, and said the land should be provided back to the community. 
 ""Instead of giving the residents the much-needed open space they need for recreational purposes, they are now faced with the prospect of having hundreds of flats added to the area, which is bound to affect their quality of life.  So here we see that the government is keen on putting profit before people.""
 Closing the press conference, Gauci said it is in the interest of the voter to vote for a European Union that provides a better quality of life and fights the effects of climate change. 
 ""Whatever is said during the election campaign, the reality remains that if we do not respect the limits that nature itself imposes on us, we will end up badly,"" she said. 
 ""The protection of nature, the environment, and the land and sea of our country means the protection and the well-being of all of us today and tomorrow.""
",Times of Malta,"National,ADPD,Climate change,Birżebbuġa"
Joseph Portelli applies to replace Xlendi hotel with 13-floor residence block,timesofmalta,https://timesofmalta.com/article/joseph-portelli-replace-xlendi-hotel-13floor-residence-block.1093702,06-11-2024,000581.png,"Gozitan construction mogul Joseph Portelli has abandoned plans to rebuild the Xlendi Hotel but instead applied to develop a 13-floor residential complex with 46 units, a shop, and underlying garages and car spaces overlooking the scenic bay.
 The plans have attracted a considerable number of objections from nearby residents who are fearing for their safety as well as environment NGOs who are pleading with the Planning Authority to stop the “piecemeal destruction of Xlendi”.
 Through PA1633/24, Excel Investments, jointly owned by Portelli, Daniel Refalo and business partner Mark Agius, replaced a previous application to build a new four-star hotel instead of the former Xlendi Hotel Resort and Spa for which they already obtained a demolition permit.
 Instead, the latest application ditches the touristic aspect of the development and proposes a seafront residential complex with a mix of one-, two- and three-bedroomed apartments. Some of the units will have a jacuzzi on their terraces which the plans make it a point to point out will have “non-slip tiles”.
 The plans for the project on Triq San Xmun and Triq il-Puniċi in Xlendi in Munxar were prepared by architect Alexander Bigeni.
 In its 2020 application to redevelop the hotel, Excel Investment had said that the demolition was the first phase of the project.
 The application had drawn concerns from dozens of objectors, but the PA had given its green light since it was considered as an application to demolish a building that was not worthy of preservation.
 Excel’s original application for phase 2 proposed the development of an 88-room, four-star hotel over 14 floors.
 These plans had attracted hundreds of objections, only for the company to withdraw the plans and go back to the drawing board. The developer came back with a proposal to build a residential complex with 51 apartments and two shops, but this application was mysteriously withdrawn before it was even considered by the PA.
 Instead, a fresh application was submitted in March proposing one shop instead of two and five fewer apartments. The PA’s target date is to complete the screening process by July 5.
 Independent MEP candidate Arnold Cassola tersely described the plans as an “obscenity” (moqżiżata) by Portelli.
 The Munxar council did not object to the application but simply asked to be kept informed throughout the process.
 Gozitan NGOs Għawdix, Wirt Għawdex and Din l-Art Ħelwa all objected to the proposal, insisting that it breached planning policies. They said the development will severely disrupt the surrounding area, residents’ quality of life, natural environments, and the touristic appeal of Xlendi.
 They said the proposed development ran counter to the Gozo and Comino Local Plan in at least four ways, particularly concerning the height which was not in line with the height
 limitations. The local plan states that the impact of any development should “be contained so that the scenic qualities and the tourist experience of the area are not compromised”.
 They also pointed out that the Gozo and Comino Local Plan considers Xlendi valley as “one of the more important
 valley systems on Gozo” and scheduled as a Level 1 area of ecological importance and a site of scientific importance given its ecological, geological, geomorphological and scientific properties.
 “Approval of this development would signify a deliberate intention to continue ruining Xlendi,” the Wirt Għawdex committee added in its objection.
",Matthew Xuereb,"National,Environment,Xlendi,Construction,Planning Authority"
"Local plans review should not mean more development, groups insist",timesofmalta,https://timesofmalta.com/article/local-plans-review-mean-development-groups-insist.1101263,20-11-2024,000628.png,"Any review of the local plans must not lead to further development, a number of residents' groups and NGO Il-Kollettiv insisted on Wednesday.
 Noting statements made by the prime minister and the  leader of the opposition, the groups said that a review of the local plans without a suspension of development in rationalisation zones would effectively lead to more construction. The rationalisation zones are areas where development was given the go-ahead some 15 years ago after having initially been outside development zones. 
 The groups said the government should also introduce measures to eliminate various loopholes in secondary policies which have led to a spate of applications for tall buildings on the limits of urban conservation areas. 
 In July the groups called for a moratorium on the rationalisation zones, suspension of large projects, the enforcement of buffer zones around UCAs, and the refusal of applications for new roads opening virgin land for development. 
 “The Prime Minister and his Cabinet had been insisting that local plans could not change, now the tune is starting to change. We wonder if this is a way to justify the shambolic way in which the change in the St Julians Local Plan is being carried out, or a ploy to further weaken the protection afforded to our towns by the local plans,” said Wayne Flask, Secretary of il-Kollettiv.
 “It’s worrying to hear the prime minister implying that rationalisation zones are here to stay. These are the main source of anger for many residents, especially in towns where the borders are no longer recognisable, and whose identity is being rapidly lost to development. In Zurrieq and the surrounding region, the plan is to create one huge agglomeration of built-up land, which will result in the destruction of the green belt, lead to more congestion, and generate overpopulation.”
 Back in July, the resident groups held a press conference in Zurrieq where they highlighted the issues in their towns. They then wrote to the Prime Minister and Planning Minister, in a letter signed by the Għaqda Residenti taż-Żurrieq, Għaqda Storja u Kultura Birżebbuġa, Għaqda Storja u Kulturali Marsa, Inħarsu Santa Luċija, Residenti tal-Imqabba, Residenti tal-Qrendi, Residenti ta’ Ħal Safi, Residenti tas-Swatar, Siġġiwin Nieħdu Azzjoni, Sliema Residents Association, Marsaskala Residents Network, Marsaxlokk Heritage, Wirt iż-Żejtun and il-Kollettiv.
 No reply has been received yet.
 The groups called on the prime minister and the leader of the opposition for a serious discussion on their points for a planning reform, also noting how both major parties have publicly admitted their availability to meet big developers.

                ",Times of Malta,"National,Environment,Planning Authority"
These 15 photos of Malta's beauty are in the running for a global prize,timesofmalta,https://timesofmalta.com/article/these-15-photos-malta-beauty-running-global-prize.1098085,14-09-2024,"000646.png,000647.png,000648.png,000649.png,000650.png,000651.png,000652.png,000653.png,000654.png,000655.png,000656.png,000657.png,000658.png,000659.png,000660.png,000661.png","Fifteen photos that showcase the beauty of Malta and Gozo are to participate in the international edition of Wiki Loves Earth.
 The 15 entries, which feature a variety of landscape, flora and fauna shots taken in Malta or Gozo, were ranked the best among 515 entries submitted to the Wiki Loves Earth in Malta competition.
 Top picks were selected by Wikimedia Community Malta in collaboration with Friends of the Earth (Malta).  A total of 38 contestants took part in the event.
 Winners range from a stunning aerial shot of Zelijka Cliffs in the north of Malta to an impressive nighttime image of the Milky Way over Fungus Rock in Gozo, a closeup shot of a hummingbird hawk-moth feeding and an underwater photo of an aggressive cuttlefish.
  This is the second year that photos have been divided into two categories: one focused on landscapes and the other on details of local flora and fauna.
 The top five landscape shots and top 10 flora/fauna shots will now be submitted to the global Wiki Loves Earth photo contest, where they will compete with similar images shortlisted across 56 countries from a total of 79,765 entries.
  All the finalists are viewable on Wikimedia Commons, where they may be used freely under a Creative Commons license, with attribution to the photographers.
 Throughout September, Wikimedia Community Malta is hosting another local edition of the world’s largest photo contest, Wiki Loves Monument. Details about that are available at  http://www.wikimalta.org/WLM
 ",Times of Malta,"National,Photography,Community,Environment"
New biodiversity plan aims for 30% of land to be legally protected by 2030,timesofmalta,https://timesofmalta.com/article/new-biodiversity-plan-aims-30-land-legally-protected-2030.1098286,19-09-2024,"000728.png,000729.png,000730.png","By 2030, 30% of Maltese land will be declared as protected areas, according to a new biodiversity plan. 
 The target is one of 22 included in the National Biodiversity and Action Plan (NBSAP) for 2030, which was published on Thursday. 
 According to the document, by 2025 a plan will be developed to ensure the target will be reached by 2030.
 “By 2027, a standard system for the evaluation of management effectiveness of Natura 2000 sites is developed and assessments are carried out periodically,” the document reads. 
 Back in March, Ħondoq ir-Rummien, near Qala in Gozo was formally designated as a Special Area of Conservation by the Environment Resources Authority.
 The designation means that Ħondoq ir-Rummien has been given top environmental protection and the government officially recognises the natural importance of the area. 
 Special Areas of Conservation usually include natural habitats and species of flora and fauna and offer a high biodiversity value. 
 The document is Malta’s second National Biodiversity Strategy and Action Plan, the first launched back in 2012, covering the period till 2020.
 The plan includes 22 targets and 78 actions and NBSAP aims to protect Malta’s biodiversity by “providing strategic direction, addressing local challenges, and aligning with international agreements.”
 The document includes five key policy areas, which delve into the restoration of nature and biodiversity loss, using biodiversity sustainably, awareness raising, and enhancing implementation and cooperation.
 A number of the targets in the document have previously been announced, including Target 6, which promises that by 2030, 50% of the most harmful invasive alien species affecting protected areas will be duly managed. 
 This will be done through the recommendations of the National Strategy for Preventing and Mitigating the Impact of Invasive Alien Species (IAS), which was launched back in 2020.
 Target 8 reads: 
 “By 2030, pollution from all sources, inter alia, excess nutrients, pesticides, chemicals, plastics, noise and light is prevented, controlled or minimised to levels that are not harmful to biodiversity in line with EU and international commitments.”
  One of the actions for this target is that by 2027, ‘quiet areas’ will be outlined on land while taking into consideration the harmful effect of noise on wildlife. 
 A Noise Action Planning in Malta document, dated June 2011, includes identifying and protecting quiet areas in Malta. 
 Certain action points are policies or measures already set up and implemented. 
 The biodiversity plan was launched at Xrobb l-Għaġin, another site soon to be declared a Special Conservation Area, by Environment Minister Miriam Dalli. 
 Speaking during the launch, Dalli said 95% of the goals of the previous strategy were addressed and more than half of them were obtained. 
 She said currently, 28.5% of Maltese land is protected. She said 35.5% of Malta’s Fisheries Management Zones are designated as Marine Protected Areas. 
 “The results of these positive achievements are paying off, that is why we are seeing more frequent sightings of sea species such as dolphins and turtles,” she said. 
 ""This plan is our commitment to safeguarding Malta's natural heritage for future generations. Together, we can ensure a sustainable and biodiverse country.""
 More information on the NBSAP 2030 can be found on the ERA website.
",Giulia Magri,"National,Environment"
