title,newspaper,url,date,imgs,body,author,tags
‘Fight for equality far from over’ - Gay rights movement celebrates Pride,timesofmalta,https://timesofmalta.com/article/fight-equality-far-over-gay-rights-movement-celebrates-pride.1098112,14-09-2024,"001851.png,001852.png","Malta’s LGBTIQ community still faces challenges despite the progress seen in recent years, the Malta LGBTIQ Rights Movement said on Saturday.
 “We have achieved a lot in 20 years, but laws don’t transform society overnight, and they are not enjoyed by all,” said MGRM co-coordinator Cynthia Chircop in a speech at Valletta’s Malta Pride Concert.
 She told audience members that since the organisation’s first pride march, the group had continued to garner support and “pride kept growing and change happened.”
 But despite the progress, the community was still facing discrimination at work and when accessing government services, “and the Equality Act has not been mentioned since the last election"", said Chircop.
 She said in Malta the LGBTIQ community was “still waiting for a new sexual health policy to tackle many issues including contraceptives, STIs [sexually transmitted infections] and education”.
 Meanwhile, free access to medicines used to prevent HIV (‘PrEP’ and ‘PEP’) “remains an electoral promise”, she said.
 “Over a year later, the gender clinic still does not have a psychiatrist, affecting trans [transgender] healthcare. LGBTIQ asylum seekers lack access to legal support, are rejected as unfounded or for lack of evidence and risk violence in detention and open centres.""
  Chircop said public incidents of harassment or assault were still being reported, while ""people still question our right to have a family.”
 Pointing to a lack of representation, she said children in LGBTIQ families “feel invisible at school because they don’t see families like theirs anywhere” while bullying and a lack of state support were realities for those in the community.
 Calling bigotry “hard to eradicate”, Chircop signalled the movement’s support for LGBTIQ communities in other countries facing private and state persecution.
 “We march for a future where everyone, regardless of who they are or who they love, can live freely and without fear,” she said.
 “The fight for equality is far from over, and our presence is a reminder to all that we are here, we are queer, we are proud of it, and we are not going anywhere.”
 Chircop thanked the late former PN MP Karl Gouder for ""being vocal in the journey towards marriage equality"" and Nicky Sansone, the inspirational 55-year-old who  died last month following a public battle with cancer.
 She also thanked activist organisations including Moviment Graffitti, Drachma, Aditus, LGBTI+ Gozo, Checkpoint Malta and ARC.
 In a similar call on Friday, Moviment Graffitti said the government should take pride month as an opportunity to help address pending issues faced by the LGBTIQ community and not only stand and march with them.
 Malta Pride started on Friday September 6 and closes Sunday.
",Times of Malta,"National,LGBTIQ,Human rights,Health,Valletta"
'Who will fly our national colours?' Archbishop warns on Malta’s low birth rate,timesofmalta,https://timesofmalta.com/article/who-fly-national-colours-archbishop-warns-malta-low-birth-rate.1102395,13-12-2024,,"Archbishop Charles Scicluna marked the 50th anniversary of Malta becoming a Republic by addressing the country’s declining fertility rate and questioning who would “represent Malta’s identity and fly our national colours” when his generation dies. 
 Delivering a homily at St John’s Co-Cathedral, Scicluna recalled how in 1964, the year Malta gained Independence, Malta’s birth rate was 2.74. In 1974, when Malta became a Republic, it was 2.08. 
 Now, in 2024, Malta has the lowest fertility rate in the EU, with a birth rate of 1.08. Experts forecast that the already low fertility rate will  continue to shrink in the years to come.
 “Malta’s current birth rate is so low, that it is below replacement level,” Scicluna said.
  “We need to think about the roots and causes of this downward trend, and in the interest of our heritage and the preservation of our ethnicity, we need to be proactive in promoting the blessing of offspring to our families.”
 He prayed to God to grant Malta the “blessing of new births in our beloved and sweet land”.
 Scicluna noted how this year’s budget has tried to address the issue and encourage young couples to plan their future and fulfil their “natural vocation” to become mothers and fathers of the country’s future generations. 
 This year’s budget - among other measures - includes a €1,500 one-time payment for the third and every subsequent child, a boost in marriage tax credit and a €250 increase in child allowance.
  Scicluna said measures such as providing fair wages and affordable housing would encourage families to thrive and grow.
 “For what would the Republic have achieved if it makes economic progress and reforms its institutions but does not provide for the gift of future generations,” he asked. 
 ""Who will be there to represent Malta’s identity and fly our national colours when our generation fades away? Who will be there to proudly declare this island as a sweet homeland that cherishes its identity and serves as a haven for the life and love and its people?""
 He concluded his homily by appealing to the people to pray that future descendants will be there when the time comes ""for us to hand over the baton"".
  Scicluna also expressed gratitude for the country’s achievements over the past 50 years and paid tribute to contributions by politicians, public servants, judiciary, army and law enforcement.
 “We should recognise the ever-growing role of civil society and the important contributions of non-governmental organisations in several areas ranging from social services to human rights, to the environment and justice,” he added.
  He also honoured the legacy of Sir Anthony Mamo, Malta’s first president, and commended his successors for upholding the dignity of the office.
 Pontifical Mass was attended by President Myriam Spiteri Debono, Prime Minister Robert Abela, his wife Lydia Abela, Nationalist Party leader Bernard Grech, his wife AnneMarie Grech, and other ministers. 

                ",Giulia Magri,"National,Church,Fertility,Valletta"
Local shortages of ADHD medicines posing serious challenges to sufferers,timesofmalta,https://timesofmalta.com/article/local-shortages-adhd-medicines-posing-serious-challenges-sufferers.1102508,17-12-2024,"002083.png,002084.png","Psychiatrists have voiced “serious concerns” about the limited availability and choice of ADHD medication in Malta, in the context of a global shortage of these essential treatments. 
 Psychiatrist Rosemarie Sacco, president of the Association for Child and Adolescent Mental Health (ACAMH), said this shortfall was adversely affecting the treatment and well-being of individuals with ADHD, both children and adults. 
 Attention Deficit Hyperactivity Disorder (ADHD) is a neurodevelopmental disorder typically diagnosed in childhood but that persists into adulthood. It is characterised by difficulties with sustaining attention, emotion regulation, excessive activity, and impulse control. Medication often plays a crucial role in managing these symptoms effectively.
 In Malta, around five per cent of children have a diagnosis of ADHD. However, at present, the country’s government formulary offers a narrow range of treatment options.
 The main medications available locally are methylphenidate-based stimulants and atomoxetine, but both are in short supply. The government formulary includes only a 10mg preparation for immediate-release methylphenidate.
 Additionally, for prolonged-release methylphenidate, the formulary offers only a limited selection of dosages – specifically 18mg, 27mg, and 36mg – each available only under specific circumstances.
 The problem of limited options is compounded by the current global shortage of these same medications, making it even more challenging for psychiatrists to find the right medication and dosage for individuals with ADHD, she explained.
 “Having access to a variety of medication types allows for a more personalised approach to treatment, which is essential for effective management of ADHD,” Sacco said.
 But, up till now, several essential medications like guanfacine, Adderall, dexedrine, and lisdexamfetamine are completely unavailable. 
 These medications are crucial for treating ADHD because they provide different mechanisms of action and benefits, which can be better suited to meet individual patient needs. The lack of diverse treatment options can make it difficult to find effective management strategies for individuals living with ADHD.
  Moreover, “alternatives to the currently available preparations of methylphenidate are critical”, added psychiatrist Daniel Vella Fondacaro.
 For instance, short-acting medications like Ritalin typically require administration during school hours, as their effects only last for about four hours. This can pose challenges for children who need to take medication at school.
 In contrast, longer-acting options may help children manage their ADHD symptoms throughout the school day without needing to take medication while there.
 This flexibility allows treatment plans that better align with each child’s unique lifestyle and daily schedule, ultimately improving their behaviour and ability to focus during school. 
 Concerta is a long-acting methylphenidate that starts working about an hour after you take it and can help manage symptoms for up to 12 hours. However, in Malta, Concerta is not widely available through the government formulary system, which tends to focus on generic versions of medications. 
 Before the current shortage of methylphenidate, Concerta was only accessible to a limited number of individuals who had it prescribed before 2021.
 Since then, “newly diagnosed patients have not been automatically entitled to receive Concerta, meaning they would have to pay a significant amount out of pocket for it”, said Nigel Camilleri, the psychiatrist founder of ACAMH-Malta, who was also sharing his personal experience as a parent. 
  “While generics can be good alternatives in some situations, they aren’t always exactly the same as the brand-name drugs,” Andrea Saliba, also a psychiatrist, emphasised. 
 Concerta has a special release mechanism that is protected by a patent, meaning generics can’t copy how it works. Because of this, it’s important to look at not just how well a medication can be absorbed in the body but also how effective it is in treating ADHD, as differences in how drugs are made can lead to different outcomes for patients.
 Additionally, there are other forms of methylphenidate medications, such as Medikinet XL and Equasym XL, which provide additional options to accommodate different lifestyles. 
 Medikinet XL contains both an immediate-release component (50 per cent of the dose) and a prolonged-release component (50 per cent of the dose), while Equasym XL has a similar set-up with 30 per cent immediate-release and 70 per cent prolonged-release components. 
  The design of these medications allows an immediate effect, while the prolonged-release portion would maintain symptom control throughout the afternoon, eliminating the need for a midday dose during school hours. 
 This means that individuals can benefit from consistent therapeutic effects for about eight hours. This allows the medication to wear off just in time for evening meals and better-quality night sleep, keeping in mind that common side effects include reduced appetite and sleep disturbance. 
 Increasing treatment options can be particularly advantageous for individuals balancing school, work and personal activities.
 The association called for immediate action to address these shortages, expand the formulary and ensure that Maltese patients have access to the full spectrum of evidence-based treatments available in other countries. 
 “Children and adolescents with ADHD deserve the same standard of care as their peers across Europe,” Sacco concluded.

                ",Claudia Calleja,"National,Health,Pharmaceuticals"
Malta-bound Berlin flight diverted to Rome after passenger fell ill,timesofmalta,https://timesofmalta.com/article/maltabound-berlin-flight-diverted-rome-passenger-fell-ill.1102516,16-12-2024,"002166.png,002167.png","A flight from Berlin to Malta was temporarily diverted to Rome late on Sunday when a passenger fell ill.
 KM Airlines flight KM377, scheduled to depart from Berlin at 9.45pm on Sunday, was diverted to the Italian capital when the passenger fell ill halfway on the flight.
 The Maltese woman was assisted by two off-duty Maltese nurses and a German doctor who was headed to Malta on holiday.
 The aircraft landed in Rome at 12.20am, where an ambulance and paramedics were waiting on the tarmac to take her to hospital.
 The plane resumed the flight to Malta after about an hour and landed in Luqa soon after 2.20am on Monday.
 ",Times of Malta,"National,Aviation,Health,Germany,Italy"
Doctors back call for public inquiry into the benefits fraud scandal,timesofmalta,https://timesofmalta.com/article/doctors-back-call-public-inquiry-benefits-fraud-scandal.1096328,08-06-2024,002264.png,"Doctors are backing a call by a group of NGOs for a public inquiry into the benefits fraud scandal.
 The scandal was revealed by Times of Malta last year, when it was reported that former MP Silvio Grixti was implicated as being at the centre of a scam which saw hundreds of people being granted benefits for severe disabilities they did not suffer from.
 Grixti was subsequently arraigned, along with a number of other people.
 Subsequently, the president of the Medical Association of Malta branded the benefit fraud racket as “organised crime”.
 A group of NGOs last month demanded a public inquiry into the benefits fraud scandal.
 The activists - Repubblika, aditus, The Daphne Caruana Galizia Foundation, Moviment Graffitti, Kopin, KSU, Manueldelia.com, Occupy Justice and UĦM Voice of the Workers - handed a letter addressed to the prime minister at the Auberge de Castille, calling for a public inquiry.
 On Monday, MAM joined the call for an independent public inquiry into the scandal, which it said had ""significantly undermined the integrity of our institutions and eroded public trust in the sickness benefits process"". 
 The association said that ""disturbingly"", members of the cabinet that approved a presidential pardon for those implicated in the fraud are allegedly linked to the fraud, ""raising concern about the fairness of the process"".
 ""In stark contrast, medical professionals, who had their signatures forged as part of this scheme, have received no justice, not even an official apology,"" MAM said.
 It urged full accountability and transparency to restore public confidence and ensure justice is served.
 ""The medical community, along with the general public, deserves a thorough investigation and a genuine acknowledgement of the wrongs committed.
 It is crucial that vulnerable patients receive the support they are entitled to without the interference of political misconduct.""
 MAM said a prospective public inquiry should also address the return of the embezzled funds and the timing of the presidential pardon.
 The ministry involved in this fraud should never be the same one responsible for ensuring that the money is returned, it added.
",Times of Malta,"National,Health,Benefit fraud"
Non-Maltese healthcare workers get Maltese language training,timesofmalta,https://timesofmalta.com/article/nonmaltese-healthcare-workers-get-maltese-language-training.1094444,26-06-2024,"002436.png,002437.png","Two hundred non-Maltese nurses and carers have started receiving Maltese language lessons as part of a program signed between Healthmark and Melita Training and Resources Management. 
 The training covers Maltese words and phrases related to patient care, hygiene, first aid and emotional support, with a special focus on empathy and effective communication. The program includes various practical sessions in simulated environments and is being delivered in Malta by a qualified nurse who is a teacher by profession. 
  Of those 200 students, 150 are nurses who are sometimes in charge of wards and who therefore most need to be able to understand patients speaking Maltese. The other 50 spots were given to carers on a first-come, first-served basis. 
 Healthmark recruits, trains and deploys carers and nurses to several of Malta’s hospitals and elderly homes. Jointly owned by db Group and James Caterers, it is the country’s single largest healthcare employer. 
 MTRM is a private company within the General Workers Union licensed and accredited for training by Malta Further and Higher Education Authority (MFHEA). 
 Its mission is to provide adults with educational opportunities to acquire and improve the necessary skills and competencies to become self-sufficient and gainfully occupied.
 Healthmark CEO Charlotte Sant Portanier said the company strived to ensure it provided enough workers to meet Malta’s healthcare demands.
 “But alongside that we must make sure that every worker is not just qualified but also sensitive to our local environment and the needs of our patients,” she said.
 MTRM CEO Lewis Spiteri said the programme was already making an impact on healthcare services and thanked Healthmark for bringing the programme to fruition.
",Times of Malta,"National,Health,Education,Employment"
‘I’m still dizzy and exhausted’: the long-COVID patients who remain trapped,timesofmalta,https://timesofmalta.com/article/i-m-still-dizzy-exhausted-longcovid-patients-remain-trapped.1091679,05-02-2024,002459.png,"A long-COVID sufferer has spoken about the way the virus has caused “drastic” changes to her body and impacted every aspect of her life.
 The woman has called for more awareness to help many patients like her who have contracted the virus and have never completely shaken it off.
 Anna* caught the virus in October 2022, having had no previous health conditions. But 18 months later, debilitating symptoms have persisted.
 Back then, she initially had some fever and cold symptoms, but soon started experiencing typical symptoms of long-COVID, including difficulty concentrating, fatigue and post-exertional malaise (PEM), the worsening of symptoms following even minor physical or mental exertion.
 Three months later, she was still hoping it was just a slow recovery. But after about half a year, it became clearer it was more than that.
 “I was unable to do even the smallest tasks of everyday life, such as grocery shopping and showering. I was also unable to read, watch films and listen to music.
 “I was – and still am – experiencing dizziness, palpitations and nausea when exhausted.”
 Anna explained that fatigue was not a feeling of tiredness, but of deep exhaustion, characterised by pain and dizziness as well as the inability to sleep and rest well.
 “Brain fog is a lot less peaceful than the word may suggest. I experience it more as a thunderstorm in the brain,” she said.
 “I had strong symptoms, including cognitive ones, which meant that even organising help was often overwhelming,” Anna admitted.
 Attempts to describe her symptoms have often baffled others, including some doctors, and she has had to keep explaining they were not psychological.
 “In this situation, reading about the experiences of others and research findings greatly helps,” Anna said.
 Her biggest problem has been not knowing who to talk to about everyday life arrangements and questions about continuing or adapting work.
 “I had to learn the technique of pacing to avoid the worsening of symptoms,” Anna said.
 “While doctors were friendly, I got most helpful information, including the crucial technique of pacing, by reading, which, in itself, is a difficult task for most of those affected,” Anna continued.
 Over the last 18 months, there have been some changes in the symptoms and energy levels, Anna acknowledged.
 “Occasionally, however, these make it even harder to know when to stop to avoid worsening symptoms.”
 Anna is going through further cardiology check-ups at Mater Dei Hospital’s Long-COVID Clinic, but her GP has said there was nothing more to be done for her main symptoms of fatigue and PEM.
 “It was and is difficult to explain the disease to friends and colleagues. I believe that more visibility in the public sphere would have greatly helped the process of adapting to my condition, which was often misunderstood as ‘a bit of tiredness’,” Anna said.
 She was trying her best to remain optimistic about a cure. “That is why it is important for the disease to get publicity and for research to get funding.”
 Patients like her needed an official website directing them towards medical and social services and information about how to deal with long-term sick leave, or the need to adapt working conditions, schooling, and so on.
 Those requiring long-term sick leave and those who had care obligations also needed financial support, as well as support with daily necessities.
 Access to anti-viral medication was also called for, given “a big fear” of the worsening of symptoms due to another COVID-19 infection.
 While she still managed to work and go about her daily life, this was only because she was “privileged” to have a lot of flexibility at work and because she stopped all other activities.
 “I am lucky I have recovered to the degree that I can organise my household – but only by planning meticulously, with short tasks and long breaks, and by adapting my lifestyle. I walk much less than I used to – to shops or to work – and sport of any type is out of the question.”
 The hardest part of all this was that even positive input, such as a short chat with a friend, reading a friendly e-mail, or taking a short walk, causes PEM, Anna said.
 “It means that to rest, I have to switch off completely; even my thoughts. This is a daily struggle.
 “It is also a struggle not to worry too much – because, of course, worrying, too, will give you symptoms and take away energy. Even answering these questions causes symptoms.”
 * This patient agreed to be interviewed on condition of anonymity. 
  
",Fiona Galea Debono,"National,Health,COVID-19"
Health minister rules out Vitals-like deal for St Luke's,timesofmalta,https://timesofmalta.com/article/health-minister-rules-future-vitalslike-deal-st-luke.1093243,30-05-2024,002460.png,"The Health Minister has ruled out the possibility of a Vitals-like deal for St Luke's Hospital that would see the Gwardamanġa hospital privatised again. 
 On Thursday, JoEtienne Abela said the plan was to revamp Malta's old general hospital and run it as a government-led operation.
 Nine years ago, the Maltese government gave away St Luke's and two other hospitals in a concession deal to Vitals Global Healthcare (VGH).
 VGH was meant to refurbish the hospitals and operate them on behalf of the government. Despite the multi-million deal, pledged projects were never carried out, deadlines were missed and St Luke's remained abandoned. 
  The concession was later passed on to Steward Healthcare.
 A judge described the whole hospitals' deal as ""fraudulent"".
 Former prime minister Joseph Muscat, his then chief of staff Keith Schembri and former health minister Konrad Mizzi are facing charges of bribery, trading in influence, money laundering, and various other crimes.
 On Thursday, health minister JoEtienne said plans are in hand to move outpatient wards, day surgery, and dental procedures currently based at Mater Dei Hospital to St Luke's. 
 The University of Malta's medical and nurses' schools will also move from MDH to Gwardamanġa under new plans, he said. 
 Those plans, include revamping and constructing new buildings in the St Luke's complex. 
 While the government will lead the project, it does not mean stonewalling the private sector. 
 ""Cooperation with the private sector served us in the past and is serving us in the present. I don't see why there should not be cooperation with the private sector.""
  
",Daniel Ellul,"National,Hospitals deal,Health"
Doctors file judicial protest to stop outsourcing of IVF procedures,timesofmalta,https://timesofmalta.com/article/mam-files-judicial-protest-stop-outsourcing-ivf-procedures.1093323,31-05-2024,002299.png,"The Medical Association of Malt (MAM) has filed a judicial protest seeking to stop the government from outsourcing IVF procedures to the private sector. 
 This comes after Prime Minister Robert Abela announced the government would be sending couples on the waiting list for IVF to private clinics for treatment, during an electoral campaign event earlier this month. 
 The government subsequently announced it would be spending €6 million to send some 650 couples for private IVF treatment, in a bid to slash waiting times. 
 But the MAM says that this violates an agreement the government had entered into with doctors following a 2018 strike over the transfer of public hospitals to the private company Steward Healthcare. 
 In this agreement, the MAM said that the government promised it would carry out “meaningful” consultation with the association and obtain its consent prior to forging ahead with any planned privatisation or outsourcing of any services that are offered as part of the national health service. 
 The state disrespected this agreement when it published tenders for these services without any consultation or consent, as stipulated in the aforementioned agreement, the association said. 
 “MAM is protesting that the Government is showing a lack of transparency. This is crucial in the light of the Vitals/Steward fraud,” MAM president Martin Balzan said. 
 “The Association insists that any privatisation of medical services has to abide by signed agreements, have patients' best interest at their core and there has to be proper scrutiny of how taxpayer money is being spent.”
 Balzan added that the country’s health infrastructure was now “in crisis” thanks to the defunct deal that saw three state hospitals handed over to the private company VGH and later Steward Health Care. This crisis can only be resolved if the way forward is planned holistically and with the involvement of all stakeholders, he said. 
 While the MAM is not against involving private sector operators to cut waiting lists, including for IVF, but this should not be done at the expense of ignoring obligations. 
 “The blatant disregard of existing agreements and the lack of consultation does not reassure doctors that the government has learned the lessons from the Vitals/Steward fraud,” Balzan said. 
 The MAM is calling on the government to stop further privatisation until proper meaningful consultation is complete. 
",Times of Malta,"National,Health,Fertility,Unions,Hospitals deal"
Health Minister wants to introduce organ donation after circulatory death,timesofmalta,https://timesofmalta.com/article/health-minister-wants-introduce-organ-donation-circulatory-death.1102219,12-09-2024,002338.png,"The health minister said on Monday that he wants to build on a Bill moved by an Opposition MP to facilitate organ donation by making organ retrieval possible when a patient has 'circulatory death'.
 At present organs can only be retrieved once patients are certified as being brain dead.
 Minister Jo Etienne Abela said in parliament that he wanted to go beyond that so that organs could be retrieved when a patient had 'circulatory death'.
 (That would mean that organs may be taken when a patient's circulatory and respiratory functions have stopped, and death is pronounced by a physician.)
 The minister pointed out that this had already been introduced in other countries, such as the UK, and had led to an increase in organ donations. 
 It was also for this reason, among others, that the hospital's Emergency and Intensive Care departments needed to be enlarged. 
 The minister was replying to questions by Labour MP Rosianne Cutajar.
 He recalled that in October he had backed a bill tabled by Nationalist MP Ivan Bartolo introducing an 'opt-out' system for organ donations.  
 At present, people wishing to donate their organs need to ‘opt-in’ by registering to donate their organs for transplant once they die. Bartolo had proposed to reverse the process so that anyone over 16 would be presumed to have given consent to donating organs unless stated otherwise.
 Abela said he not only backed but had also seconded Bartolo's bill, but he wanted to go further.  

                ",Times of Malta,"National,Health"
