title,newspaper,url,date,imgs,body,author,tags
Portelli bid to sanction illegal pools ‘mockery of justice’ - Graffitti,timesofmalta,https://timesofmalta.com/article/portelli-bid-sanction-illegal-pools-mockery-justice-graffitti.1096407,08-07-2024,000088.png,"Activists have slammed a bid by developer Joseph Portelli to sanction his illegal Qala pools as a “mockery of justice” facilitated by authorities who bend over backwards to please “greedy developers”. 
 A fresh sanctioning application has been filed for the controversial swimming pools, which were built outside the development zone in Qala, after a court  revoked its planning permission in March. 
 But Moviment Graffitti said on Wednesday that this fresh attempt to legitimise the pools is a sign of Malta’s planning system sinking to “new lows of indecency” and said that the courts were “unequivocal” in saying that the pools were not compatible with the rural area. 
 “Given that illegal structures can only be sanctioned if they conform to current planning policies, Portelli’s second application to sanction these pools, after such a categorical Court ruling, is a blatant mockery of our justice system,” they said. 
 “This affront to justice is facilitated by the Government and its authorities, who have consistently bent over backwards to satisfy the greed of developers.”
 In June, Graffiti hosted a flash protest at the site of the pools and spraypainted the word “illegal” in big red letters all over the bottom of one of them. 
 The point of this protest, they said, was to highlight how the government has failed to curb what they called Portelli’s “bullying tactics” and failed to reform the flawed planning appeals system, which allows developers to start working on a project despite having an appeal pending. 
 This has led to a situation like the one in Qala where projects end up being completed after the courts revoke their permits. 
 “As we stated during our direct action, and reiterate now, this planning system is intentionally rigged in favour of developers,” they said. 
 “The Government is effectively enforcing impunity for developers by allowing them to construct structures that are illegal or potentially illegal, and then failing to take meaningful action against these violations. In the case of Qala, the Planning Authority has not even restricted access to the pools, which remain fully operational despite their clear illegality.”
 They expressed disappointment that there is still no sign of reform in planning appeals as promised by Robert Abela. 
 They once again called for Portelli’s illegal pools in Qala to be demolished and reform enacted without delay. 
 “Moviment Graffitti is prepared to take further direct action if the people's call for basic decency in planning continues to fall on deaf ears.”
",Times of Malta,"National,Planning Authority,Qala,Gozo"
PA suspends decision on seven-floor Sa Maison block as protests mount,timesofmalta,https://timesofmalta.com/article/pa-suspends-decision-sevenfloor-sa-maison-block-protests-mount.1097278,27-08-2024,"000217.png,000218.png,000219.png","The planning authority has suspended a decision over an application to transform a former retirement home in Sa Maison into a seven-storey block of 48 seafront apartments.
 The application – PA 04281/23 – requested the demolition of the ex-Sa Maison residential home and a neighbouring dilapidated warehouse. Instead, two levels will be excavated underground for parking, one floor will be dedicated to retail establishments and another seven (that include the receded top floor) to residential apartments.
 The building will rise 26 metres above street level, replacing the abandoned retirement home for the elderly that is six storeys high. Dimitri Sturdza from Heritage Holdings Ltd applied for the proposed development that lies on Triq ix-Xatt, Pietà, corner with Sqaq Borton. The project architect is Michael Anastasi.
  Although the project was recommended for approval, the planning board suspended the decision after hearing several objections from residents. Board members also raised their concerns that centred around the scheduled buildings in the area as well as height limitations.
 One objector was Pieta resident Joseph Magro Conte who said that residents were not objecting to the redevelopment of the site. However, this proposed development was excessive. The dense proposal would impact the quality of life of residents as, apart from exceeding building heights, it would lead to overdevelopment, congestion and parking issues.
 He said it also ignored the cultural heritage element in the area. He noted that, according to the NSO, Pieta was the third area with the highest population density despite its small size. He said that planning ought to improve community and quality of life and this proposal would do nothing of the sort.
 Malcolm Mifsud, also a resident, agreed that the new project would pose as overdevelopment. The former retirement home was already a dominant development approved in 1988 - the new development proposed would make it even more dominant.
 This is “pure speculation”, he said.
  Fr David Cortis, from St Augustine College, said that the main objection was to the height – almost four or five storeys above the normal height in that area. There were two scheduled properties adjacent to the site so one had to keep the skyline in mind.
 The extra floors would tower over the playgrounds and classrooms used by classrooms.
 “The open areas of our college would be engulfed,” he said, adding “we should be working towards improving quality of life. There should be development but within certain parameters.”
 Project architect Michael Anastasi said there was a misconception about the volume of development. Most of the objectors, he said, spoke about the massive size, but the proposal was lower and less impactful than the existing building.
 He stressed that the parking provided was at a surplus to that required. The client would be excavating – beneath sea level which was very expensive – to provide parking.
 The project would be regenerating what is now a dilapidated area, he said. He added that project would not be overlooking the school as the volume was almost identical as the current building.
 The case was suspended to allow the architect to further consult with the Superintendence for Cultural Heritage and Enemalta and tweak designs accordingly. 
",Claudia Calleja,"National,Planning Authority"
LESA officer injured in crash on Msida's Rue D'Argens,timesofmalta,https://timesofmalta.com/article/lesa-officer-injured-crash-msida-rue-dargens.1091639,27-04-2024,000342.png,"A 48-year-old LESA community officer was grievously injured in a traffic accident in Rue D’Argens, Msida on Saturday morning.
 The woman was riding a LESA motorcycle at around 8.15am when she was involved in a collision with an Opel Astra driven by a 58-year-old man, the police said in a brief statement.
 She was given first aid by a medical team onsite and then taken to Mater Dei Hospital by ambulance, where she is receiving treatment.
 The police have opened an investigation into the incident.
",Times of Malta,"National,Accident,Traffic,Msida,LESA"
Blank walls 'only temporary' says architect seeking Swieqi pencil development,timesofmalta,https://timesofmalta.com/article/blank-walls-temporary-architect-seeking-swieqi-pencil-development.1098058,13-09-2024,"000380.png,000381.png,000382.png","An architect seeking to build a pencil development among a row of Swieqi townhouses replied to residents' concerns about raising blank party walls by saying that they were ""only temporary"". 
 Architect Christian Spiteri said that just because a few houses along the street did not want to develop their property, it did not give them the right the prevent his client from doing so. 
 Spiteri, on behalf of applicant Christopher Stanley, was arguing in favour of a planning application that wants to demolish a terraced house in Triq il-Ħemel in Swieqi and build a block of five flats instead. 
 A group of residents as well as the local council have been vocal in their opposition to the project. 
 But during a sitting discussing the case on Friday, Spiteri said that their plans for the site must be evaluated in the correct context. 
 He said the application was to develop in the context of that scheme and would maintain consistency in the area - that was no longer a two-storey terraced house area.
 He insisted that the application observed the height limitations in the local plan.
 “Just because there are 10 owners that do not want to develop their house, it does not mean they have a supreme right to change the applications of others like my client,” he said adding that the houses were not of some architectural heritage that deserved some form of special protection.
 He also said that the blank party walls were temporary and would not remain there forever as adjacent buildings could be developed.
 This earned him a swift rebuke from Swieqi mayor Noel Muscat. 
 “The way you’re talking is the proper destruction of Malta: 'Let’s go ahead and keep destroying'. On the contrary, we are saying: 'Let’s save what we can',"" he said. 
 During the sitting, Timothy Bartolo and Tara Cassar, who represented residents, said this project exceeded the height limitation for the area by two storeys and would create blank party walls on both sides. This would ruin the streetscape. 
  They also argued that the project would be in breach of an agreement made with the Archbishop’s Curia.
 The terraced house in question was built on a plot of land known as Art Tal-Kbira originally granted by the Archbishop’s Curia to engaged couples to construct terraced houses.
 This was a contractual obligation which remained when Church properties were transferred to the Joint Office, they argued.
 The objectors also cited a landmark court decision in which, last year, the Court of Appeal overturned a decision to allow a terraced house, in a row of 20 terraced houses in Triq il-Ġibjun, Santa Luċija, to be demolished and turned into four apartments and a penthouse.
 The court ruled that just because the local plan’s height limitation permitted buildings of the height applied for, it did not mean that the permit ought to be granted. Any new building had to respect the context of the buildings it was located in.
 Mayor Noel Muscat said Swieqi had a big problem with overpopulation and new blocks were being rented out as short lets.
 “The planning authority does not get into it, but it should because short lets are of a commercial nature and they are disturbing the locality tremendously - there is vandalism, disturbance at night and problems with waste management,” he said adding: “We are not against all development, but there must be a balance between the locality and the short let population.”
 The case was deferred to October 25. 
 ",Claudia Calleja,"National,Planning Authority,Swieqi"
Motorcyclist grievously hurt in Rue D'Argens crash,timesofmalta,https://timesofmalta.com/article/motorcyclist-grievously-hurt-rue-dargens-crash.1091784,05-01-2024,000441.png,"A motorcyclist was grievously hurt in a traffic collision in Msida on Tuesday evening, the police said in a statement on Wednesday.
 The incident occurred on the corner of Rue D’Argens and Triq il-Knisja at around 7.30pm.
 A 28-year-old Egyptian man riding a Yamaha motorcycle collided with a Honda Fit being driven by a 43-year-old Bangladeshi man who lives in Marsa.
 The motorcyclist, who lives in Msida, was given first aid on-site by a medical team and then taken to Mater Dei Hospital by ambulance.
 A police investigation into the incident is under way.
",Times of Malta,"National,Accident,Traffic,Msida"
"Pedestrian, 34, critically hurt after being hit by car in Qormi",timesofmalta,https://timesofmalta.com/article/pedestrian-34-critically-hurt-hit-car-qormi.1093009,25-05-2024,000476.png,"A 34-year-old pedestrian was seriously injured when he was hit by a car in Qormi on Friday night.
 The victim, who is from Mosta, was on Triq Ħal Luqa at around 10.30pm when he was hit by a Toyota Passo driven by a 30-year-old man from Cospicua.
 A medical team was called to the scene and administered first aid before rushing him to hospital with critical injuries.
 Magistrate Antoine Agius Bonnici is leading a probe into the incident. A police investigation is also underway.
",Times of Malta,"National,Accident,Traffic,Qormi"
3pm is peak time when children get run over – police,timesofmalta,https://timesofmalta.com/article/3pm-peak-time-children-get-run-police.1093982,15-06-2024,000491.png,"Three o’clock in the afternoon is the peak time when children get run over, according to police data, which showed that over 300 children were hit by vehicles on Maltese roads in the past decade.
 A third of these children were under the age of seven, with the youngest victims being four one-year-olds.
 The data showed that most of the children – that ranged from the one-year-olds to 17-year-olds – were hit at 3pm (34 children), a time that coincides with the time when many schools end. This time was followed by 6pm (32) and 5pm (28) – times associated with the evening rush hour.
 Most accidents happened in Birkirkara (28) followed by St Paul’s Bay (19). The latter was the locality where the most recent accident occurred on Thursday when an eight-year-old boy was grievously injured after being hit by a car in Triq it-Tamar at around 6pm.
 This followed another two accidents on June 11 when two boys were seriously injured in separate traffic accidents: a 13-year-old boy was hit by a car in Santa Luċija and a 12-year-old in Pembroke.
 On April 29, an 11-year-old girl was seriously injured in Mġarr and, on April 22, a five-year-old boy was grievously injured when hit by a car in Naxxar.
  Police data showed that, since 2014, there were 334 accidents in which children under 17 were run over.
 Most of the cases resulted in light injuries but 110 cases – that is one in three cases – were classified as grievous injuries. There was one fatality in 2015 when a 13-year-old was hit by a car in Swieqi at 3.35pm.
 Data showed that boys are twice more likely to be hit by a car than girls, with 218 boys as opposed to 113 girls (in three cases, the gender was not registered).
 A look at the ages showed that 17-year-olds were the most accident prone as they were the age group with the highest number of total accidents (29) but also had the most grievous injuries (15). One hundred and twenty-nine child pedestrians between the ages of 13 and 17 were injured in traffic accidents since 2014.
 Data showed that 134 children under the age of 10 were injured.
 There were a significant number of accidents involving children under four.
 Over the past decade, four one-year-olds, nine two-year-olds and 16 three-year-olds were hit by cars. There were also 20 four-year-olds, 19 five-year-olds and 23 six-year-olds.
 The year 2019 saw the most accidents, with 38 children being run over, followed by 2022 and 2023, with 37 each year. This year, so far, there have been 16 accidents in which children were hit by cars. 2020 and 2021 had the least accidents, possibly due to the coronavirus pandemic that kept many indoors through online schooling.
  
",Claudia Calleja,"National,Accident,Children,Roads,Traffic"
Għadira watersport operators probed by transport regulator,timesofmalta,https://timesofmalta.com/article/tm-investigating-alleged-illegal-activities-watersport.1096796,16-08-2024,000505.png,"Transport Malta is investigating reports of alleged illegal activities by watersport facility operators at Għadira Bay. 
 Private boat owners who wish to anchor at the popular bay during the summer season have complained of harassment from these operators.
 Speaking anonymously to Times of Malta, one boat owner described how a company has “practically taken over the entire bay illegally by placing several unregistered and illegal moorings, charging boaters a daily fee for using them”. 
  He and others who refused to pay were allegedly driven out of the bay, with one operator “hurling expletives” and displaying “very aggressive behaviour for simply anchoring in a spot where he was planning to cram in more boats”.
 A spokesperson for Transport Malta said the Maritime Enforcement Unit is actively investigating several reports of irregularities at Għadira Bay. 
 “The investigation is still ongoing as more details and information are being gathered,” the spokesperson stated.
 One reader recounted how, on Sunday morning, he was told off by an operator because “we had not booked a mooring in advance”. 
 The boater said that later in the day, after finding an empty spot, the same operator returned, hurling abuse and obscenities. 
 “What irritated me most was the way he thinks he owns the sea,” he said.
 Concerns have also been raised about the safety of bathers and boaters due to the illegal moorings, which have been deployed so close to each other that they leave little space for other boaters to anchor freely. 
 Some moorings have even been installed within the ferry way in the swimmers’ zone, an area meant to remain unobstructed for safe passage.
 Transport Malta confirmed that watersport companies are not permitted to rent moorings in public bays, although they can apply for mooring permits for their commercial vessels. 
 While no standard distance between moorings is established, a safe operational space should be maintained between vessels, according to the agency. 
 The Moorings and Berthings Unit monitors the situation and reports illegal activities to the Maritime Enforcement Unit and the police, who then take enforcement action as necessary.
",Mario Xuereb,"National,Maritime,Transport,Beach"
Demonstrators to Abela: Stop PA's backdoor approval of illegal developments,timesofmalta,https://timesofmalta.com/article/demonstrators-abela-stop-pa-backdoor-sanctioning-illegal-developments.1097457,31-08-2024,"000811.png,000812.png,000813.png","A coalition of NGOs and resident groups want Robert Abela to stop the Planning Authority from sanctioning illegal developments.
 In a press conference outside Castille on Saturday morning the groups said that the prime minister’s lack of action in this matter is overseeing a “power seizure” by developers over the country’s planning and justice system.
 The issue came to prominence recently after the PA sanctioned a development which had been declared illegal and stripped of its permit by a Court of Appeals just months prior.
 That decision sparked outrage and triggered an Ombudsman investigation, as well as a formal appeal into the sanctioning application.
 Moviment Graffitti activist Andre Callus said that Malta's already rotten planning system was being plunged to new depths by the Planning Authority. 
 He said that the developer behind the sanctioned development that made headlines, Gozo magnate Joseph Portelli, has three other illegal construction projects which currently have sanctioning applications before the PA. 
 “Sanctioning procedures are meant for cases where structures conform to existing policies. Yet, in these four instances, Court rulings have clearly stated that they do not,” Callus said.
 “The PA’s processing and approval of these applications undermines the entire planning and judicial process, turning it into a sham procedure where laws, regulations, and even Court rulings are disregarded to appease powerful developers.”
 This status quo, he added, gravely undermines the rule of law and threatens people’s ability to meaningfully challenge the PA’s decisions. 
 Callus said that this scandal is tied to the fact that this far the government has failed to meaningfully reform the planning appeals process, despite Abela promising several times that he would do so. 
  The law allows developers to begin construction on buildings which are still under appeal, thus creating a situation in which illegal structures are built and remain in place even after the court rules against them. 
 Din l-Art Ħelwa president Patrick Calleja explained that in the past four months, four sanctioning applications located in Gozo had been filed by entities connected to Joseph Portelli, and in every instance, they had already been built when the courts revoked their planning permits. 
 He said the court had primarily revoked these permits because they did not conform to planning policy. 
 However, in the case of the Sannat permit, this was granted through a summary procedure. 
 This means that rather than basing the sanctioning application on an assessment by the planning commission, the decision is based on the recommendation of the PA’s executive chairman, who must declare that the building does in fact confirm to existing planning policies. 
  When PA boss Oliver Magro made the recommendation for the Sannat application, it did not conform to planning policy as clearly stated by the court, Calleja said. 
 “The planning minister must explain why the PA accepted this summary application when it knew the penthouses didn’t conform to policy,” Calleja said. 
 Luke Said from the NGO Għawdix said it was beyond belief that normal citizens must fight tooth and nail for rights that should be obvious and simple, such as not allowing construction to go ahead while a building is under appeal and following the directions of a court judgement. 
 “This situation is incredulous and denies us the right to shape our own environment as we see fit. It is a shame that this has happened in a democratic country,” he said. 
 Astrid Vella of Flimkien Għal Ambjent Aħjar said that the PA’s decision to sanction the Sannat penthouses not only goes against its own mission statement and is in violation of a number of international treaties Malta is signatory to, but has far-reaching implications for the state of the rule of law in the country. 
 “Almost every day the Maltese people are forced to endure another insult to the planning system that further plunges it into crises,” she said. 
 “Not only is this eroding our legal rights as citizens, but its implications go beyond the environment. If an entity can simply ignore a decision handed down by the Chief Justice, then it sets a precedence that he can be ignored in other areas as well.""
 She added that the ongoing construction frenzy is having an impact on the public's physical and mental health. 
  “[PA Boss] Oliver Magro should open his eyes,” Callus said. 
 “We know that these people take their directions from others, but as we’ve seen in court proceedings related to the hospitals deal, people who put into motion the criminal actions of others are having to answer for their deeds as well.” 
 Prior to being appointed PA chair, Magro served as part of Prime Minister Robert Abela's legal team.
 Abela's government this week announced that it would be presenting a law that would prohibit construction projects from going ahead until the appeals process has been exhausted.
 The prime minister had made a similar pledge back in September 2023, saying at the time that his cabinet ""has approved"" such a law. Nothing more was heard about it until this week's statement.  
 Speaking on Saturday, Callus said he would reserve judgment until details concerning the law were divulged. 
 “We’re ready to participate in consultation, but we’ll believe it when we see it,” he said. 
 Callus said the NGOs are calling for the government to take the following steps immediately: 
 The groups who participated in the press conference are BirdLife Malta, Din l-Art Ħelwa, Flimkien għal Ambjent Aħjar, Friends of the Earth Malta, Għawdix, Moviment Graffitti, Nature Trust Malta, Ramblers Association Malta, The Archaeological Society Malta, Wirt Għawdex, Azzjoni Tuna Artna Lura, Għaqda Residenti tal-Qrendi, Għaqda Storja u Kultura Birżebbuġa, Marsaskala Residents Network, Marsaxlokk Heritage, Nadur Nadif, Residenti Beltin, Sliema Residents Association and Wirt iż-Żejtun. 
",Jessica Arena,"National,Planning Authority,Gozo,Demonstration,Valletta"
Self-employed cab drivers to protest over 'injustice' of saturated market,timesofmalta,https://timesofmalta.com/article/selfemployed-cab-drivers-protest-injustice-saturated-market.1093278,31-05-2024,000961.png,"Updated 6.25pm
 Self-employed cab drivers will again protest this Monday over what they say is ""injustice"" perpetuated against them by government authorities. 
 They will meet in front of Paul Boffa Hospital at 4 pm and march to the office of the Prime Minister at Castille. 
 Aron Gatt, who heads a lobby representing drivers, said the self-employed feel shortchanged as the ""y-plate"" market has become oversaturated.
 ""Competition did not grow organically but illegitimately. Transport Malta and other authorities flooded the market by allowing companies to expand their fleet to hundreds of cars even though they are not in line with regulations,"" Gatt, president of the Light Passenger Operators Association (LPOA), said.
 He said that some of Malta's largest fleets do not have off-street parking for their cabs but are still allowed to operate. 
 Fleets have not only abused the system but pushed up insurance premiums due to accidents caused by drivers not used to local roads, Gatt said. 
 ""In 2020, we were paying around 700 a year in insurance; now, people are paying around 2,000. One person I know pays almost 4,000 yearly,"" he said. 
 As a result, self-employed cab drivers are only scraping by and earning just over the minimum wage when accounting for costs, Gatt said. 
 In February, the Light Passenger Operators Association (LPOA) also organised a protest over low prices on cab platforms like Bolt, Uber and e-Cabs. 
 They drove in a slow car cade from Ta Qali to Marsa as a show of force. 
 They are organising another protest because the association feels it has been unheard by authorities. 
 ""We've had meetings with the government but nothing has changed,"" he said. 
 Companies with large fleets make up the vast majority of the Maltese cab market. 
 A Parliamentary Question from last November shows that over 60 employers have a fleet of over 10 cars. Three of those have more than a hundred Y-plated cars. 
 The largest fleet in Malta is WT Global with 269 cars. 
 In comments to Times of Malta late on Friday, a spokesperson for the Transport Ministry said it had met representatives of the Light Passenger Operators Association on various instances and communication with stakeholders remained ongoing.
 ""The minister reiterates that his doors remain open to operators and to entertain discussions in good faith to discuss solutions. 
 ""While drivers have every right to protest, the government urges operators to continue to assist the authority in bettering the situation.""
",Daniel Ellul,"National,Transport"
