title,newspaper,url,date,imgs,body,author,tags
Maltese kajjik ‘Santa Maria’ spotted in French harbour,timesofmalta,https://timesofmalta.com/article/maltese-kajjik-santa-maria-spotted-french-harbour.1096883,18-08-2024,"000189.png,000190.png","Maltese travellers overseas are often surprised by little reminders of home on their travels, but seldom do they come across a piece of vibrant living history so far away from the island.
 That’s exactly what happened to photographer Daniel Cilia this week when he spotted a traditional Maltese kajjik (fishing boat) floating in a French harbour. 
 Against the backdrop of the colourful Honfleur harbour in Normandy, the kajjik stood out to Cilia with its familiar blue and yellow hues and the  Eyes of Osiris keeping watch from the bow of the boat, setting it apart from the more modern vessels floating nearby. 
 The boat bore the name of ‘Santa Maria’, in a somewhat auspicious reminder of the important feast week Malta is currently celebrating. 
 “I had to do a double take when I saw it, had I seen the photo I took online, I might have mistaken it for AI,” Cilia told Times of Malta. 
  After making inquiries with the Poudreux shipyard, Cilia discovered that the vessel, which was built in 1967, belonged to a family who lived in Malta at one time. 
 When it came time for them to relocate to France, they decided to bring the boat they had fallen in love with and had it professionally restored in 2021. 
 “The boat was carefully transported to Honfleur in Normandy, France from Malta in a container when the owners decided to relocate and wanted to ensure their cherished luzzu accompanied them,” Cilia said.
 “Recognising the sentimental value and the potential of the boat, the Poudreux shipyard in Honfleur undertook a comprehensive restoration project in 2021. During this process, they meticulously restored the boat to its former glory, paying attention to every detail.”
 The shipyard also brought more longevity to the Santa Maria, fitting an electric motor to the rudder in a seamless blend of traditional craftsmanship and modern technology.
 “It is a truly unique and refined boat which gets lots of attention because there is nothing like it in Honfleur harbour which is visited by thousands of tourists,” Cilia added.
",Jessica Arena,"National,France,Culture,Tourism,Tradition,Maritime,Travel"
‘Where are all the films?’ - Drought of foreign films has crews worried,timesofmalta,https://timesofmalta.com/article/where-films.1092699,20-05-2024,"000335.png,000336.png,000337.png,000338.png","A drought of foreign films in Malta this year has pushed dozens of crew out of the industry, as one production packed up for Morocco and another reportedly changed its mind about Malta and moved to the UK, Times of Malta has learnt.
 Several Maltese film crew – from makeup artists to set builders and costume designers – have vented their frustration at not having booked a job in the film industry for months.
 Seasoned industry sources said there was a dearth of productions worldwide that was inevitably having an impact on the local film service industry.
 Some crew who worked on three or four different productions last year have not been called to work on a film or TV series for six months, despite the government and the Malta Film Commission running a marketing campaign urging people to join the industry for “a guarantee of a job in films”.
 The film commissioner had predicted that 2024 would be “another record year” for foreign productions.
 The film commission’s job website opportunityforall.mt is only listing one ongoing production at the moment, a British TV series. And it is “a relatively small production” by industry standards, industry sources told Times of Malta.
 The website does list more productions for the rest of this year – Jurassic World, another two US productions, and one British and one German – indicating that the pace might pick up again in the coming months.
 The website, which has a section listing available job vacancies on ongoing productions, has no listed vacancies at the moment.
 Speaking to Times of Malta, every crew member almost unfailingly – and without being prompted – said they had been attracted to the industry by nationwide campaigns that the Malta Film Commission has been running over the past couple of years.
 One such campaign ran slogan Garanzija tal-jobs fil-films (A guarantee of jobs in film) until as recently as last month.
 “Where is the guarantee of jobs in films?” one crew member said.
 “We were promised back-to-back productions and that was true for me up until last year, but now I have been out of a job for six months and I have nothing lined up yet for the rest of the year.”
 The word around Maltese crews late last year was that there were tens of productions lined up for this year. In November, film commissioner Johann Grech told MaltaCEOs.mt that 2024 was set to be “another record year” for the film industry.
  In a reply to questions, the film commission would not explain the drought and would not say what had changed since Grech made that prediction last year.
 A spokesperson did say, however, that “employment and the value to the economy is also derived by the quality of a production, not just the total number”.
 He would not say how many productions are lined up for the rest of the year due to confidentiality clauses in the contracts with production houses, and to avoid negatively affecting future investment in Malta.
 Film industry insiders, however, told Times of Malta that apart from Jurassic World,  which is set to shoot in Malta for a few weeks this summer, the other productions are small or medium-sized by industry standards. And they were not employing many local crew, often bringing their own over instead.
 Meanwhile the film commission has almost invariably refused every request to disclose, explain or justify its often lavish, multi-million taxpayer spending on cash rebates, marketing stunts, campaigns, short films, award shows and film festivals.
 It was only through a court order that came at the end of a two-year legal battle that the commission was forced to reveal that British comedian David Walliams was paid €120,000 in taxpayer money to host the Malta Film Awards back in January 2022.
 Since then, Walliams has taken part in several other Maltese film commission events – from hosting award nights to reading books to children and starring in short films – and none of the costs were ever revealed.
 Top industry sources say the commission’s overall spend has been “astronomical” over the years and reaches millions in taxpayer money.
 The film commission refuses to disclose its spending, saying this is sensitive commercial data and its publication could have legal ramifications and harm foreign investment. Its argument is that the expenditure – no matter how big – is necessary and worthwhile because Malta is becoming a hub for the world’s best films.
 Meanwhile, Times of Malta has confirmed that a foreign production company that had planned on shooting most of its biblical-themed film in Malta went to Morocco instead.
 This is reported to be a medium-sized production, which would typically employ between 120 and 150 Maltese crew in set design, construction, makeup, props, wardrobe and other roles.
 The production was scheduled to work in Malta for several months this year and multiple sources said it relocated because its producers felt the physical and visual environment in Morocco better suited the film’s theme.
 A few Maltese crew will keep their positions and move to Morocco with the film but the rest are out of a job for months if nothing else comes up.
 One member of the Maltese crew who was meant to work on the production said: “I feel cheated because I was continually told that the film sector was thriving. I got calls every few days and messages reminding me that the Film Commission is working hard to strengthen the industry, and now I haven’t had a job in months.”
 On Wednesday in parliament, PN MP Beppe Fenech Adami asked Clayton Bartolo why the film had relocated.
 Bartolo’s reply implied that it was the PN’s fault.
 “Every person who is trying to turn the film industry into a political football is causing Maltese people to lose their job [in the industry],” he said.
 “So, you’re causing people to lose their job and then you come here asking the minister why the film left. Ask yourselves why these films left. Who is going abroad harming our country?”
  Meanwhile, last week UK news website The Telegraph reported there had been a change of mind about a Pierce Brosnan boxing biopic planned to be shot in Malta – it has moved to Leeds to benefit from the British government’s new 40 per cent film tax credit.
 The website said Malta was to be used to shoot interior scenes for the movie, starring the 70-year-old actor of James Bond fame.
 Malta offers an attractive 40 per cent cash rebate of its own. This granted more than €47 million in taxpayer money to Gladiator alone last year. Although several industry insiders have long warned the model is unsustainable, Grech and Bartolo have defended it staunchly, saying Malta cannot afford to be less generous if it wants to remain competitive in the international market.
 “Ironically, a stream of news reports previously published on the Times of Malta described the financial incentives as generous, and various individuals you quoted implied that they are unnecessary or lavish,” the commission spokesperson said.
 “Therefore these reports are now being proved as incorrect or misleading since similar incentives have been introduced elsewhere.”
 Under the rebate scheme, Malta has handed out €143 million to 54 films and television series since 2019.
 Asked whether the commission and the government were considering bumping up the rebate even further now that other countries were offering a similar one, the spokesperson said the commission “is confident that the current financial incentives are competitive but will continuously monitor competing jurisdictions and the economics of the local offerings”.
 But some industry insiders are now warning that Malta is losing its competitive edge in the industry, saying it is becoming increasingly expensive to shoot here, and that may be one of the reasons why there are fewer productions.
 The rise in costs, they say, is partly due to new guidelines for crew issued by the film commission, which stipulate that as from this year, production companies can only benefit from the cash rebate if they honour a set of new conditions for Maltese crew.
 Among the conditions, companies must not pay local crew less than minimum stipulated hourly and overtime rates, Maltese crew must not work longer hours than foreign crew, must be paid double for working on the seventh day of a week and for working on national public holidays, and must be given €20 daily as allowance for meals.
 The guidelines were designed by Grech and his team to ensure better working conditions for Maltese crew.
 “These principles were not only encouraged and eventually endorsed by leading studio executives but also fundamentally meant equal employment standards for both local and foreign workers employed by productions in Malta,” the commission said.
 “There were numerous situations in the past where unequal standards were present for the exact same job and qualification. Challenges exist, notably with local employers hiring non-EU workers despite the availability of local labour. To address this, we are looking at implementing more rigorous labour market testing (LMT) requirements for employers in areas with a sufficient supply of local workers.
 “We want to ensure Maltese, Gozitans and local residents are prioritised, especially since taxpayer-funded financial incentives are at play.”
  Yet, some crew members have complained of lack of adequate enforcement of the guidelines.
 A few of them told Times of Malta they have had to work longer hours than their foreign colleagues.
 “Our laws do not protect us at all. They aren’t even very clear. I have worked on productions where the foreign crew is treated as workers should be and we’re treated like slaves. This is what will continue to happen if we keep relying on the service industry,” one of them said.
 One insider suggested that Malta needed a more balanced approach to the industry – one that included the service industry but did not make it the industry’s focus.
 “Right now, Malta doesn’t have a film industry, it has a service industry,” they said.
 “There should be more investment in local content. If we are the creators, we can create back-to-back productions as opposed to waiting around for someone to show up. Just look at how Luxemburg, Montenegro and Iceland invest their money.
 “In Luxembourg, they create a film from beginning to end. From script writers to post-production, there are Luxembourg creatives involved, which has crea­ted an entire industry that manages to sustain itself.”
 For a direct comparison in terms of funding, in 2023, 19 local productions were awarded over €1.54 million as part of the Creative Malta scheme, while in the same year, Film Fund Luxembourg granted €3 million to just one production.
 Several film industry insiders noted that there is a general slowdown in the industry across the world, not just in Malta. It happened partially due to the actors’ strike last year and is possibly exacerbated in anticipation of a looming crew strike which might happen later this year.
 But that is not the problem, they insist. The nature of the industry has always been this volatile and sometimes production rates slow down. Rather, the problem is that Maltese crew are fed the illusion that there would be a “guarantee” of jobs for everyone throughout the year.
 “That’s not how the industry works, and as long as we remain so heavily dependent on servicing foreign productions, we will always be at the mercy of the highs and lows of the international industry and the appetites of foreign companies,” one filmmaker said.
 “That is why we have been insisting for more investment in the local industry, because more jobs could have been created had there been more focus on local productions.”
 Even worse, development of local productions has almost come to a complete halt as no funds for local productions have yet been awarded this year, another observed.
",Mark Laurence Zammit,"National,Film,Industry,Employment,Morocco"
The Mosta coach who began life in a Brazilian favela: ‘I feel like I did it’,timesofmalta,https://timesofmalta.com/article/the-mosta-coach-began-life-brazilian-favela-i-feel-like-i-it.1093913,23-06-2024,"000696.png,000697.png,000698.png","When Romeu Romão was growing up in a favela in Brazil he had two toy options – a gun or a football. And after playing for multiple clubs and starting his own football school, he is thankful he chose the latter.
 The professional Brazilian footballer has been living in Malta since 2015 when he was signed to Valletta Football Club. The year he was signed Valletta won their 23rd Premier League.
 But the then 25-year-old had one big problem. He couldn’t speak a word of English.
 “I remember going to my first training and rubbing my tummy to signal to the trainers that I am hungry but they thought I meant that I love Maltese food (he laughed). I went to bed hungry that night because I couldn’t even ask for help.”
 He promised himself that day that he would learn English, having understood that if he really wanted to become a coach one day he needed to be a good communicator.
 Romão’s love affair with the beautiful game began at five years old in Minas Gerais, Brazil. “My dad was my first coach. And I wanted to follow in his footsteps. Not only be a good football coach but also show the kids how to believe in themselves,” said Romão.
 He said his father was a figure within their community who helped steer children away from the rampant drugs and violence around them by encouraging them to take up the sport. “It was a dangerous place to grow up. As kids we would play football right next to people openly taking drugs,” he said.
  Thanks, he says, to his father’s persistence and diligence, Romão signed his first contract at the age of 18 and went on to play with various clubs in Brazil until he was transferred to the Budapest-based team, Vasas FC.
 This transfer was the first time he went abroad. He was trepidatious about the transfer because he couldn’t speak Hungarian or English but was lucky enough to find several other players on the team who could do the talking for him.
 After Valletta, he played with Mosta, Sirens, Qrendi and Msida and has learned enough English to make his dream come true and become a coach, just like his father.
 He got started coaching with Mosta FC in 2018 and has also coached for the National Sports School and Kick Football School. But one of his proudest achievements in life was starting R90, his own co-ed football school that is open to students aged between five and 13.
 “In our first year, we only had 30 students but, three years later, I am proud to say we have well over 100,” said Romão.
 Besides being a player and a coach, Romão, now 34, is also a father of two sons, Enzo and Theo. Even though, he said, raising a family as a foreigner in Malta can be challenging, due to lack of support as well as the bureaucratic hassles he faces, he is proud of what he has achieved here.
 Romão said: “I feel like I did it. I grew up having to count my pennies to buy bread but now I count my money to buy my children and my students footballs, just like my dad.”
 ",Emma Borg,"National,Sport,Football,Brazil"
Watch: The Australian Tiktok horror series inspired by Maltese mythology,timesofmalta,https://timesofmalta.com/article/watch-the-australian-tiktok-horror-series-inspired-maltese-mythology.1095648,27-07-2024,000808.png,"A Maltese-Australian Tiktok horror drama series inspired by Maltese mythology and the migrant experience is drawing an average of around 25,000 views per episode.
 Ryan Cauchi, the creator of Greystanes, is an Australian Academy of Cinema and Television Arts Awards nominee based in Western Sydney Australia. He is also the proud son of two Maltese migrants.
  The series, which is found exclusively on Tiktok, is made up of 15 one-minute episodes and is set and filmed in the town of Greystanes.
 Cauchi chose Greystanes because it is a stronghold for the Maltese community and is also where his father grew up.
 Australia has the largest Maltese diaspora in the world – about 200,000 people, according to a 2021 Census. But Cauchi believes Malta’s culture and story have rarely been reflected in films and TV.
  “I wanted to highlight the Maltese culture and give the community a chance to feel represented,” said Cauchi.
 Set in 1995, Greystanes tells the story of 11-year-old Samantha and her older brother Marius. While visiting their Maltese grandmother during school holidays, the siblings discover a dark family secret and encounter il-Ħaddiela, an evil figure from Maltese mythology.
 With their grandmother leading the way, the family must come together to fight the creature − and its curse.
 Il-Ħaddiela is the Maltese mythology figure associated with sleep paralysis.
 Cauchi encountered Il-Ħaddiela for the first time 10 years ago when he read Stephen Mifsud’s book on  Maltese Bestiary.
 “When I read the book, it was like all the pieces came together and I could see this story building in front of my eyes,” said Cauchi.
 The series has been compared to the popular Netflix series Stranger Things but Cauchi said he was inspired by his childhood in the 1990s and the films he grew up watching like Stephen King’s  It or Stephen Spielberg’s  E.T.
 The series features AACTA-nominated actor Frances Duca.
 Even though Cauchi is proud of his roots he has never visited Malta.
 He reminisced about how, during his childhood, his grandfather would excitedly point out when a film, such as Popeye, was shot in Malta. 
 “I would love to come to Malta not just as a lover of the island’s contributions to film but just to see it.”
 Moving forward, Cauchi plans on continuing his Maltese association in film and would also be interested in filming in Malta.
",Emma Borg,"National,Film,Social media,History,Culture,Australia"
Group rescued eight hours from Malta to be taken to port 'two days away',timesofmalta,https://timesofmalta.com/article/group-rescued-eight-hours-malta-taken-port-two-days-away.1092773,21-05-2024,"000945.png,000946.png","A group of 35 people rescued eight hours away from Malta and Sicily were instead ordered to travel to an Italian port two and a half days away, despite suffering the effect of hypothermia and dehydration, rescuers say. 
 The migrants were found adrift in a fibreglass boat in the Mediterranean on Monday, according to Search and Rescue NGO SOS Mediterranee said. 
 They were rescued from the search and rescue zone shared by Italy and Malta.
 “Survivors declare having spent three nights at sea and suffer from hypothermia and dehydration,” SOS Mediterranee posted on X.
 “Three people are being medically monitored.”
 In another post, the NGO said Italian Authorities assigned the rescuers to the port of Ortona, in Italy, as a Place of Safety, despite the rescue taking place eight hours of navigation from Malta and Sicily.
 “We are heading to Ortona, on the Adriatic Coast, two and a half days of navigation away.”
  An AlarmPhone spokesperson told Times of Malta that the 35 people, including seven children, had originally left from Libya.
 Times of Malta has contacted the Armed Forces of Malta and the Home Affairs Ministry.
 Humanitarian NGOs have repeatedly accused Maltese authorities of ignoring calls from distressed migrants at sea and even illegally pushing them back to Libya.. 
 Last month, 22 organisations and academics called on Malta to stop pushing back people at sea to Libya, following allegations that 83 asylum seekers in Malta's search and rescue area were allegedly pushed back.
 In 2023, Times of Malta reported that for over a year, the authorities refused to provide data about migrant arrivals, dismissing the request as ""curiosity"".
",Giulia Magri,"National,Migration,Human rights,Italy"
Maltese authorities sign MOU deals with Chinese universities,timesofmalta,https://timesofmalta.com/article/maltese-authorities-sign-mou-deals-chinese-universities.1091955,05-04-2024,001160.png,"Malta has sealed cooperation pledges with multiple Chinese universities, the Education Ministry said in a statement on Saturday.
 The deals, which will see MCAST strengthen ties with various China-based educational institutes, were signed during an official visit of Education and Sports Minister Clifton Grima to China.
 Grima also signed two other agreements with the Chinese government that pledge to develop student exchanges, scholarships and research collaboration for education technologies between the two countries.
 The minister was accompanied by a delegation made up of Education Malta chairman Charles Zammit and MCAST deputy principal Stephen Vella.
  The delegation was accompanied by Malta’s ambassador to China John Busuttil during meetings held in the Chinese capital Beijing, and consult Lisa-Marie Azzopardi during meetings held in Shanghai.
 Minister Grima met China’s deputy minister for education, Chen Jie, and also addressed academics and students of the Beijing Foreign Studies University after being given a tour by university president Jia Wenjian, the ministry said.
 He also met with top officials of Beijing Sports University and its adjacent Institute of Sport and Health Science.
 The delegation also visited the University of Political Science and Law in Shanghai, where it met university chancellor Ge Weihua and president Liu Xiaohang and signing a memorandum of understanding.
 MCAST representative Ellul signed seven separate agreements during the visit, including ones with the Jiangsu Vocational College of Medicine; Guandong Business and Technology University; South China Normal University; Guangxi University of Science and Technology; Beijing Institute of Technology; Jinzhou Medical University and Beijing Ploytechnic.
",Times of Malta,"National,Education,China"
Maltese Australian woman connects with family after 'Times of Malta' appeal,timesofmalta,https://timesofmalta.com/article/maltese-australian-woman-connects-family-times-malta-appeal.1093021,27-05-2024,"001377.png,001378.png,001379.png","When Linda Coppini Foot’s family left Malta for Australia in the 1950s, she was left with more questions than answers about her Maltese roots.
 She returned to Malta in April and did not know a single soul on the island. But one month later, after an appeal through Times of Malta, Coppini has for the first time met with five of her maternal cousins.
 Linda and her daughter Charlotte arrived in Malta with very little information to go by: a few photos and her family’s immigration documents, as well as the faint memory of rarely told stories about Malta that she heard as a child.
 After contacting Times of Malta to help trace her family, Coppini Foot had an influx of people contacting her with information, including Thomas Zerafa, her mother’s first cousin.
 Just two days after his 89th birthday, Zerafa and Coppini Foot met up at his home, where they both recounted how lucky they felt to have found each other. As his wife, Edith, poured everyone a cup of tea, Zerafa explained that he was orphaned as a child because of World War II.
  “I was an orphan, my father and mother were both dead, and I was in institutional care. I forgot all about my family,” said Zerafa.
 But one memory remained for Zerafa: when he was in the institution at age 15, he met Coppini Foot’s grandfather, Romeggio.
 “He came over to see me at a time when nobody else on this earth was interested in me,” said Zerafa.
 During this encounter, Zerafa remembers Romeggio telling him with tears in his eyes that he would be moving to Australia and that they probably would never see each other again. And they never did.
  ""They forgot all about us, and we forget all about them,” said Zerafa.
 He did not think about his cousins in Australia until he went on a trip there decades ago and tried to trace them but to no avail.
 “It was a huge surprise to hear about Linda and our family there because we never even knew they existed,” said Zerafa. They spent the rest of their morning with Zerafa, who told her stories about growing up in Żabbar during the war, while Coppini Foot shared stories about his family in Australia.
 While in Malta, Coppini Foot also met cousin Emily, who has the same name as Coppini Foot’s mother.
  Emily, like Coppini Foot, is a child of migrants, but her family moved to Canada. Coincidentally, the two long-lost cousins met while they were both on holiday in Malta; before the article, they never even knew the other existed.
 “It has given me a sense of belonging. I always knew I had a relation with Malta but having that connection with people makes it so much more special, and it helps me understand who I am,” said Coppini Foot.
 While in Malta, Coppini Foot only met family members from her mother’s side, while her father’s side remains a mystery. All she knows about her paternal family is that her father, Charles Coppini, was born in 1936 and lived in Unit 1, Block 1, Hubbard Flats, in Cospicua. At 19, he decided to quit his job as a footman and join his siblings, Joe and Tony, in Australia.
 Coppini Foot may still be contacted at e- lindafoot1@gmail.com.
",Emma Borg,"National,Community,Interview,Migration,Australia"
"Today’s front pages – November 1, 2024",timesofmalta,https://timesofmalta.com/article/today-front-pages-november-1-2024.1100384,11-01-2024,001590.png,"The following are the top stories in Malta’s newspapers on Friday. 
 Times of Malta leads with news that a military camp in southern Lebanon where Maltese peacekeeping soldiers are based had been struck by a rocket. The seven AFM soldiers stationed at Camp Shamrock are safe and unharmed. 
 The newspaper also reports how the heads of two unions have hit back at the government for broadcasting a budget-themed image on public sector devices earlier this week. The unions called the move politically motivated and unrelated to public sector jobs. 
 The Malta Independent leads its front with news that the Justice and Peace Commission, within the Archdiocese of Malta, welcomed the social measures in the 2025 Budget, yet said more should have been done in the budget to secure a dignified standard of living for those facing economic hardships. 
 In a separate piece, the newspaper reports how Culture Minister Owen Bonnici said the Nationalist Party wants to send workers at the Public Broadcasting Service to jail. His comments come after a court provisionally upheld a warrant of a prohibitory injunction filed by the PN to halt a broadcasting political spot in connection with Budget 2025. 
 In-Nazzjon meanwhile published comments by PN leader Bernard Grech that the government must stop stealing from the people and stop increasing the cost of living for them. 
 It separately reports how the Nationalist Party has protested in court that Public Broadcasting Services has breached a court order banning the broadcasting of a Budget advert and other politically partisan slots.
  L-orizzont reports comments from economist Philip von Brockdorff who said the country’s economic growth remained the highest in the EU. 
 It also reports the government’s expectations to see tourism revenue to exceed to an unprecedented €3 billion by the end of the year. 

                ",Times of Malta,"National,Media,Budget 2025,Lebanon"
Times of Malta among 81 EU media outlets banned by Moscow,timesofmalta,https://timesofmalta.com/article/moscow-bans-81-eu-media-outlets-including-times-malta.1094435,25-06-2024,001663.png,"Russia on Tuesday blocked access to 81 EU media outlets including Times of Malta as a ""retaliatory measure"" after Brussels last month imposed broadcasting bans on several Russian media.  
 ""Counter-restrictions are being introduced on the access from Russian territory of broadcast resources of media outlets from EU member states,"" Moscow's foreign ministry said in a statement, publishing a list of media outlets and blaming Brussels for the restrictions.
 The list includes Times of Malta as well as TVM, The Malta Independent and MaltaToday.
 Media from 24 EU countries as well as pan-European outlets such as Politco and EU Observer are affected by the Russian ban.
 Last month the EU said it was banning four Russian media outlets from broadcasting in the 27-nation bloc for what it called the spread of propaganda about the invasion of Ukraine and disinformation. The media outlets were Voice of Europe, RIA Novosti, Izvestia and Rossiyskaya Gazeta, which the EU said, are all under the control of the Kremlin and were targeting “European political parties, especially during election periods.”
 The EU had banned Russia Today and Sputnik among several other outlets soon after the invasion of Ukraine in February 2022
                 
",Times of Malta,"National,Media,Russia"
Activists prepare for risky humanitarian trip to Gaza,timesofmalta,https://timesofmalta.com/article/activists-prepare-risky-humanitarian-trip-gaza.1096735,15-08-2024,"001733.png,001734.png,001735.png,001736.png","Activists on board a small ship bound for Gaza have admitted to fearing for their safety, but insist they are committed to reaching the conflict-stricken enclave to deliver aid. 
 ""Obviously I fear for my safety but that is not stopping me,"" said one of the activists, Freedom Flotilla Coalition media coordinator Fellipe Lopez.
 Lopez was speaking to Times of Malta onboard the Handala, a former fishing vessel operated by the coalition that will soon set sail for Gaza in an attempt to break a long-standing Israeli blockade and deliver humanitarian aid.
  ""The purpose of this mission is to send a message that civil society is not okay with what's happening [in Gaza],"" Lopez said.
 He said the voyage to Gaza is expected to take a week, but this could change because of ""tensions"" in the region.
 Nonetheless, he remains confident. 
 ""In my heart, I'm 100% confident and I think everyone on board believes that too... We understand the risks, the challenge, but that is not going to stop us.""
 One woman who understands the risks all too well is 78-year-old former US colonel and diplomat Ann Wright. 
 She was onboard a boat sent by the coalition in 2010, that ended with the death of nine activists when Israeli forces raided the vessel.
  ""These people are very brave, because we don't know what's going to happen. If the Israelis stop them, we know it'll be brutal,"" she said.
 ""There are armadas of military ships that are out there... these people [the crew] are fully briefed, but they're still willing to go,"" said Wright.
 ""I'm so proud of them."" 
 While the vessel may have seen life as a fishing vessel in the past, its new purpose was clear when Times of Malta went aboard on Wednesday.
 Brightly coloured paintings adorned the hull alongside banners and slogans such as ""not in my name,"" ""free Palestine"" and ""Gaza you are not alone"".
 Messages of solidarity were scribbled all over the boat and Palestinian flags flew from beams and rigging ropes.
  Malta is the Handala's 19th stop in Europe. It arrived on Tuesday evening two days late after being delayed in Sicily and will depart in the coming days. 
 Organisers said they intend to sail directly to Gaza, but didn't rule out another stop for additional supplies.
 Crew member and documentary filmmaker Alaa Kassab said he was ""angry"" at the situation in Gaza but ""wanted to be helpful.""
 He will not be onboard the Handala for the final leg of its journey, however, explaining that as a Syrian living in Damascus and formerly Denmark, he was deemed ""too high risk"" for the mission.
 Times of Malta was told that almost 700 people had applied to join the Handala's 17-strong crew.
 Speaking at a press conference before the tour of the ship, coalition representatives said crew members from Italy, France, Norway, Australia and the Netherlands had boarded in Malta, joining Palestinian crew members and other nationalities.
  German crew member of Turkish Kurdish descent Yasmin Acar said she had been ""living in the belly of the monster,"" in Germany and called on her country to stop providing weapons to Israel.
 ""They are repeating history instead of learning from history,"" she said, adding she joined the crew because ""justice needs to be fought for.""
 Moviment Graffiti activist Andre Callus said it was easy to become ""numb, disengaged... Even horrific videos lose their meaning. But we cannot afford to ignore what's happening in Palestine.""
 Millions around the world were expressing their rage and solidarity, he said, adding the Freedom Flotilla Coalition had been running missions for 10 years at ""great personal risk.""
 The coalition is an international organisation of NGOs attempting to break the Israeli blockade of Gaza.
  While other vessels could join the Handala, coalition organisers said on Wednesday that none had applied at the time of publication.
 The organisation aims to deliver 5,000 tonnes of humanitarian aid to Gaza in its current mission but says it will not allow Israeli forces to inspect its vessels or participants, according to its website.
 In comments to Times of Malta, Palestinian ambassador to Malta Fadi Hanania said the boat was carrying ""a message of hope, of humanity... That there are still people who care"".
 He said that while the Palestinian cause had ""lost momentum recently,"" and the Handala ""gives our people more hope and resilience.""
  Israel's offensive in Gaza was sparked in October when Palestinian Hamas militants launched a surprise attack on the country, killing more than 1,200 people, mostly civilians.
 More than 39,000 Palestinians, mostly women and children, have been killed since the start of the war, according to Palestinian health authorities.
",James Cummings,"National,Israel,Palestine"
