title,newspaper,url,date,imgs,body,author,tags
Watch: Former MEP Cyrus Engerer joins leadership of NGO planning a new party,timesofmalta,https://timesofmalta.com/article/watch-former-mep-cyrus-engerer-joins-leadership.1094700,07-01-2024,"000004.png,000005.png","Former Labour MEP Cyrus Engerer has joined the leadership of a recently formed activist NGO that has promised to set up a new political party by the next general election.
 In an interview with Times of Malta, Wayne Flask and Matthew Borg – co-founders of  Il-Kollettiv – confirmed Engerer had joined the NGO as its vice-secretary a few weeks ago but said it was too early to tell whether he, or anyone else, would contest on the new party’s ticket come next election.
 “Our priority right now is to set up internal structures that would allow members to join. We’d rather strengthen our activism before we move on to discussing the political party. But we have a vision and we have a strategy to get there,” Flask said.
 “It’s a pleasure to have a [former] MEP join us, because he chose us knowing we cannot pay, when he could have maybe taken up some lucrative job or posting elsewhere.”
 Il-Kollettiv (which literally translates to ‘The Collective’) was unveiled last April as a new activist group that will help residents across Maltese localities organise themselves to fight excessive development, social injustices and inequality, among other issues.
  Along with Borg and Flask is also Jeanette Borg, the NGO’s president and one of its co-founders.
 Engerer had publicly expressed support for the group on the day it launched. At the time he was still an MEP and it was not yet clear whether he was going seek re-election, and he eventually did not.
 ‘No conflict of interest’
 Times of Malta contacted Engerer, asking him whether he has resigned from the PL now that he holds a leadership role in an NGO that plans to create its own political party.
 “Technically, I remain a member of Partit Laburista because my membership is paid,” he said, adding that he did resign from the party last year over the government’s stance on the Jean Paul Sofia public inquiry, after he was prevented from attending a parliamentary group meeting that discussed the issue.
 “Since I was not allowed to join online (as I had done for all other meetings while being abroad on parliamentary duties), I decided to resign because I could not agree with an internal system that does not even allow for the airing of views – let alone be in a position to help change them.
 “Although my resignation was not accepted and I continued to receive invitations to parliamentary group meetings and other events, I chose not to attend any of them – apart from the following one that had then discussed the terms of reference of the public inquiry.”
 So, does he think he will have a conflict of interest now? Not really.
 “Since Il-Kollettiv is an NGO, there is no conflict of interest since the principles and beliefs defined in Partit Laburista’s statute are in line with those of  Il-Kollettiv,” he told  Times of Malta.
 “In the same way that my membership in MGRM [Malta Gay Rights Movement] was never in conflict with my membership in Partit Laburista.”
 Asked to say whether he has plans to contest the next general election on the new party’s ticket, Engerer simply said “Il-Kollettiv is an NGO, not a political party”.
 A party will emerge 
 In the interview earlier this week, Borg and Flask explained that Il-Kollettiv will not itself be turned into a party, as the NGO must continue the necessary activism in several localities.
 Rather, the new party will emerge out of it and will be up and running and have candidates contesting on its ticket by the next general election.
 Engerer hopes his knowledge and experience in policy, decision-making and campaigning in Malta and the EU could be an asset to the NGO.
  Not a third party
 Borg, the NGO’s treasurer, insisted it is unfair to dub it as another “third party”. Third parties have been doomed to live in the shadows of the big parties because referring to them as ‘third parties’ implies they are third best.
 “It’s like there are two big parties and the rest are fighting it out at the bottom to see who gets to slide in between the two big ones,” he said.
 “We’re not attempting to create a third party, but another party. Our aim is to build a strong relationship with the residents. We don’t just go to the locality and tell them they can object to some application. We help them spearhead their own fight themselves.”
 If they are activists, then why didn’t they join the many other existent activist groups, like Moviment Graffiti?
 Il-Kollettiv is different, they said, because unlike the others, it aims to produce and push forward political candidates to run for office.
 “We wanted to go a step further, because you never see activists run for office,” Borg said.
  Borg and Flask are aware, however, that the smaller parties have so far failed to break the electoral glass ceiling time and time again. They are trying to crack it by proposing drastic electoral reform days after election results were published last month, and by staying as close to the people as possible – “unlike the many politicians who say they are close to the people but in fact are out of touch with voters’ realities”.
 The 135,000 voters who did not vote for the big parties in the MEP election are a testament to that, they believe, and Il-Kollettiv is tapping into that potential.
 A coalition with whom?
 Even if their candidates were to be elected in the next general election, in the absence of a majority they would likely need to form a coalition with one of the big parties.
 Asked which party they might feel comfortable with, Borg and Flask said that decision lay way into the future. They must first develop their electoral manifesto and see what the big parties would come up with in theirs.
 For now, they are sticking to empowering residents to take up fights for the common good. They say they have already scored a few significant victories in Żurrieq, Qrendi and Safi, where development applications were frozen or refused after residents set up associations, organised press conferences and took to the streets in protest.
 “When residents work together they grow closer together and feel part of the fight,” Borg said.
 Flask added: “We’d also like to see this process work in other localities without the need for our intervention. One group which already works really well autonomously is the Marsascala Residents Network. These examples give us great courage.”
 The left too fragmented?
 Voters significantly switched to small parties and independent candidates in the MEP election, but there were not nearly enough of them to hit a quota. Furthermore, their topmost preferences were spread across too many different candidates. Consequently, no candidate garnered enough switchers’ votes to make it through the electoral system and get elected.
 Do Borg and Flask feel like their new party will eventually add even more to the fragmentation which ultimately made it harder for everyone to get elected?
 They do not think so and insist that the values of several independent candidates clash with theirs. One of those is Conrad Borg Manché, with whom Flask said he does not agree in principle.
 Flask is a long-time critic of the big political parties, but he managed to identify some good things that Robert Abela and Bernard Grech did during their tenure.
 Rent reform was one of Abela’s best decisions, he said, and Grech impressed him the most with the latest electoral result, not so much the MEP election result as the local councils one.
 “The PN regained the majority in Gozo despite the fact that the PL made Clint Camilleri the government’s planning minister,” he said.
 “However, both parties now need to decide whether they will govern for the people or for the developers, because so far, neither party has concretely and consistently come out against excessive development.”
 Meanwhile, asked what pushed him away from the PL, Engerer said “the party stopped being the catalyst of change” and instead of embracing diversity and encouraged critical thinking, it took on a narrative and made policies aimed at the party hardcore.
 “Fortress mentalities in parties lead to the ‘everyone is against us’ idea which is dangerous and which builds walls rather than bridges,” he said.
 “It also gives the impression that some are superior to others, leading to arrogance and the ridicule of the rest.”
",Mark Laurence Zammit,"National,Interview,Politics"
Bernard Grech challenges Labour to back Metsola for EP President,timesofmalta,https://timesofmalta.com/article/bernard-grech-challenges-labour-back-metsola-ep-president.1094184,20-06-2024,"000017.png,000018.png","Bernard Grech has challenged Labour to back Roberta Metsola’s candidacy for European Parliament president.
 “I hope that Robert Abela will, for once, set aside partisan interests and back a person who has brought recognition and respect to Malta’s name internationally,” Grech said as he entered parliament on Wednesday.
 “Abela ran a campaign of fear in which he continuously attacked Metsola as a warmonger. Now I hope he will change that narrative and give her the backing she needs.”
  Metsola is the frontrunner to be named EP President after she secured the unanimous backing of MEPs within her political grouping, the European People’s Party, to be its candidate for the post.
 The EPP is the largest grouping within the European Parliament. But it does not have an absolute majority of seats, and Metsola’s nomination must be approved by a majority of MEPs for her to be reelected to the presidency.
 If successful, she will be the second MEP and first woman to serve as EP president for two terms, after Germany’s Martin Schulz.
 Metsola is only the third woman to hold the post of European Parliament president and was the youngest-ever person to serve in that role when she was first appointed in January 2022.
 Labour MEPs form part of the EPP’s rival group, the Progressive Alliance of Socialists and Democrats (S&D).
 The S&D has not yet said whether it intends to back Metsola’s bid or push for another candidate to assume the parliament presidency.
 Abela has yet to comment on Metsola’s candidacy or say whether he will instruct Labour’s three MEPs, who form part of the S&D grouping, to vote in her favour.
 When Metsola was first elected in 2022, the S&D had backed her. Metsola was elected with an overwhelming majority of 458 out of 690 votes on that occasion.
 The European Parliament president is elected for two-and-a-half years and represents the parliament in its relations with other EU institutions and the outside world.
 The president also signs the EU’s budget and any laws passed by MEPs.
 Speaking later in the day during an interview on NET, Grech reiterated his challenge to Abela.
 “I hope Robert Abela and the Labour Party place the national interest before partisan interests and back Metsola’s candidacy,” he said. 
 Grech used that interview to express concern about news that the EU Commission will seek to open excessive deficit procedures against Malta for its budget overruns. 
  The Labour government was financing corruption and paying millions to its insiders while allowing public finances to fall into debt, he said. 
 A Nationalist government would cut excessive spending, he said, adding that he hoped the government would not try and fix this issue by resorting to austerity and reducing aid given to vitizens. 
 “This problem was caused by Robert Abela and (finance minister) Clyde Caruana, not by the Maltese people. They are paying the price for the government’s poor policies,” Grech said.
",Times of Malta,"National,PN,Roberta Metsola,Bernard Grech,Robert Abela,European Parliament"
"Public Service Expo costs exceeded €1.5 million, MP claims",timesofmalta,https://timesofmalta.com/article/public-service-expo-costs-exceeded-15-million-mp-claims.1101553,25-11-2024,000028.png,"The Public Service Expo held earlier this year cost over €1.5 million, well above the €680,840.38 initially reported by the Prime Minister in reply to a parliamentary question, Nationalist MP Claudette Buttiġieġ said on Monday.
 Speaking in Parliament,  Buttiġieġ detailed how it took 31 parliamentary questions to reveal the total expenditure of €1,531,051.78.
 She criticised the prime minister for providing incomplete information, saying details about direct orders and tenders remained undisclosed. 
 The expo, held from May 15 to 17 at Ta’ Qali, showcased work by various entities within the public service. 
 In June, Buttiġieġ had asked the prime minister in parliament how much the event cost. The reply cited only €680,840.38.  
 Buttiġieġ pointed out that her question was not how much the Office of the Prime Minister spent at the expo but rather how much the expo cost.
 According to  Buttiġieġ, 18 ministries contributed to the funding. The Economy Ministry spent the most, with €70,926.00, followed by the Environment Ministry at €62,490.00. The Lands Ministry recorded the lowest expenditure at €30,925.00.
 The substantial discrepancy in reported figures raises concerns about transparency in government spending and the accessibility of financial data related to public events, the Nationalist MP said. 

                ",Emma Borg,"National,Government,PN,PL"
"Malta High Commission in London owes £722,000 in congestion charges",timesofmalta,https://timesofmalta.com/article/malta-high-commission-london-owes-722000-congestion-charges.1092996,25-05-2024,000029.png,"London is claiming the Maltese High Commission owes it £722,915 (€848,000) in unpaid congestion charges accumulated over the last two decades.
 This was published in a list of unpaid fees and fines amassed by some 160 diplomatic missions based in the UK capital over the last 20 years – totalling £143.5m (€168.3m).
 The figures were published by Transport for London, the UK government body responsible for transport.
 When asked about this, a spokesperson for Malta’s foreign affairs ministry said: “As the document published by Transport for London indicates, this long-standing matter relates to many diplomatic missions based in London. In this regard, Malta is addressing this request in the same way as other missions and in line with applicable international conventions.”
 The issue has been going on since 2020, when the UK foreign secretary issued a written ministerial statement revealing his officials have written to “a number of diplomatic missions and international organisations” to “press for payment” of money owed relating to the congestion charge.
 The congestion charge scheme involves a £15 (€17.60) daily fee for driving within an area of central London between 7am and 6pm on weekdays and between noon and 6pm on weekends and bank holidays.
  Various diplomatic missions, including Malta’s, are arguing they are exempt from paying the charges in accordance with international law. They are quoting the 1961 Vienna Convention on Diplomatic Relations and stressing that the congestion charge is a tax from which diplomatic missions are exempt.
 But Transport for London is insisting it is not a tax and should be paid.
 In the document listing the overdue fines, Transport for London wrote: “We and the UK government are clear that the congestion charge is a charge for a service and not a tax. This means that diplomats are not exempt from paying it. The majority of embassies in London do pay the charge but there remains a stubborn minority who refuse to do so, despite our representations through diplomatic channels. We will continue to pursue all unpaid congestion charge fees and related penalty charge notices and are pushing for the matter to be taken up at the International Court of Justice.”
 In the document, it goes on to list the total unpaid fees accrued by diplomats between the launch of the congestion charge in London in 2003 and the end of last year.
 The American Embassy tops the list with charges amounting to £14.5m (€17m) and is followed by the Embassy of Japan with £10.1m (€11.8m) and the High Commission for India at £8.5m (€9.9m).
 The lowest bills were accrued by the Embassy of Finland and the High Commission for the Commonwealth of Dominica, with £120 (€140) each, and the Embassy of the Republic of Togo, with a £40 (€47) bill.
",Claudia Calleja,"National,Diplomacy,UK"
PN calls fresh protest on Monday over the Bartolo-Camilleri scandal,timesofmalta,https://timesofmalta.com/article/pn-calls-fresh-protest-monday-bartolocamilleri-scandal.1101603,26-11-2024,000033.png,"The Nationalist Party is to hold another protest outside parliament next Monday over the Clint Camilleri-Clayton Bartolo scandal, Bernard Grech said on Tuesday as he lashed out at the prime minister for not demanding Camilleri's resignation.
 The PN held a protest over the issue last week and Bartolo was forced to resign from the Cabinet and the Labour parliamentary group on Tuesday, although the prime minister said that was over a different matter.
 Camilleri and Bartolo have been under pressure since a Standards Commissioner report found they abused their position by granting consultancy jobs to the former's partner.
 When people take to the streets in protest they become unbeatable, Grech said in parliament as it discussed the budget estimates of the Ministry of Justice.
 He said that while Bartolo buckled under pressure and resigned, Clint Camilleri had yet to acknowledge that his position, too, had become untenable.
 ""The prime minister is weak. He knows he has huge internal problems and he is trying to hide them.  We are here to remind him that when you put the lid on the pot, the water boils quicker,"" he said.
 ""This prime minister is betraying the people because he keeps defending fraud.""
 Earlier on Tuesday, Abela announced that Bartolo was stepping down as tourism minister and as Labour MP. The prime minister said he had taken decisions after he learnt of  new claims involving Bartolo's wife.  
 Grech observed that since the scandal was revealed three weeks ago, the government attempted to make a joke of the people's protests and Bartolo was only willing to apologise, thinking it was enough.
 ""He has no shame, and the prime minister defended him, saying that the apology was enough,"" Grech said.  
 ""Today the people won against those who thought the people's money is theirs.""
 Grech went on to list some of the most recent allegations of ""fraud"" within the government, including the scam which saw benefits handed to people who falsely claimed severe disability, the racket in the granting of driving licences,  Rosianne Cutajar's ITS consultancy contract and the hospitals deal.
 Justice, Grech said, wasn't simply the courts or the judiciary, but a need for the people to live in a country that treated everyone fairly.
 ""On the contrary, the people feel the government has stolen their money and pigged out on it,"" he said. 

                ",Emma Borg,"National,Parliament,PN,Bernard Grech"
Charles Buhagiar to chair Building and Construction Consultative Council,timesofmalta,https://timesofmalta.com/article/charles-buhagiar-chair-building-construction-consultative-council.1092137,05-08-2024,000051.png,"Architect and former Labour MP Charles Buhagiar will chair a council that will advise the government on construction-related issues.  
 Buhagiar will lead the 13-person Building and Construction Consultative Council, which will include representatives from various sectoral stakeholders, including lobby groups, academics and unions.
 The BCCC supersedes the Building Industry Consultative Council, which was also chaired by Buhagiar. It was established in 2023 through the Building and Construction Authority Act.
 By law, the council is tasked with advising the minister responsible for construction on any policies, laws or developments related to the sector.
 Its members were made public on Wednesday by Justice and Construction Reform Minister Jonathan Attard in reply to a parliamentary question by PN MP Stanley Zammit.
 The council will be made up of the following members, who each represent a sectoral stakeholder.
 Chairperson: Charles Buhagiar
 Deputy chair: Winston Pirotta
 Andre Pizzuto (Kamra tal-Periti)
 Jonathan Cauchi (Chamber of Engineers)
 Philip Fenech (Malta Chamber of SMEs)
 Jesmond Chetcuti (Malta Chamber of Construction Management)
 Mark Bajada (Malta Chamber of Commerce, Enterprise and Industry)
 Alex Torpiano (Faculty of the Built Environment, University of Malta)
 Stephen Sammut (MCAST)
 Michael Stivala (Malta Development Association)
 Jesmond Marshall (General Workers Union)
 Kenneth Abela (Union Ħaddiema Magħqudin)
 Chris Attard (Forum of Maltese Unions)
",Times of Malta,"National,Parliament,Construction"
'No choice but to love him': Parliament pays tribute to late Karl Gouder,timesofmalta,https://timesofmalta.com/article/parliament-pays-tribute-late-former-mp-karl-gouder.1099183,10-08-2024,000056.png,"Robert Abela and Bernard Grech delivered heartfelt tributes to former MP Karl Gouder on Tuesday, urging fellow MPs to emulate the late politician's unwavering kindness, honesty, and patriotism.
 The government and opposition leaders were speaking during a special, 30-minute parliamentary session honouring the 45-year-old who shocked the country when he died suddenly last month.
 Gouder, a former PN mayor and MP, was touted as the party's next general secretary. 
 Gouder's family was present in parliament's strangers' gallery on Tuesday, and parliament published and distributed his first parliamentary speech, as is tradition.
 Speaker Anġlu Farrugia said the speech, which dates back to May 2010, shows Gouder was always ready to learn and seek the truth in all that he said.
 Abela said he first got to know Gouder as a fellow schoolboy. Both went to St Aloysius College but Gouder was a year younger.
 Abela said that even as a young man, Gouder had ""a sense of joy"" and as a member of parliament would debate arguments but never resorted to personal attacks.
 ""It's hard for me to speak about someone with whom I was in school. Karl never changed, and I confirmed that when we met in parliament years later,"" he said.
 ""Karl left us, but he also left many living memories. He has bestowed on us a sense of duty and responsibility, to behave like he did in this house - to seek reconciliation.""
 Abela said Gouder's funeral evoked a sense of unity that he only felt in one other funeral - that of young athlete Jake Vella, who also died last month after battling a long, gruelling illness.
 ""There was the feeling of a country that united behind one person,"" he said.
 ""Karl was a fellow student, a personal friend, and a man who gave his all for his country.""
 Gouder's party leader, Bernard Grech, said his death hit him almost as hard as that of both his parents, who also died in his four years as Opposition leader.
 He praised Gouder for his work on the PN's 2024 MEP election campaign, saying he was the ""backbone"" of that effort. 
 Gouder was there for all those who needed him, the PN leader said, noting how, in the days after his death, many people had shared screenshots of his words of encouragement and support to them.  
 ""Karl had a sense of unity - he sought to bring people together, not divide them and he knew how to do it gently without compromising his values,"" Grech recalled. 
 He had taken the Jesuit teaching of being a man for others to heart and lived that way. 
 ""He would find time for everyone and listen to everyone,"" Grech said. ""Karl took care of everyone. Let's be more sensitive and take care of each other like he used to.""
 Speaker Anġlu Farrugia also spoke in Gouder's memory, describing him as an upstanding gentleman.
 ""You had no choice but to love Karl,"" Farrugia said. 
 He also shared an anecdote.
 ""In 2023, I was going through a tough time, health-wise. He would text me every week, to ask how I was and whether I needed anything. And he would text me every year on my birthday,"" Farrugia recalled.
",Times of Malta,"National,Parliament,Politics,Social and personal"
Watch:Abela says ‘let the institutions work’ when asked about the Vitals inquiry,timesofmalta,https://timesofmalta.com/article/abela-says-let-institutions-work-asked-vitals-inquiry.1093093,27-05-2024,000063.png,"Prime Minister Robert Abela returned to the “let the institutions work” mantra on Monday when asked whether he was concerned by the details that emerged from the magisterial inquiry into the hospitals concession.
 He echoed a call by President Myriam Spiteri Debono on Saturday to allow the courts to decide the case with serenity.
  “Now is the time to let the judges evaluate the evidence. These halls behind me rely on evidence and this is what they will be examining…the magisterial inquiry is not evidence but just a collection of facts…now the court will have to decide whether there is enough to convict anyone of a crime. This is the exercise that will start from tomorrow,” Abela said while speaking to journalists outside the law courts.
 In a clear reference to Steward Healthcare, Abela said he had taken political decisions back in 2020 without commenting on the guilt or otherwise of persons, which was a responsibility entrusted to the courts. “It is not up to me to declare whether anyone is innocent or guilty,” he said.
  Last Saturday, President Spiteri Debono called for “normality” to prevail in the coming days and insisted that nobody should provoke or fall for provocation, amid heightened political tensions ahead of the arraignment of former Prime Minister Joseph Muscat on Tuesday. 
 Although she did not mention it directly, the president was ostensibly referring to a show of support planned outside the courts during the arraignment.
 Prime Minister Robert Abela has warned PL supporters not to fall for a ""trap"" or be provoked though he did not specify what he was referring to. A Strong police presence is expected for tomorrow's protest.
 “Every citizen is free to act within the parameters of the rights given to him by the constitution. However, common sense and prudence dictate that in order not to fall for provocation, you should not seek provocation or, worse still, make or render yourself its agent,” Spiteri Debono said in her statement.
",Times of Malta,"National,Politics,Robert Abela,Court"
"Recognise Palestine now, envoy tells Malta, as US rejects claims of meddling",timesofmalta,https://timesofmalta.com/article/recognise-palestine-now-envoy-says-us-rejects-claims-meddling.1093700,06-11-2024,"000064.png,000065.png","Palestine’s Ambassador to Malta believes this is “the best time” for Malta to formally recognise a Palestinian state, while the United States has dismissed claims it was putting pressure on the island on the issue.
 “We truly believe it is the best time and the perfect circumstances to make a positive impact on Israel to withdraw from the occupied Palestinian lands to establish a Palestinian state with East Jerusalem as its capital,” Ambassador Fadi Hanania told Times of Malta.
 He was reacting to a Times of Malta story last week reporting that Malta stopped short of officially recognising Palestinian statehood after coming under intense pressure from the US and Israel.
 But the US has insisted it is not interfering in the process.
 The controversy stems from a declaration by Spanish Prime Minister Pedro Sanchez last March that Malta would be joining Spain in working towards Palestinian state recognition.
 Spain, Ireland and Norway announced last month that they were formally recognising Palestine, but Malta remained conspicuously silent.
 Senior diplomatic sources said top US and Israeli officials leaned heavily on Malta to distance itself from that group of countries, but the Maltese government strongly denied the claim.
 Ambassador Hanania would not comment on the allegations but stressed that Malta and Palestine already have “a long history of mutual cooperation and collaboration”.
 “Malta’s commitment is further highlighted by the presence of the Palestinian embassy in Malta. Under the Vienna Convention on Diplomatic Relations, only sovereign states can establish embassies,” Hanania said.
 “Palestinian ambassadors are accredited to the president of the republic who recognises them as ambassadors of the state of Palestine, and all official correspondents with the official Maltese entities are addressed to the ambassador of the state of Palestine since 1988.”
  In 1988, Malta had sent the United Nations a letter in which it said it welcomed a Palestinian declaration of independence and said that declaration was “a true and genuine expression of the right of the Palestinian people to a state of their own”.
 Since then, Malta and Palestine have exchanged ambassadors and Palestine includes Malta in a list of countries it says formally recognise it.
 In 2012 Malta  voted in favour of a UN resolution which recognised Palestine as a non-member observer and last April at the UN Security Council it voted in favour of full UN membership for Palestine.
 Malta has also emphasised the need for a permanent ceasefire in Gaza and Ambassador Hanania thanked the government for welcoming wounded children from Gaza for medical treatment in Malta.
 He also called on the government to take the step to formally recognise the Palestinian state, saying he has no doubts about Robert Abela’s commitment to justice and to the announcement of last March.
 Malta played a major moderating role between Europe, the Arab world and Africa, he said, and showed it can keep security and stability, and through “wise leadership has managed to keep its own sovereign decision without being pressured by any other state but aligning with their neutrality approach advocating for justice, the rule of law and humanity”.
 But in a reply to questions, the US Embassy in Malta denied pressuring Malta.
 The US and Malta engage in discussions to advance peace in the Mediterranean region and the US respects “Malta’s sovereignty, constitutional neutrality, and its commitment to peace”, it said.
 “Malta’s position on the Norway-led declaration and recognition of a Palestinian state is a decision for Malta alone to make,” a US Embassy spokesperson said.
 “No other country, including the US, can or should dictate Malta’s position on the matter.”
  The US said it also wants a secure, free, democratic and stable Palestinian society and governance, and it supports the two-state solution, but the Palestinian state should be realised through direct negotiations between parties, not through unilateral recognition.
 The spokesperson added: “However, we are now focused on the most urgent issues at hand given the dire humanitarian situation on the ground – negotiating an enduring ceasefire and durable end to the war that ensures that all hostages return to their homes and families, alleviates the humanitarian crisis, ensures Israel’s security, creates a better “day after” in Gaza without Hamas in power, and sets the stage for a political settlement that provides a better future for Israelis and Palestinians alike.”
 Last week diplomats told Times of Malta the situation surrounding Palestinian recognition has put Malta’s relationship with the US into sharp relief, and they trace that shift in dynamics to Malta’s relegation to the FATF grey list of countries requiring enhanced monitoring of anti-money laundering measures.
 While the FATF is an independent multilateral entity, government sources privately acknowledge that the US – along with the UK and Germany – played a key role in that decision.
 Malta was taken off the grey list in mid-2022, and that decision was also made with Washington’s blessing.
 But the US Embassy said, “the Palestinian issue and FATF are two completely unrelated matters and should not be conflated”.
 “Malta’s high-level political commitment to working with FATF to accomplish the goals of its action plan led to the country being removed from the grey list in record time,” the US embassy spokesperson said.
 “We continue to work with our Maltese partners to strengthen its anti-money laundering and counterterrorist financing regimes to sustain its progress.”
",Mark Laurence Zammit,"National,Diplomacy,Palestine"
"'This is not the Eurovision', Metsola tells MEPs singing 'Bella Ciao' to Orban",timesofmalta,https://timesofmalta.com/article/this-eurovision-metsola-tells-meps-singing-bella-ciao-orban.1099214,10-09-2024,000073.png,"European Parliament President Roberta Metsola struggled to keep a group of left-leaning MEPs in check on Wednesday morning as they protested Viktor Orban’s presence with a rendition of the anti-fascist anthem Bella Ciao.
 “This is not the Eurovision,” Metsola told the plenary as singing rang out following Orban’s speech.
 The Hungarian prime minister was in Strasbourg to present the country’s priorities halfway through its EU Council presidency.
 As President Vladimir Putin's closest ally within the European Union, Orban's government is at loggerheads with its partners on a host of issues -- from stalling aid for Kyiv, to what the bloc sees as weakening the rule of law at home.
  Orban depicted a continent in crisis, with the Ukraine war on its doorstep and an acute ""migration crisis"" - declaring that ""the European Union needs to change.""
 Lawmakers listened respectfully - with occasional applause from sympathetic members – but the floodgates of criticism were burst open by the Bella Ciao rendition that tail-ended his appearance.
 Orban critics then took the floor and one by one let fly at the Hungarian leader with a message summed up by Green co-leader Terry Reintke who told him: ""You are not welcome here"".
 Commission chief Ursula von der Leyen, speaking right after Orban, pushed back hard - taking aim at Budapest's hampering of EU support for Kyiv and refusal to join Western efforts to arm Ukraine to fight off Moscow.
 ""There is only one path to achieve a just peace for Ukraine and for Europe, we must continue to empower Ukraine's resistance with political, financial and military support,"" von der Leyen said.
 When Hungary assumed the EU's rotating six-month presidency in July, Orban went off script: embarking on an uncoordinated Ukraine ""peace mission"" to Kyiv, Moscow and Beijing that sparked fury in Brussels.
 In her forceful address von der Leyen targeted Orban's eagerness to push for an early peace deal with Putin over the Ukraine invasion - assailing those ""who blame this war not on the invader but the invaded, not on Putin's lust for power, but on Ukraine's thirst for freedom.""
 Speaking next, the leader of the conservative European People's Party Manfred Weber likewise slammed his rogue diplomacy under the EU banner as ""a big propaganda show for the autocrats.""
 Orban's uncoordinated trips prompted von der Leyen to order top officials to skip a series of meetings organised by Hungary's presidency - a de facto boycott - and his parliament address was twice delayed.
 The commission chief skewered Orban's tough talk on migration - accusing his government of ""throwing problems over your neighbour's fence"" with the early release of convicted people-traffickers.
 And she took aim at a Hungarian visa scheme for Russian nationals - calling it ""a back door for foreign interference."" 
 One speaker, Dutch MEP Gerben-Jan Gerbrandy of the centrist Renew party, depicted Orban as a character in a ""bad movie"" - a ""Mini-Me"" to Putin, or former US president Donald Trump - ""who looks, talks and acts exactly like Dr Evil, but just sits on his lap.""
 Hungarian opposition-leader-turned-MEP Peter Magyar lamented that Hungary under Orban's rule ""has gone from a bright star to what is officially the poorest and most corrupt country in the European Union.""
 Given a right of reply, Orban accused the EU chief of using the commission's power as a ""political weapon"" to attack Budapest, and complained that a Hungarian-led new group in the EU parliament, the Patriots for Europe, was being unfairly denied positions of authority. 
 ""We are never going to accept that European unity means that you tell us what to do and that we should keep quiet,"" he said.
 Patriots member Jorge Buxade Villalba was one of several lawmakers who rallied to Orban's defence, calling his speech ""a breath of fresh air in this parliament.""
 ""Women are safer in Budapest streets than in Brussels,"" he said. ""And if you were not so sectarian, we would see Hungary's government has a way of making a better life.""
 Ahead of Orban's speech, various political groups staged photo-op protests outside the hemicycle, with one banner reading ""No cash for corrupt"" - in a reference to the billions of euros on EU funds for Hungary currently frozen over rule-of-law concerns.
 Since returning to lead his country in 2010, Orban has moved to curb civil rights and tighten his grip on power, repeatedly clashing with Brussels over rule-of-law issues.
 But Orban has pointed at hard-right electoral gains from Italy to the Netherlands and Austria - and the rising influence of his Patriots for Europe - as evidence the political climate in Europe is slowly but surely shifting in his favour.
",Times of Malta,"National,World,European Parliament,Hungary,Rule of Law"
