title,newspaper,url,date,imgs,body,author,tags
In pictures: Early beach fashions in Malta ,timesofmalta,https://timesofmalta.com/article/in-pictures-early-beach-fashions-malta.1096515,15-08-2024,"002052.png,002053.png,002054.png,002055.png,002056.png,002057.png,002058.png,002059.png,002060.png,002061.png,002062.png,002063.png,002064.png","I have been postponing, over and over again, my response to the request by a reader for pictorial spreads about beach fashions in early Malta because I believed it a difficult commitment to satisfy. 
 Differently from today, not a single one of the hundreds of pre-war postcards shows swimmers on beaches. Paying humble homage to Victorian prudery, card publishers banned that subject as entirely taboo, and public photographers too.
  Adults, especially women, in bathing costumes, may appear, but very exceptionally, in private family albums.
 One 1930s photograph, showing women in the most chaste of swimming gear, has a note handwritten on its back: “I don’t think this should be in the album.”
  Curiously, the only postcard I know of which shows a bathing scene was most likely meant as a morality warning. Published round 1905, it shows policemen arresting a boy swimming in the nude. Apart from that, absolutely nothing.
  Women in swimwear start appearing, timidly at first, aggressively later, with the explosion of the tourist boom that followed Independence. You can date post-war Maltese postcards rather accurately, by measuring how skimpy the bikinis are.
  In an island surrounded by vast expanses of sea and espoused to tropical heatwaves, one would assume sea bathing to have been ingrained in popular culture. 
  If it was, it left very faint records in history. Apart from Toni Bajjada, whose marathon swims during the 1565 Great Siege became the stuff of legend, almost no mention of sea leisure, games or sports appears anywhere in our annals before the 20th century. 
  Malta had to wait till 1928 to send its first water polo team to the Amsterdam Olympic Games which, coincidentally, featured my mother’s brother, Edoardo Magri, later judge.
 All images from the author's collections
 ",Giovanni Bonello,"National,Community,History,Old Malta,Photography,Fashion"
"Mosta band club property purchased by government in €360,000 deal",timesofmalta,https://timesofmalta.com/article/mosta-band-club-property-purchased-government-360000-deal.1091651,21-06-2024,"002101.png,002102.png,002103.png","A band club in Mosta has had its premises bought up by the government, the ninth such purchase in the past year.
 Soċjetà Filarmonika Santa Marija will now rent the property from the government without fear of eviction – something it and many other band clubs faced following court rulings about outdated pre-1995 rent laws.
 The government announced the €360,000 purchase in a statement on Saturday.
  Culture Minister Owen Bonnici said band clubs were hugely reliant on their premises, which served as community gathering spots and played essential roles in the organisation of village feasts.
 It is band club members who often drive community initiatives, Bonnici said.
 “It is crucial that we take proactive measures to protect band clubs,” the minister said.
 
 In total, the government is expected to spend €19 million to buy back all the band club properties that are privately owned.
 Other band clubs that have had their property purchased by the government are:
 In a separate statement, the Lands Ministry said that it has secured an arrangement for a Sliema-based band club to keep its leased premises for an additional 50 years.
  The Soċjetà Filarmonika Sliema signed a deal extending its ground rent arrangement at an event presided over by Lands Minister Stefan Zrinzo Azzopardi. 
 Band club president  Jesmond Vella said the deal provided valuable peace of mind.
",Times of Malta,"Community,National,Tradition,Properties"
A year of hope - 10th edition of Caritas Christmas Day lunch launched,timesofmalta,https://timesofmalta.com/article/a-year-hope-10th-edition-caritas-christmas-day-lunch-launched.1102206,12-09-2024,"002129.png,002130.png,002131.png","Sylvia Pace has seen an increase in lonely people attending the annual Christmas Day lunch organised by Caritas for those in need - where she has been volunteering for nine years. 
 “Nine years ago, when I first volunteered, most people who attended could not afford food. But things have changed. Now there are more and more people who come because they are lonely,” said Sylvia who will be helping out again during the 10th edition of the meal which will be held at the Archbishop's Curia.
 “The first time I volunteered I wanted to see what it was all about and help. But now it would not be Christmas without it.  The atmosphere is lovely. It’s genuine Christmas joy,” she said.
  Francesca Abela has been helping ever since the first edition. “Helping and giving, especially at this time of year, is so rewarding,” she said as she encouraged people who will be alone on Christmas day to reach out and attend.
 Last year about 500 people turned up for the lunch – during which the large corridors of the Curia were transformed into a massive dining hall.
  Josef Pace, the psycho-social services coordinator at Caritas, said this year there would also be a Caritas representative on each table to take the contact details of anyone vulnerable who wants to be followed up during the year.
 “This is the year of hope,” he said.
 Caritas director Anthony Gatt said there were many people who were suffering from loneliness. A 2022 survey carried out by the Faculty of Social Wellbeing showed that loneliness remained a major social issue in the community,  with 55 per cent of Maltese saying they feel alone.
 “One woman who attended the lunch last year told me: ‘Eating a piece of bread with you is better than eating a turkey alone’. A former inmate who volunteered to help also told me he was touched to be told ‘thank you’ when he was serving food to people,” he said.
 He added that, when it came to volunteers, the lunch was oversubscribed. “Some of our volunteers came as guests in previous years and then returned as volunteers,” he said.
 The food will again be provided by The Alfred Mizzi Foundation and cooked and served by an army of volunteers, including chefs from the President's palace. Also involved will be the St Peter’s Foundation.
 Episcopal Vicar Martin Micallef said the Christmas Day lunch was “a tangible expression of love”. “It is a message that the Church welcomes everyone and has place for everyone.”
 Those wishing to attend may phone on 7955 5915.

                ",Claudia Calleja,"National,Church,Poverty"
"'Stop commercialising Freshers' Week', organisations urge KSU",timesofmalta,https://timesofmalta.com/article/stop-commercialising-freshers-week-organisations-urge-ksu.1098784,30-09-2024,002153.png,"For the third consecutive year, the organisers of Freshers' Week have come under fire for 'commercialising' campus activities that are meant to help new students familiarise themselves with the University of Malta.
 Moviment Graffitti, Pulse and S-Cubed slammed  Kunsill Studenti Universitarji (KSU) on Monday for choosing to ""serve the interests of private companies whose only purpose is profit"" instead of celebrating the work of students.
 In a statement, the three said the KSU Freshers’ Week should be a week during which new university students have the opportunity to meet other students,  speak to different organisations, meet fellow student activists and familiarise themselves with the university. 
 ""Instead, this week is going to be taken over completely by the many companies that sponsor KSU and which will occupy the central spaces at the university.""
 The central quadrangle in front of the Students’ House, Parking Number Four and the space leading to the Gateway Building are going to be dominated by private companies and commercial enterprises that have nothing to do with university students’ educational experience, they added.
 This year, organisations have once again been relegated to a restricted space in front of the main university library where there will be a lot of crowds and it will be hot. The three added that, as in previous years, the loud music will be a nuisance to students working in the library or attending lectures in the vicinity of these spaces.
 Studenti Graffitti has been calling for a change in the way Freshers’ Week is organised since 2022.
 ""We would like student organisations and academics to be at the core of this week’s activities, where they will occupy the majority of spaces with activities for students and academics within the University of Malta.
 ""Despite these calls, KSU did nothing. Therefore, we are joining two other organisations, Pulse and S-Cubed, to get our message across: We believe that activities organised by students should be at the centre of this special week.""
 They added that KSU should be financially assisted by the University of Malta itself.
",Times of Malta,"National,University,Education,Civil society"
More streets named for priests than for women,timesofmalta,https://timesofmalta.com/article/more-streets-named-priests-women.1092700,20-05-2024,"002307.png,002308.png,002309.png,002310.png,002311.png","There are more streets named after priests, friars, bishops, popes and other clergymen than there are named after women, a new study has found.
 The stark gender imbalance stretches all the way to the heavens, because male saints also largely outnumber female saints on the plaques of Malta’s 7,500 streets.
 There is some solace for women, however, as the saint with the most streets named after them is a woman – the Virgin Mary.
 This is part of what has been keeping Dr Yanika Borg very busy over the past few months.
  Through geospatial analysis, web scraping and data analysis, the 34-year-old Maltese data analytics expert based in the UK found there are over 7,500 streets in Malta with more than 6,500 different street names, and that over 3,000 of them are named after someone.
 She then pieced the data together from information gathered from the University of Malta library, Times of Malta and from the internet to uncover the patterns behind those plaque names.
 In the study, titled What’s in a name? A brief look at gender diversity in the street names of Malta, Borg highlights a stark gender imbalance.
 Of all the streets named after people, only 12 per cent are named after women.
 “More are named for male clergy (popes, archpriests, bishops but mostly priests ‒ ‘Dun’) than for women,” she said.
 There are a few women who have been notably celebrated in street names, such as in Vittoriosa, where there is a famous street named after soprano Hilda Tabone, who sang opera in Malta and in Paris in the 1960s, and a street in Sliema named after Russian princess and ballerina Nathalie Poutiatin Tabone, who found shelter in Malta after fleeing the uprising of the Bolsheviks in the late 1910s.
 But far more men are acknowledged and commemorated in street names.
  Moreover, more than a quarter (28%) of Maltese streets named after people are named after saints, Borg found. And again, male saints “still take the centre stage here”.
 It is a female saint, however, that appears on most plaques. Through her various religious titles – such as Santa Marija, l-Assunta, il-Bambina and il- Vitorja – the Madonna has the most streets named after her.
 “St Catherine follows at a very distant second (she is the second most popular lady saint, 12th most popular overall),” Borg said in her study.
 “St Paul is the most popular male saint, but even he doesn’t hold a candle to the Madonna’s mighty presence.”
 After the Virgin Mary, St Paul has the second highest number of streets named after him, followed by St Joseph and St John.
 “Jesus places in a distant 10th position,” Borg found.
  The study also found only seven per cent of streets are named after politicians.
 “Here, once again, it’s a whirlwind of men, with the few Maltese women involved in politics who are commemorated via street names being Agatha Barbara (first woman president), Evelyn Bonaci (a member of parliament in the 1960s and 1970s), Maggie Moran (president of the women’s group in the Labour Party) and Mabel Strickland (a member of parliament in the 1950s and 1960s and a founder of The Times of Malta).”
 Other women do feature in a handful of streets, the study found, but only by virtue of being related to a male politician. Among them, Dom Mintoff’s mother and wife – Ċetta Mintoff and Moyra Mintoff.
 “I find it uncomfortable that these women are being defined by their relation to a man, but in my research I wasn’t able to find anything else about them,” Borg noted.
  The study also found there are more streets named after painters, sculptors, actors, playwrights, poets, musicians, band conductors and statue-makers than there are streets named after politicians.
 Again, women barely feature here.
 “They make up less than 10 per cent of streets named after cultural figures.”
 Borg has a PhD in synthetic biology from University College London and was part of a team of women who sailed across the Atlantic Ocean in 2019 with the international, not-for-profit organisation eXXpedition to gather data on microplastics in the ocean.
 The details about the study on street names, as well as the raw data, can be found on her newly-launched website thedataknitters.com where she colourfully – and often comically – illustrates her findings cleverly, concisely and simply through pictures, maps, tables and graphs.
",Mark Laurence Zammit,"National,Heritage,History,Gender"
"Today's front pages – August 23, 2024",timesofmalta,https://timesofmalta.com/article/today-front-pages-august-23-2024.1097101,23-08-2024,002370.png,"The following are the top stories in Malta's newspapers on Friday.
 Times of Malta leads with news on how rising temperatures would have deadlier consequences in Malta than in any other European country, according to a landmark study.
 Separately the newspaper reports that RTK103 will appeal a second broadcasting authority's decision to fine the radio station for not giving a platform to far-right party Imperium Europa on a programme hosted by Andrew Azzopardi.
 The Malta Independent reports that former Malta Enterprise CEO Mario Galea dismissed a controversial memorandum of understanding signed between the government and a group of investors who would go on to form the company Vitals Global Healthcare as “a piece of paper with no legal value"".
 The newspaper also publishes a call by PN leader Bernard Grech for the resignation of home affairs minister Byron Camilleri in a bid to begin rebuilding anew the faith in Malta’s identification system.
 In-Nazzjon reports on the PN's appeal to people with any information on identity fraud to reach out to the party amid claims of a racket within Identità.
 It also reports on power cuts in Marsaxlokk that are negatively impacting restauranteurs among others.
 L-orizzont reports on the funeral of Lorenzo Vella, head of the European Commission Representation in Malta who died aged 43 following a short illness.
 The newspaper meanwhile refers to comments by prime minister Robert Abela who told an interview that 10 measures implemented in the past weeks show the government's commitment to invest in people.
",Times of Malta,"National,Media,Weather,Racism,Human rights"
Pope Francis responds to concerns raised by Maltese parents on trans doctrine,timesofmalta,https://timesofmalta.com/article/pope-francis-responds-concerns-raised-maltese-parents-trans-doctrine.1091849,21-06-2024,"002426.png,002427.png","Pope Francis has responded to concerns raised by a Maltese LGBTIQ parents' group over fears that a new Vatican document could be interpreted as condemnation of transgender people. 
 In early April, the Vatican released a document titled Dignita Infinita, which outlines contemporary threats to human dignity, including war, digital violence, gender theory and sex changes, amongst other topics. 
 Drachma - a Maltese group for parents of LGBTIQ people, felt the need to write to the Pope about this document as they feared it could further sour the relationship of queer Catholics to the Church. 
 Pope Francis, they said, has responded to their concerns with an ”open heart”.
 Even though the document maintained the Church’s long-standing position on gender theory and gender affirming surgery, Drachma, felt they had to push back against this position. 
 Drachma is an organization that provides a space for anyone who believes in God and is seeking sexual and spiritual integration within their life.
 Louise Grech, the coordinator of Drachma Parents said, “There were lots of good points in the Digita Infinita, but the message relating to trans people was abrasive and merited a response.”
 That is why, on April 23, the organisation sent a letter to Pope Francis outlining their concerns.
 “Almost immediately after we sent the letter, we received a response in which he said he received our message with an open heart and encouraged us to continue our work,” said Grech.
  The organisation fears that outlining gender theory and affirming care as a 'threat to human dignity' could further isolate Catholic trans people and their families from each other, their communities and their faith. 
 “We are already seeing Trans people being kicked out of their homes and an increase in suicidal ideation,” said Grech.
 Such drastic reactions often result from the parents of trans children feeling wary of society’s reaction to their children’s gender identity or because of their religious beliefs pushing them into a dangerous dogmatic direction, she said. 
 Grech also noted that it was clear to her that there was no consultation with the community or experts.
 “This needs to be collaborative, and the Church needs to be on board. We need them to listen, to learn, and to understand.”
 Nonetheless, the organisation maintained that they believe Pope Francis has helped change the culture positively.
 They outlined instances where the Pope met with trans women and when he met with Sister Jeannine Gramick, a nun who was shunned for working tirelessly with the LGBTIQ community.
 Grech hopes there will be more space for communication and collaboration on these matters in the future and maintains that her organisation will continue to move forward in a positive direction. 
",Emma Borg,"National,Religion"
In pictures: Women toiling in early Malta,timesofmalta,https://timesofmalta.com/article/in-pictures-women-toiling-early-malta.1098340,28-09-2024,"002565.png,002566.png,002567.png,002568.png,002569.png,002570.png,002571.png,002572.png,002573.png,002574.png,002575.png,002576.png,002577.png,002578.png,002579.png,002580.png,002581.png,002582.png","I only realised how under-represented women remained in early Malta photography when I went through my accumulations to select illustrations for these features. In album after bulging album, I found hardy any images of women at work (a working woman was not a mara tax-xogħol). With perseverance, I eked out enough photos for what, I trust, has turned into an enlightening project.
  At a time when society assigned sharply distinct roles to men and women, not surprisingly women mostly figure in traditionally feminine ‘domestic’ functions, like parenting, nursing, spinning and weaving, lace-making, tailoring, cooking, washing and ironing.
  In agriculture, the heavier tasks, like ploughing, reaping, threshing, watering, transport, fell on men while women appear mostly engaged in marketing agricultural produce. Not to mention construction, metal work, carpentry, whitewashing, husbandry. Never a woman worker in sight.
  The only exception in the building trade were the ballata, those women who laid and battened waterproof roofing made of powdered terracotta (pozzolana). I do not have photos of these.
  One trend, very prominent and consistent in early image-making shows that women did not carry heavy loads in their hands or on their shoulders but precariously balanced on their heads, the African way. These counterpoising feats, so universal up to the war years, now belong to the past.
  Also noticeable, the almost total absence of obesity in mature women, who never left the house with heads uncovered.
  Relatively few early commercial photographers showed interest in women at work. Horatio Agius from Cottonera (1844-1910), could be an exception. In the late 19th century, he marketed a popular series of Maltese figurines, which included several women displaying their work attributes. Besides him, little else.
  I may follow this up with another feature about women in less fatiguing pursuits.
",Giovanni Bonello,"National,History,Old Malta,Photography,Community"
"Migrants in distress, pushed back to Libya from Malta rescue zone – Alarm Phone",timesofmalta,https://timesofmalta.com/article/115-people-adrift-maltese-search-rescue-zone-alarm-phone.1101804,30-11-2024,002588.png,"A total of 115 people on board two separate boats in Malta’s search and rescue zone are in need of immediate rescue or have been pushed back to Libya,  according to a humanitarian organisation. 
 On Friday, the migrant emergency hotline Alarm Phone reported 35 people who had fled Libya were in distress in Malta's search and rescue zone. Those on board reported high waves and difficult conditions. 
 “We have alerted authorities to their distress and call on them to intervene immediately,” the NGO said on X.
  “We believe that this boat in distress was forcibly returned to Libya, from within the search and rescue zone of Malta,” the NGO said. 
 “These interceptions are scandalous. We hope that the people can find safety one day.”
 On Saturday morning, the NGO reported another group of 80 people who had fled Libya, also in distress. 
 “They are adrift and cannot move on, and waves are high. The people need immediate rescue,” the NGO reported. 
  Questions have been sent to Armed Forces of Malta regarding the two boats have not been answered.
 Correction November 30, 2024: A previous version misquoted an Alarm Phone statement which said people were in distress in Malta's search and rescue zone.

                ",Times of Malta,"National,Migration"
In pictures: Eating and drinking promotion in Valletta,timesofmalta,https://timesofmalta.com/article/in-pictures-eating-drinking-promotion-valletta.1101699,12-09-2024,"002622.png,002623.png,002624.png,002625.png,002626.png,002627.png,002628.png,002629.png,002630.png,002631.png,002632.png,002633.png","The overall panorama of restaurants, pubs, cafés and bars in Valletta has changed unrecognisably over the past few years.
 Not a stealthy, gradual transformation.
  On the contrary, one that is dramatic, transformative, and revolutionary.
 Are they serving Valletta, or is Valletta serving them?
 They once helped feed the city. Now the city is feeding them.
  Before, most cafés and pubs vaunted distinct personalities, possibly because they attracted different clientele.
 The bourgeoisie had hijacked Cordina, the unchallenged doyen, turning it into a social club – the same people sitting interminably at the same tables, bartering gossip.
 And the flirts too – Cordina only employed the prettiest waitresses.
  Café Premier, the reincarnation of the historical Café de la Reine, catered mostly for passing trade but also for music lovers; and for chess devotees, morphing into their informal national club.
 Mutumallu, in Du Balli, open 24/7, became the haven for insomniacs.
  Gambrinus, Museum and the Central thrived almost exclusively on lawyers and their clients from the courts nearby.
 What united them?
 They all served pastizzi and  qassatat.
  Relatively few restaurants in Valletta then – the British, and, to buttress imperial loyalty, the Britannia, the Osborne, Frascati, Malata for ravioli, Dimitri’s, Alexandra’s, Bologna, Cadena and the fish and chips eateries in the Gut, mostly forgettable.
  ‘Puliti’ boozers rooted for Captain Caruana, Eddie’s, Charles Grech, Tikka, Ellul’s and, later, The Pub. To the Lantern gravitated tipplers and gays alike.
 Some of these Valletta protein and carbohydrate dispensers promoted business through publicity postcards.
 I am homing in on a few of the later ones, mostly from the 1970s to the 1990s, by specialised publishers like David Moore, Vulcan, Penprint, Sinet, Promotion Services and Artex.
 Mainstream producers, like Cathedral Library, Perfecta, ABC Library and Alfred Galea Zammit also reserved niches for business postcards.
 All cards from the author’s collection.
 ",Giovanni Bonello,"National,Community,History,Food and drink,Valletta,Photography"
