url,body
https://timesofmalta.com/article/mcast-students-plead-end-union-dispute.1094123,"Final-year students attending the Malta College for Arts Science and Technology said the ongoing union directives have left them feeling unmotivated, anxious and stressed, as they do not know when they will be provided their results.
 For the past month, all staff at MCAST have been following directives issued by the Malta Union of Teachers, after talks over the new collective agreement failed.
 No exam and assessment results are to be provided to students, and no marks will be uploaded onto any platform due to directives. Staff have also been asked to limit communication with students, management and administration.
 “Students are left in the dark and overwhelmed with the situation,” Jordan Galea Pace, a final-year Business Enterprise student told Times of Malta.
 “Students have spent years studying, trying to move forward, and now the uncertainty kills our motivation. Without marks, students cannot apply for masters or internships abroad, and some cannot start working either.”
 Galea Pace, the newly elected vice-mayor of Swieqi, is also a student representative at MCAST’s Institute of Business Management and Commence and has experienced first-hand how the directives have impacted his colleagues.
 “Two course mates, both young men, were in tears in the hallway because they were so anxious and nervous about not receiving their marks and feeling unable to do anything,” he said.
 He said he knew of students who handed in their thesis without receiving any feedback from their tutors.
 Similar directives were ordered last year over the delayed collective agreement. The directives were eventually suspended in January by the union following progress in its discussions, yet those talks came to a halt in May.
 The Commissioner for Education urged the government and Malta Union of Teachers to resolve their dispute at MCAST. While the commissioner acknowledged the fundamental right of educators to engage in industrial action to voice their grievances, it should not cause harm to students.
 Prospective students might have second thoughts about applying for a course with MCAST because of the directives, Galea Pace said.
 Daniela Iraci, another Business Enterprise final student said she was meant to have her viva-voce exam (an exam where students defend their thesis and research), but she has received no feedback if she passed her assessments or exams.
 “I feel bummed because I studied at MCAST for five years and finally I have concluded my studies but with no sight of marks if I have passed or not,” she said.
 “I am supposed to feel relieved after all this hard work but it feels like I did all this for nothing. I understand that lecturers deserve better conditions, but this is just cruel.”
 Nursing students Kylie Mercieca, 20, and Martina Farrugia, 21, raised the alarm about how the directives prevent them from starting their careers as nurses, especially at a time when the shortage of nursing staff needs to be addressed.
 “As aspiring nurses, we have dedicated years of intensive study and clinical practice to serve our community and join the healthcare system,” Farrugia said.
 “The government has always highlighted the important role nurses play in our healthcare system and has encouraged the need to address staff shortage. Yet, this current matter contradicts everything, leaving us in limbo.”
 Mercieca said she and her coursemates were supposed to know if they were going to graduate next week, but thanks to the directives they were still waiting for their dissertation marks.
 “The directives have caused undue stress and anxiety. The removal of assessment marks heightened my anxiety. Not knowing my academic standing made it difficult to stay motivated and confident.”
 The lack of communication with her lecturers, and not receiving any feedback or guidance,  left her feeling alone and unsupported.
 Martina Farrugia said living in the “constant fear of the unknown” has affected her greatly, as she waits for the results of two assignments and her dissertation.
 “In the short run, it is affecting us students, but in the long run it is going to affect everyone, as everyone needs healthcare, and with this crisis, the patients are also going to suffer,” she said.
 The Education Ministry told Times of Malta that MCAST has a financial proposal prepared to be presented to the MUT with the condition that the union immediately suspends the directives.
 “The MUT is refusing to withdraw the directives to the detriment of the students,” a ministry spokesperson said.
 The MUT said there were no updates about the situation.
"
https://timesofmalta.com/article/mut-government-agree-second-draft-sectoral-agreement.1094538,"Updated 1pm with minister's comments
 The Malta Union of Teachers have concluded another draft agreement about educators' work and pay conditions with the government and will be asking their members to vote on it next week.  
 The agreement will determine conditions for educators in state and church schools.
 The teachers’ union had already reached agreement with the government last May, but union members expressed dissatisfaction with the conditions on offer.
 MUT then froze a vote on the agreement and returned to the negotiating table. 
 That first agreement included a raft of other proposals including revised starting salaries for kindergarten teachers (KGEs) and learning support educators (LSE), quicker salary progression, a one-off payment of €1,000 and an additional allowance of €2,000 for those with more than 20 years' experience, among others. 
 Basic salaries would have stayed the same under the proposed changes, with pay increases effected through increased allowances.
 On Thursday morning, the teachers’ union said in a statement ""discussions with the government have been concluded, and updates have been included in the new sectoral agreement text”. 
 The details are not yet clear and Times of Malta has reached out to the Education Ministry and the MUT.
 From Monday, the union will be holding meetings with teachers so that they can see a physical copy of the agreement. 
 MUT educators will then have between Thursday and Saturday to vote on whether they approve of the latest version of the sectoral agreement.  
 Education Minister Clifton Grima said he was looking forward to seeing the closure discussions within the union so that educators can start to benefit from an unprecedented new agreement.  
 “I welcome the news that the MUT now feels it can go back again to its members with the draft agreement,” he said.   
 The agreement not only shows respect for educators but also a substantial improvement in conditions, he said.  
 Contacted for comment MUT president Marco Bonnici said that the teachers' union negotiated for amendments to reflect members' requests.
 Negotiations over the agreement have been ongoing for months and reached a boiling point in November when a one-day strike was held. 
 Matters also came to a head in spring when MUT said it was considering resorting to industrial action again. 
"
https://timesofmalta.com/article/birdlife-asks-ornis-committee-outlaw-hunting-200m-schools.1099178,"Birdlife has called for hunting to be outlawed within 200 metres of schools after a teacher found a protected European Honey-Buzzard shot close to a Rabat school.
 A teacher who heard rustling in bushes found the protected bird on Monday near the Archbishop’s Seminary, a primary and secondary school.
 Birdlife said the teacher first tried to contact the Environmental Protection Unit but they were unable to help him. Birdlife volunteers then intervened and took the bird to a vet for medical treatment.
 The bird conservation NGO said such illegal hunting could be significantly reduced if schools were declared bird sanctuaries with a 200m buffer zone surrounding them.
 It has now pitched the idea to the Ornis Committee – a government-run committee which it sits on and which is responsible for advising the government on hunting and trapping-related issues.
 “We don’t anticipate any opposition from its voting members,” said BirdLife Malta CEO Mark Sultana.
 “Schools should be places where students can learn to appreciate and connect with wildlife, not where protected species are gunned down just outside their grounds.”
 Birdlife said the Honey-Buzzard was the 22nd shot bird its volunteers have recovered since September 1, when the autumn hunting season began. The police recovered various others, it said.
 Of the 22 birds Birdlife volunteers found, 12 were birds of prey, including species such as Eurasian Hobby, Lesser Kestrel, Common Kestrel and Eleonora’s Falcon.
 “In the last two weeks alone, seven European honey-buzzards have been rescued. Other targeted species include Common Greenshank, night heron, grey heron, little egret, Common Hoopoe, European bee-eater and European turtle dove,” the NGO said.
 "
https://timesofmalta.com/article/stephen-vella-appointed-new-principal-ceo-mcast.1097890,"Stephen Vella has been appointed the new principal and CEO of the Malta College of Arts, Science & Technology (MCAST), the college announced on Tuesday. 
 Presently holding a deputy principal role, MCAST said that Vella was selected following a call for applications in June. They said that he brings with him over two decades of experience in vocational education and a strong track record of leadership within the college. 
 He was educated at Savio College and Stella Maris College and read for degrees at the University of Malta and Falkirk College of Arts in Scotland. He also holds an MBA from the Henley School of Management.
 Vella started teaching graphic design and photography at the Salvatore Dimech School for Craftsmen in 1993 and he was appointed deputy director of the institute in 2003. 
 He has held several roles at MCAST throughout the years, being appointed Director of the MCAST Institute for the Creative Arts in 2008, Head of the Technical College in 2015, General Manager at MCAST Gateway to Industry in 2017 and Deputy Principal for Business Development and Communications in 2021. 
 Vella replaces Joachim James Calleja, whose removal from the post made headlines when he was told that his contract would not be renewed. 
 Calleja had previously complained to the Ombudsman’s Office claiming his dismissal was unlawful and politically motivated.
 Commissioner for Education Chief Justice Emeritus Vincent De Gaetano, concluded that the circumstances of the case showed that Calleja’s dismissal was “both unreasonable and unjust.”
"
https://timesofmalta.com/article/mut-drops-mcast-directives-union-government-continue-negotiations.1094588,"Students at MCAST are to get their exams and assignment marks, after the Malta Union of Teachers dropped marking-related directives following negotiations. 
 All other directives in place at the college remain in place. 
 In a statement on Friday, the union said the two have agreed on a way forward regarding these negotiations, that will lead to a “satisfactory conclusion” of the agreement. 
 Schedules and meetings have been set, and the union has suspended marking directives.
 Other directives that remain in force include an order to student support services staff to not answer phone calls or act on any communication from administration and management, excluding emergencies and crises.
 Student mentors have also been ordered to ignore any communication from management and refuse to attend outreach sessions with students.
 In a Facebook post, Prime Minister Robert Abela said he was satisfied that the discussions held with MCAST students and MUT members bore fruit. He said while the talks on the collective agreement will continue, students will be provided with their marks to provide them peace of mind. 
  The dispute made headlines over the past few weeks, as MCAST students had raised their concerns about how the situation has impacted them negatively, as exams had been cancelled and their marks remained in limbo until the eleventh hour. 
 The Commissioner for Education also urged the government and MUT to resolve their dispute at MCAST.
 Last week, MCAST principal Joachim James Calleja confirmed his contract was not renewed by the Education Ministry, amid reports he was sacked.
 Calleja previously told Times of Malta that some three weeks ago, the ministry informed him in writing that his contract, which was up for renewal, was not going to be renewed. 
"
https://timesofmalta.com/article/wish-werent-here-mta-ask-residents-feel-tourists.1091830,"Residents across Malta and Gozo are to be asked about their views on the impact of tourism on their lives.
 The Malta Tourism Authority (MTA) has issued a call for tenders to carry out a survey of 600 people in June. The authority has estimated the cost of the survey to be at around €10,000.
 Residents will be asked if they agree with a series of positive and negative statements on topics including whether respondents benefit economically from tourism to whether it causes crowding in bathing spaces. 
 And while the MTA has not indicated how the findings of the survey will be used, it comes at a time of heightened concern about mass tourism across the continent.
 A record three million tourists visited Malta in 2023, according to the MTA, with 40% of visitors coming from Italy or the UK. 
 According to the call issued on Thursday, the successful applicant will “carry out a study for the MTA to better understand the residents’ perceptions and attitudes towards tourism activity on the Maltese Islands.”
 A provisional set of questions issued with the call sheds light on the topics the authority is interested in.
 Residents will be asked to indicate how strongly they agree or disagree with statements such as: “Tourism makes me want to work to keep the Maltese Islands special”, “Tourism helps me pay my bills” and “Tourism fosters a sense of 'community spirit' within me”.
 Residents are expected to be asked if they think tourism helps preserve the country’s heritage and environment, whether it worsens traffic issues and causes overcrowding.
 And they are also likely to be asked whether Malta should remain a tourist destination, if the country should aim to attract more tourists and whether “the positive benefits of tourism outweigh negative impacts”.
 A final set of questions will be supplied to the winning bidder when the tender is concluded.
 Tourism is an important economic driver in Malta and has regularly been touted as a measure of the country’s success by various governments.
  While the government has indicated it wants to attract more “quality tourism” and higher-spending visitors, other parts of Europe have recently tried to stem the tide of visitors, concerned that mass tourism is overly impacting residents.
 Last year, Sardinia introduced a cap on the number of visitors to its pristine beaches, while Venice recently introduced a €5 fee for day-trippers visiting the famous city.
 In July, Amsterdam banned cruise ships from entering the city centre in a bid to curb visitor numbers and pollution. The same month, Dubrovnik in Croatia introduced an educational ‘Respect the City’ campaign and Portugal introduced fines of up to €36,000 for playing loud music at popular beaches.
 When contacted, a spokesperson for the Tourism Ministry said the results of the survey would help the MTA ""to form an opinion, plan and formulate future strategy.""
 He said the survey was being undertaken as part of the government's 2021-2030 strategy and as part of the activities of the Malta Tourism Observatory ""aiming at developing a sustainable tourism industry for the future.""
"
https://timesofmalta.com/article/last-twelve-months-second-driest-record.1098328,"The last 12 months were the second driest on record according to the Meteorological Office at Malta International Airport.
 From September to August – the most recent ‘precipitation year’ – only 249.8 mm of rainfall was recorded. This is less than half the amount normally registered over the same period.
 Rain was recorded on 58 days out of the 366 days in the precipitation year, totalling “295.5 mm below the climatic norm,” the Met Office said.
 Only 1948 was drier - when just 230.7 mm of rain fell.
 Most months saw below-average rainfall, with only last month registering above-average precipitation, exceeding the monthly norm by 3.5 mm in one downpour on August 22.
 Meanwhile, July was the driest month of the year with no rain recorded at all for the second year in a row, while October last year was the driest such month on record with only 0.2 mm of rain.
 November “offered some relief” however, with 53.6 mm of rain “providing much-needed hydration for crops after a dry start to the rainy season”, the Met Office said.
 That month was also home to the wettest day of the year, when 26.4 mm of rain fell on November 22.
 Over the past 12 months, Malta was hit by 14 thunderstorms and experienced three bouts of hail in November, January and February, with the latter seeing social media flooded with images and videos of ice blanketing the streets.
 Each year, the Met Office - which celebrated its 100th anniversary two years ago - releases reports on the previous precipitation year, which runs from September 1 to August 31.
 Last year's analysis for the preceding precipitation year showed the summer months of June, July and August were all drier than average months.
 According to the Met Office weather forecast on Friday afternoon, the weekend is expected to be cloudy with showers predicted on Monday. Peak temperatures are expected to hover between 26 and 27 degrees Celsius.
"
https://timesofmalta.com/article/power-stations-provided-678-electricity-supply-last-year.1099158,"The electricity supplied in Malta last year increased by 1.3% to 2,918.0 GWh when compared to the previous year, official data issued on Tuesday shows.
 The National Statistics Office said power plants accounted for 67.8 per cent of supply while 21.3 per cent was imported (+ 0.3 per cent ) and 10.9 per cent came from renewable sources. Most of the renewable energy (97%) was produced from photovoltaic panels.
  July saw the heaviest demand, with 334.7 GWh of electricity being supplied, followed by August at 303.4 GWh.
 The annual average demand registered in 2023 was that of 446 MW – a decrease of 5.9 per cent when compared to the previous year.
 In 2023, GHG emissions from fuel combustion in power plant sources increased by 0.5 per cent over the situation in 2022.
 "
https://timesofmalta.com/article/no-exam-results-fresh-mcast-directives-mut-talks-government-fail.1092278,"All staff at the Malta College for Arts, Sciences and Technology has been ordered not to disclose exam and assessment results to anyone - including students.
 The order - which comes into effect on Monday - forms part of a raft of directives issued by their union after talks over the new collective agreement failed.
 Sources told Times of Malta the Malta Union of Teachers has registered a dispute with the college and issued directives after negotiations failed mainly due to the financial aspect of the agreement.
 Lecturers, student mentors, senior research officers, technicians, learning support educators, student services, directors and deputy directors have all been told to follow directives. 
 The action is the same one that the union ordered late last year over a delayed collective agreement. Consequently, MCAST students  walked out of their lectures in January, protesting the action.
 The directives were eventually suspended by the union following progress in its discussions.
 Those talks continued, however, they reached a dead end this week, with MCAST management and the government remaining adamant in their position. 
 Sources said the same situation was being experienced at the Institute for Tourism Studies.
 Student support services staff has meanwhile been ordered not to answer phone calls and not act on any communication from administration and management excluding emergencies and crises.
 They were also ordered not to issue new referrals or assign new cases unless they were deemed high-risk.
 Student mentors have also been ordered to ignore any communication from management and refuse to attend outreach sessions with students.
 All lecturing grades- whether full-time or part-time lecturers - have been asked to withhold assessment marks from students, colleagues, internal verifiers, and management. Marks will not be uploaded onto any platform.
 The staff has also been asked to refrain from any invigilation duties.
 This means that lecturing grades will not distribute or collect assessment papers and will not monitor students to ensure they do not copy during tests.
 The directives also limit communication with students, administration and management.
 Communication with students will be strictly limited to scheduled lectures and designated contact hours. This includes emails, MS Teams and any other online platforms outside of these scheduled times.
 Lecturing grades have been instructed not to attend staff meetings except for those that are timetabled and part of the contact teaching load.
 This directive also includes any CPD meetings organised by MCAST.
"
https://timesofmalta.com/article/youll-worship-me-santa-cement-statue-greets-students-uom-faculty.1098787,"Santa Cement, the 'patron saint' of concrete and rapid development, debuted at the University of Malta’s campus on Monday.
 Nearly two metres tall, the statue is now greeting students and staff at the entrance of the Faculty for the Built Environment, with a slogan reading: ""Will you worship/adore me (ħa tadurani)?"".
 The statue, created by recent architecture graduate Karl Sammut and student Julian Cassar, is a statement about Malta's ""addiction to cement"" and rapid development.
 “We want students to be aware of the local situation when it comes to the Maltese construction industry and we urge them to address it rather than hide or be afraid to act,” Sammut said. 
  Santa Cement was built during a summer workshop held by the Society of Architecture and Civil Engineering Students.
 The theme was ‘Escape,’ and Cassar and Sammut’s group focused on what many in Malta long to escape from: relentless concrete development.
 Their creation, called ‘Min Ħexa Mexa’, or simply Santa Cement, reflects this frustration.
 They hope the structure stays in the faculty for at least a year:
 “The statue serves as a physical reminder to do better, design better and avoid being pushed around in an industry often run by bullies"".
 Freshers’ Week is usually known for its flashy commercial displays, but Santa Cement stands out as a more direct, thought-provoking statement.
 The duo hopes the statue encourages more activism by students: “Student organisations don’t realise how much power they hold or, if they do, they just do not utilise it"".
 “A student’s voice, free from political ties, can be a powerful force for change.”
"
