Text-Link,Text-Category,Deepseek:32b,Named entity recognition,Ground truth,Named Entities,
https://timesofmalta.com/article/mcast-students-plead-end-union-dispute.1094123 , Education and Research ,Male: 1 Female: 3 Unknown: 0,Male: 2 Female: 3 Unknown: 0,Male: 1 Female: 3 Unknown: 0, Jordan Galea Pace - M Daniela Iraci - F Kylie Mercieca - F Martina Farrugia - F ,
https://timesofmalta.com/article/mut-government-agree-second-draft-sectoral-agreement.1094538 , Education and Research ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 0, Clifton Grima - M Marco Bonnici - M,
https://timesofmalta.com/article/birdlife-asks-ornis-committee-outlaw-hunting-200m-schools.1099178 , Education and Research ,Male: 2 Female: 0 Unknown: 1,Male: 1 Female: 0 Unknown: 5,Male: 2 Female: 0 Unknown: 0, teacher - M Mark Sultana - M,
https://timesofmalta.com/article/stephen-vella-appointed-new-principal-ceo-mcast.1097890 , Education and Research ,Male: 3 Female: 0 Unknown: 0,Male: 3 Female: 0 Unknown: 0,Male: 3 Female: 0 Unknown: 0, Stephen Vella - M Joachim James Calleja - M Vincent De Gaetano - M,
https://timesofmalta.com/article/mut-drops-mcast-directives-union-government-continue-negotiations.1094588 , Education and Research ,Male: 2 Female: 0 Unknown: 1,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 1, Robert Abela - M Commissioner for Education - U Joachim James Calleja - M,
https://timesofmalta.com/article/wish-werent-here-mta-ask-residents-feel-tourists.1091830 , Education and Research ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 1,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/last-twelve-months-second-driest-record.1098328 , Education and Research ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/power-stations-provided-678-electricity-supply-last-year.1099158 , Education and Research ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/no-exam-results-fresh-mcast-directives-mut-talks-government-fail.1092278 , Education and Research ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 2,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/youll-worship-me-santa-cement-statue-greets-students-uom-faculty.1098787 , Education and Research ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 1 Unknown: 1,Male: 2 Female: 0 Unknown: 0, Karl Sammut - M Julian Cassar - M,
https://timesofmalta.com/article/mcast-students-plan-picnic-road-protest-industrial-action.1101387 , Education and Research ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 2,Male: 0 Female: 0 Unknown: 0, N/A,
https://timesofmalta.com/article/teachers-now-get-written-permission-speak-media.1100394 , Education and Research ,Male: 4 Female: 3 Unknown: 1,Male: 5 Female: 2 Unknown: 2,Male: 4 Female: 3 Unknown: 0, Michelle Attard-Taggna - F Arnold Cassola - M Justin Schembri - M Jason Azzopardi - M Graham Sansone - M Jeanette Borg - F Ritianne Borg Saliba - F,
https://timesofmalta.com/article/government-teachers-union-reach-agreement-collective-agreement-deal.1092998 , Education and Research ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 1,Male: 2 Female: 0 Unknown: 0, Clifton Grima - M Robert Abela - M,
https://timesofmalta.com/article/new-academic-year-focus-students-wellbeing-education-minister.1098553 , Education and Research ,Male: 3 Female: 0 Unknown: 0,Male: 3 Female: 0 Unknown: 0,Male: 3 Female: 0 Unknown: 0, Clifton Grima - M Graham Sansone - M Marco Bonnici - M,
https://timesofmalta.com/article/swieqi-boosts-night-patrols-target-antisocial-behaviour.1096082 , Education and Research ,Male: 2 Female: 0 Unknown: 0,Male: 2 Female: 0 Unknown: 2,Male: 2 Female: 0 Unknown: 1, spokesperson - U Noel Muscat - M Jordan Galea Pace - M,
https://timesofmalta.com/article/gaming-sector-generated-13-billion-last-year.1101229 , Education and Research ,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0,Male: 0 Female: 0 Unknown: 0, N/A,
